Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-04 00:00:00.000,67.71791666666665,35.56222222222222,26.673,26.681,89.4,2.2,25.2,1.52,18.6,46,77.4
2023-09-09 00:00:00.000,67.72833333333332,35.60916666666667,26.596,26.687,94.1,2.2,25.2,1.37,1.0,47,77.3
2023-09-14 00:00:00.000,67.71958333333333,35.65361111111111,26.52,26.693,98.8,2.1,25.2,1.37,341.2,47,77.2
2023-09-19 00:00:00.000,67.69208333333333,35.695277777777775,26.445,26.699,103.6,2.1,25.2,1.51,323.2,47,77.1
2023-09-24 00:00:00.000,67.64583333333331,35.73388888888889,26.372,26.705,108.3,2.0,25.2,1.75,309.2,47,77.0
2023-09-29 00:00:00.000,67.58083333333332,35.76916666666666,26.302,26.711,113.1,2.0,25.2,2.06,299.1,47,76.9
2023-10-04 00:00:00.000,67.49791666666667,35.800555555555555,26.234,26.717,117.9,1.9,25.2,2.4,291.7,47,76.8
2023-10-09 00:00:00.000,67.39791666666666,35.82833333333333,26.169,26.723,122.7,1.8,25.1,2.75,286.2,47,76.6
2023-10-14 00:00:00.000,67.28124999999999,35.85166666666667,26.109,26.729,127.5,1.7,25.1,3.1,281.8,47,76.5
2023-10-19 00:00:00.000,67.14874999999999,35.87027777777778,26.054,26.735,132.3,1.6,25.1,3.44,278.3,47,76.3
2024-01-17 00:00:00.000,63.932083333333324,35.44416666666666,26.186,26.84,130.8,1.6,25.1,3.27,242.7,44,74.0
2024-01-22 00:00:00.000,63.821666666666665,35.39416666666666,26.257,26.845,125.9,1.7,25.2,2.91,239.0,43,74.0
2024-01-27 00:00:00.000,63.72874999999999,35.34444444444445,26.332,26.851,120.9,1.8,25.2,2.54,234.3,43,74.0
2024-02-01 00:00:00.000,63.65333333333333,35.29527777777778,26.411,26.857,116.0,1.9,25.2,2.18,228.0,43,74.0
2024-02-06 00:00:00.000,63.59666666666666,35.2475,26.493,26.863,111.0,2.0,25.2,1.83,219.2,43,74.0
2024-02-11 00:00:00.000,63.55916666666666,35.20111111111111,26.578,26.869,106.1,2.0,25.2,1.52,206.6,43,74.1
2024-02-16 00:00:00.000,63.54124999999999,35.15694444444444,26.665,26.874,101.2,2.1,25.2,1.31,189.0,42,74.1
2024-02-21 00:00:00.000,63.54249999999999,35.11527777777778,26.754,26.88,96.3,2.1,25.2,1.24,167.4,42,74.2
2024-02-26 00:00:00.000,63.563333333333325,35.07638888888889,26.843,26.886,91.4,2.1,25.2,1.35,146.6,42,74.3
2024-03-02 00:00:00.000,63.60291666666666,35.040277777777774,26.933,26.892,86.5,2.1,25.2,1.59,130.4,42,74.4
2024-09-03 00:00:00.000,69.80208333333333,35.95277777777778,27.126,27.1,87.4,2.1,25.3,1.59,25.1,51,78.6
2024-09-08 00:00:00.000,69.82083333333333,35.999722222222225,27.049,27.105,92.1,2.1,25.3,1.4,9.0,51,78.5
2024-09-13 00:00:00.000,69.82041666666666,36.04472222222222,26.972,27.111,96.8,2.1,25.3,1.34,349.8,51,78.4
2024-09-18 00:00:00.000,69.80125,36.087500000000006,26.897,27.116,101.6,2.1,25.3,1.42,330.9,51,78.3
2024-09-23 00:00:00.000,69.76333333333332,36.1275,26.822,27.122,106.3,2.0,25.2,1.62,315.3,51,78.2
2024-09-28 00:00:00.000,69.70708333333332,36.16444444444444,26.75,27.127,111.1,2.0,25.2,1.91,303.8,51,78.1
2024-10-03 00:00:00.000,69.6325,36.198055555555555,26.681,27.133,115.9,1.9,25.2,2.23,295.3,51,78.0
2024-10-08 00:00:00.000,69.54041666666666,36.22805555555556,26.614,27.138,120.7,1.8,25.2,2.58,289.1,51,77.9
2024-10-13 00:00:00.000,69.43124999999999,36.25416666666667,26.552,27.144,125.5,1.7,25.2,2.92,284.3,52,77.7
2024-10-18 00:00:00.000,69.30666666666666,36.27611111111111,26.494,27.149,130.3,1.6,25.2,3.26,280.5,52,77.6
2025-01-16 00:00:00.000,66.10291666666667,35.91555555555556,26.569,27.247,132.8,1.5,25.2,3.37,244.6,48,75.2
2025-01-21 00:00:00.000,65.98541666666667,35.867222222222225,26.637,27.252,127.9,1.6,25.2,3.03,241.2,48,75.2
2025-01-26 00:00:00.000,65.88458333333332,35.81861111111112,26.709,27.258,123.0,1.7,25.2,2.67,236.9,47,75.2
2025-01-31 00:00:00.000,65.80166666666668,35.769999999999996,26.786,27.263,118.0,1.8,25.2,2.31,231.3,47,75.2
2025-02-05 00:00:00.000,65.73666666666666,35.722500000000004,26.867,27.268,113.1,1.9,25.3,1.95,223.7,47,75.2
2025-02-10 00:00:00.000,65.69083333333332,35.67611111111111,26.95,27.274,108.1,2.0,25.3,1.63,213.0,47,75.3
2025-02-15 00:00:00.000,65.66375,35.63138888888889,27.036,27.279,103.2,2.0,25.3,1.38,197.9,47,75.3
