Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-11-28 00:00:00.000,161.64875,15.285277777777777,21.484,21.47,87.9,2.6,23.8,1.75,88.5
2023-12-03 00:00:00.000,161.69958333333332,15.290555555555555,21.403,21.475,92.9,2.6,23.8,1.23,77.0
2023-12-08 00:00:00.000,161.73166666666665,15.303611111111111,21.323,21.481,97.9,2.6,23.8,0.82,51.7
2023-12-13 00:00:00.000,161.74374999999998,15.324166666666667,21.244,21.486,102.9,2.6,23.8,0.73,5.9
2023-12-18 00:00:00.000,161.73666666666668,15.352222222222222,21.166,21.491,108.0,2.5,23.8,1.06,332.7
2023-12-23 00:00:00.000,161.71041666666667,15.386944444444444,21.091,21.496,113.1,2.4,23.7,1.55,317.8
2023-12-28 00:00:00.000,161.665,15.428333333333333,21.019,21.501,118.2,2.3,23.7,2.07,310.2
2024-01-02 00:00:00.000,161.60125,15.475833333333334,20.951,21.506,123.3,2.2,23.7,2.59,305.7
2024-01-07 00:00:00.000,161.51999999999998,15.529166666666667,20.886,21.511,128.4,2.1,23.7,3.1,302.7
2024-01-12 00:00:00.000,161.42125,15.587222222222223,20.827,21.516,133.5,1.9,23.7,3.58,300.5
2024-04-11 00:00:00.000,158.51166666666663,16.634166666666665,20.92,21.607,132.3,2.0,23.7,3.47,279.3
2024-04-16 00:00:00.000,158.39999999999998,16.649166666666666,20.989,21.612,127.3,2.1,23.7,3.01,276.4
2024-04-21 00:00:00.000,158.30374999999998,16.656666666666666,21.062,21.617,122.4,2.2,23.7,2.54,272.6
2024-04-26 00:00:00.000,158.22374999999997,16.656666666666666,21.139,21.623,117.5,2.4,23.8,2.06,266.9
2024-05-01 00:00:00.000,158.1608333333333,16.649166666666666,21.219,21.628,112.7,2.5,23.8,1.6,257.8
2024-05-06 00:00:00.000,158.11541666666665,16.634166666666665,21.303,21.633,107.8,2.5,23.8,1.19,241.8
2024-05-11 00:00:00.000,158.08791666666664,16.611666666666668,21.388,21.638,103.0,2.6,23.8,0.94,213.6
2024-05-16 00:00:00.000,158.07916666666665,16.581944444444446,21.475,21.643,98.2,2.7,23.8,1.0,179.6
2024-05-21 00:00:00.000,158.0883333333333,16.544722222222223,21.563,21.648,93.5,2.7,23.8,1.33,156.3
2024-05-26 00:00:00.000,158.11624999999998,16.50111111111111,21.651,21.653,88.7,2.7,23.8,1.77,143.3
2024-12-02 00:00:00.000,164.79749999999999,13.675555555555555,21.835,21.844,89.2,2.6,23.9,1.54,87.7
2024-12-07 00:00:00.000,164.84124999999997,13.681666666666667,21.754,21.849,94.2,2.6,23.9,1.04,73.6
2024-12-12 00:00:00.000,164.8658333333333,13.695,21.674,21.854,99.3,2.5,23.9,0.68,40.6
2024-12-17 00:00:00.000,164.87166666666664,13.716111111111111,21.595,21.859,104.3,2.5,23.8,0.75,352.1
2024-12-22 00:00:00.000,164.85875,13.744166666666667,21.518,21.864,109.4,2.4,23.8,1.15,325.6
2024-12-27 00:00:00.000,164.8270833333333,13.779444444444445,21.443,21.869,114.5,2.3,23.8,1.66,314.1
2025-01-01 00:00:00.000,164.7770833333333,13.820833333333333,21.372,21.874,119.6,2.2,23.8,2.18,308.0
2025-01-06 00:00:00.000,164.7095833333333,13.868611111111111,21.304,21.879,124.7,2.1,23.8,2.7,304.2
2025-01-11 00:00:00.000,164.6245833333333,13.921666666666667,21.241,21.884,129.8,2.0,23.8,3.18,301.7
