Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,342.7204166666666,-22.96527777777778,24.444,25.001,122.2,2.0,28.2,3.17,220.2,15,88.2
2023-07-06 00:00:00.000,342.63874999999996,-23.047777777777778,24.383,25.007,126.9,1.9,28.2,3.52,224.3,15,88.3
2023-07-11 00:00:00.000,342.54249999999996,-23.133333333333333,24.327,25.012,131.5,1.7,28.1,3.87,227.6,15,88.5
2023-10-09 00:00:00.000,339.58583333333326,-24.418055555555558,24.392,25.106,134.8,1.6,28.1,3.99,260.0,14,271.5
2023-10-14 00:00:00.000,339.4475,-24.43722222222222,24.458,25.111,130.1,1.7,28.2,3.63,262.8,14,271.6
2023-10-19 00:00:00.000,339.3220833333333,-24.448611111111113,24.528,25.117,125.3,1.9,28.2,3.25,266.2,14,271.7
2023-10-24 00:00:00.000,339.2108333333333,-24.451666666666664,24.603,25.122,120.4,2.0,28.2,2.85,270.4,14,271.8
2023-10-29 00:00:00.000,339.11375,-24.447222222222223,24.682,25.127,115.6,2.0,28.2,2.45,276.0,14,271.8
2023-11-03 00:00:00.000,339.03249999999997,-24.434722222222224,24.764,25.132,110.7,2.1,28.2,2.06,283.6,14,271.8
2023-11-08 00:00:00.000,338.9675,-24.41472222222222,24.849,25.137,105.8,2.2,28.2,1.71,294.6,13,271.8
2023-11-13 00:00:00.000,338.9191666666666,-24.3875,24.935,25.142,101.0,2.2,28.2,1.43,310.5,13,271.8
2023-11-18 00:00:00.000,338.88791666666657,-24.353055555555557,25.024,25.147,96.1,2.2,28.2,1.29,331.7,13,271.8
2023-11-23 00:00:00.000,338.87458333333325,-24.311944444444446,25.113,25.152,91.2,2.2,28.3,1.34,354.3,13,271.7
2023-11-28 00:00:00.000,338.8783333333333,-24.264444444444443,25.202,25.157,86.3,2.2,28.3,1.56,12.8,13,271.6
2024-05-26 00:00:00.000,344.0508333333333,-22.520555555555553,25.341,25.333,88.4,2.3,28.3,1.74,135.1,15,87.0
2024-05-31 00:00:00.000,344.0870833333333,-22.565,25.264,25.338,93.0,2.3,28.3,1.63,151.2,15,87.1
2024-06-05 00:00:00.000,344.10749999999996,-22.616111111111113,25.187,25.342,97.7,2.3,28.3,1.66,168.3,15,87.1
2024-06-10 00:00:00.000,344.11125,-22.673333333333336,25.111,25.347,102.3,2.2,28.3,1.81,183.7,15,87.2
2024-06-15 00:00:00.000,344.09916666666663,-22.73638888888889,25.037,25.352,107.0,2.2,28.3,2.05,196.1,16,87.3
2024-06-20 00:00:00.000,344.07041666666663,-22.804722222222225,24.965,25.356,111.6,2.1,28.3,2.36,205.5,16,87.4
2024-06-25 00:00:00.000,344.0258333333333,-22.878055555555555,24.895,25.361,116.2,2.1,28.2,2.69,212.6,16,87.5
2024-06-30 00:00:00.000,343.9654166666666,-22.95583333333333,24.829,25.366,120.9,2.0,28.2,3.04,218.2,16,87.7
2024-07-05 00:00:00.000,343.88958333333335,-23.0375,24.766,25.37,125.5,1.9,28.2,3.4,222.6,16,87.8
2024-07-10 00:00:00.000,343.7991666666667,-23.1225,24.708,25.375,130.1,1.8,28.2,3.74,226.2,16,87.9
2024-07-15 00:00:00.000,343.6941666666666,-23.21,24.654,25.38,134.7,1.6,28.2,4.06,229.2,16,88.1
2024-10-13 00:00:00.000,340.75749999999994,-24.436666666666667,24.792,25.461,131.3,1.7,28.2,3.69,262.3,15,271.1
2024-10-18 00:00:00.000,340.6295833333333,-24.449444444444445,24.86,25.465,126.5,1.8,28.2,3.33,265.6,15,271.2
2024-10-23 00:00:00.000,340.5145833333333,-24.453888888888887,24.933,25.47,121.7,1.9,28.2,2.95,269.6,15,271.2
2024-10-28 00:00:00.000,340.41416666666663,-24.450833333333332,25.01,25.474,116.9,2.0,28.3,2.55,274.8,14,271.3
2024-11-02 00:00:00.000,340.32874999999996,-24.439722222222223,25.09,25.478,112.0,2.1,28.3,2.17,281.9,14,271.3
2024-11-07 00:00:00.000,340.25916666666666,-24.421111111111113,25.173,25.483,107.1,2.1,28.3,1.81,291.9,14,271.3
2024-11-12 00:00:00.000,340.20583333333326,-24.39472222222222,25.259,25.487,102.3,2.2,28.3,1.52,306.1,14,271.3
2024-11-17 00:00:00.000,340.1691666666666,-24.36138888888889,25.346,25.492,97.4,2.2,28.3,1.34,325.3,14,271.2
2024-11-22 00:00:00.000,340.15,-24.32138888888889,25.434,25.496,92.5,2.2,28.3,1.34,347.2,14,271.2
