Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-26 00:00:00.000,35.6425,9.085833333333333,4.235,4.288,86.1,13.7,21.7,19.25,84.5,5,73.0
2023-07-31 00:00:00.000,36.25166666666666,9.131944444444445,4.177,4.304,90.3,13.6,21.6,16.95,86.9,5,73.0
2023-08-05 00:00:00.000,36.784166666666664,9.147222222222222,4.12,4.321,94.6,13.5,21.6,14.6,90.0,5,73.1
2023-08-10 00:00:00.000,37.23625,9.130833333333333,4.063,4.338,98.9,13.4,21.6,12.19,94.5,5,73.1
2023-08-15 00:00:00.000,37.60375,9.083333333333334,4.007,4.354,103.4,13.1,21.6,9.8,101.2,5,73.1
2023-08-20 00:00:00.000,37.88416666666666,9.004166666666666,3.953,4.371,107.9,12.7,21.5,7.54,112.1,5,73.1
2023-08-25 00:00:00.000,38.07499999999999,8.894444444444444,3.9,4.388,112.5,12.3,21.5,5.72,130.9,5,73.2
2023-08-30 00:00:00.000,38.17583333333333,8.755,3.85,4.406,117.3,11.8,21.4,4.9,160.4,5,73.2
2023-09-04 00:00:00.000,38.18583333333333,8.587222222222223,3.803,4.423,122.1,11.1,21.4,5.55,190.8,5,73.2
2023-09-09 00:00:00.000,38.10583333333333,8.391944444444444,3.76,4.44,127.0,10.4,21.4,7.27,210.7,5,73.3
2023-09-14 00:00:00.000,37.93666666666666,8.171388888888888,3.72,4.457,132.1,9.6,21.3,9.41,222.2,5,73.3
2023-12-08 00:00:00.000,29.60958333333333,4.376666666666666,4.032,4.763,133.4,8.6,21.6,7.09,265.0,5,73.8
2023-12-13 00:00:00.000,29.41333333333333,4.3741666666666665,4.109,4.781,128.2,9.3,21.7,4.7,275.8,5,73.8
2023-12-18 00:00:00.000,29.297916666666662,4.408055555555556,4.191,4.8,123.1,9.9,21.7,2.71,304.8,5,73.8
2023-12-23 00:00:00.000,29.264999999999993,4.476666666666667,4.277,4.818,118.0,10.4,21.8,2.58,5.2,5,73.8
2023-12-28 00:00:00.000,29.31333333333333,4.578888888888889,4.366,4.837,113.1,10.8,21.9,4.43,36.9,5,73.8
2024-01-02 00:00:00.000,29.44208333333333,4.7125,4.458,4.855,108.2,11.1,21.9,6.73,48.5,5,73.7
2024-01-07 00:00:00.000,29.649583333333332,4.875555555555556,4.552,4.874,103.4,11.3,22.0,9.08,54.1,5,73.7
2024-01-12 00:00:00.000,29.93375,5.066388888888889,4.647,4.893,98.7,11.5,22.1,11.39,57.5,5,73.7
2024-01-17 00:00:00.000,30.29124999999999,5.2825,4.744,4.911,94.0,11.5,22.1,13.6,59.8,5,73.6
