Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-04 00:00:00.000,293.82541666666657,-14.219444444444445,8.061,8.767,131.9,4.9,24.7,6.12,246.3
2023-09-09 00:00:00.000,293.65374999999995,-14.3,8.123,8.766,127.0,5.3,24.7,4.95,241.5
2023-09-14 00:00:00.000,293.52666666666664,-14.37638888888889,8.189,8.764,122.0,5.6,24.7,3.76,233.7
2023-09-19 00:00:00.000,293.44624999999996,-14.448055555555555,8.259,8.763,117.1,5.9,24.8,2.65,218.7
2023-09-24 00:00:00.000,293.41291666666666,-14.514166666666666,8.332,8.761,112.2,6.1,24.8,1.91,188.0
2023-09-29 00:00:00.000,293.42791666666665,-14.573888888888888,8.408,8.76,107.4,6.3,24.8,2.04,146.3
2023-10-04 00:00:00.000,293.49083333333334,-14.626944444444446,8.486,8.759,102.6,6.4,24.8,2.93,120.4
2023-10-09 00:00:00.000,293.60208333333327,-14.672777777777776,8.566,8.757,97.8,6.5,24.9,4.11,107.8
2023-10-14 00:00:00.000,293.76083333333327,-14.710555555555555,8.646,8.756,93.0,6.5,24.9,5.39,100.8
2023-10-19 00:00:00.000,293.9666666666666,-14.739999999999998,8.727,8.754,88.3,6.5,24.9,6.68,96.4
2024-05-01 00:00:00.000,314.53249999999997,-10.046944444444444,8.698,8.699,86.7,6.6,24.9,7.25,58.1
2024-05-06 00:00:00.000,314.71916666666664,-9.924722222222222,8.616,8.698,91.3,6.7,24.9,6.0,54.3
2024-05-11 00:00:00.000,314.8616666666667,-9.814166666666667,8.533,8.697,96.0,6.6,24.9,4.74,48.5
2024-05-16 00:00:00.000,314.9595833333333,-9.715833333333332,8.452,8.695,100.6,6.6,24.8,3.55,38.9
2024-05-21 00:00:00.000,315.01249999999993,-9.630277777777778,8.371,8.694,105.3,6.4,24.8,2.53,20.7
2024-05-26 00:00:00.000,315.02,-9.558333333333334,8.292,8.692,110.1,6.3,24.8,2.0,347.5
2024-05-31 00:00:00.000,314.98291666666665,-9.500277777777777,8.216,8.691,114.8,6.1,24.7,2.33,310.9
2024-06-05 00:00:00.000,314.90166666666664,-9.456944444444444,8.143,8.69,119.6,5.8,24.7,3.25,289.5
2024-06-10 00:00:00.000,314.77625,-9.428055555555554,8.073,8.688,124.5,5.5,24.7,4.38,278.3
2024-06-15 00:00:00.000,314.60916666666657,-9.414444444444445,8.007,8.687,129.3,5.2,24.6,5.55,271.9
2024-06-20 00:00:00.000,314.40166666666664,-9.415833333333333,7.946,8.685,134.2,4.8,24.6,6.7,267.8
2024-09-18 00:00:00.000,308.3616666666667,-11.096666666666668,7.953,8.66,132.2,4.9,24.6,6.28,239.3
2024-09-23 00:00:00.000,308.19916666666666,-11.2,8.015,8.659,127.2,5.3,24.6,5.1,234.2
2024-09-28 00:00:00.000,308.08124999999995,-11.295277777777777,8.081,8.657,122.3,5.6,24.7,3.92,225.8
2024-10-03 00:00:00.000,308.00875,-11.381944444444445,8.151,8.656,117.3,5.9,24.7,2.84,210.4
2024-10-08 00:00:00.000,307.98374999999993,-11.45861111111111,8.224,8.654,112.4,6.1,24.7,2.14,181.0
2024-10-13 00:00:00.000,308.00666666666666,-11.524444444444445,8.301,8.653,107.5,6.3,24.8,2.27,142.8
2024-10-18 00:00:00.000,308.07708333333335,-11.578888888888889,8.379,8.652,102.6,6.5,24.8,3.13,117.8
2024-10-23 00:00:00.000,308.195,-11.621666666666668,8.459,8.65,97.8,6.5,24.8,4.3,104.8
2024-10-28 00:00:00.000,308.35999999999996,-11.652222222222223,8.54,8.649,93.0,6.6,24.8,5.58,97.5
2024-11-02 00:00:00.000,308.5708333333333,-11.67,8.621,8.647,88.2,6.6,24.9,6.88,92.8
2025-05-16 00:00:00.000,328.85416666666663,-5.560833333333333,8.604,8.594,86.0,6.7,24.9,7.49,56.7
2025-05-21 00:00:00.000,329.04291666666666,-5.430555555555556,8.522,8.592,90.6,6.8,24.8,6.22,53.5
2025-05-26 00:00:00.000,329.18874999999997,-5.314444444444444,8.44,8.591,95.2,6.7,24.8,4.94,48.8
2025-05-31 00:00:00.000,329.29124999999993,-5.213611111111112,8.358,8.589,99.8,6.7,24.8,3.68,40.8
2025-06-05 00:00:00.000,329.34999999999997,-5.128888888888889,8.278,8.588,104.5,6.6,24.8,2.55,25.4
2025-06-10 00:00:00.000,329.36458333333326,-5.060277777777777,8.199,8.587,109.2,6.4,24.7,1.81,353.1
2025-06-15 00:00:00.000,329.3354166666666,-5.0088888888888885,8.123,8.585,113.9,6.2,24.7,1.99,310.2
2025-06-20 00:00:00.000,329.2629166666666,-4.974722222222223,8.05,8.584,118.7,6.0,24.7,2.91,285.1
2025-06-25 00:00:00.000,329.1479166666666,-4.958333333333334,7.979,8.583,123.5,5.7,24.6,4.08,273.1
2025-06-30 00:00:00.000,328.99125,-4.96,7.913,8.581,128.4,5.3,24.6,5.29,266.6
