Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-19 00:00:00.000,121.91291666666666,40.29416666666666,6.566,6.636,89.7,8.6,22.4,14.17,350.3,1,333.9
2023-10-24 00:00:00.000,121.76416666666665,40.77194444444444,6.496,6.65,94.6,8.6,22.4,15.32,343.3,1,333.8
2023-10-29 00:00:00.000,121.52416666666666,41.27222222222222,6.428,6.665,99.5,8.5,22.4,16.64,337.1,1,333.7
2023-11-03 00:00:00.000,121.18749999999997,41.793055555555554,6.361,6.679,104.5,8.3,22.3,18.1,331.5,1,333.5
2023-11-08 00:00:00.000,120.75,42.331388888888895,6.297,6.693,109.5,8.0,22.3,19.66,326.5,1,333.2
2023-11-13 00:00:00.000,120.20708333333332,42.88388888888889,6.235,6.707,114.6,7.7,22.3,21.27,321.9,1,332.8
2023-11-18 00:00:00.000,119.55583333333333,43.44611111111111,6.178,6.721,119.6,7.3,22.3,22.89,317.8,1,332.3
2023-11-23 00:00:00.000,118.79499999999999,44.0125,6.125,6.736,124.6,6.9,22.2,24.46,314.0,1,331.7
2023-11-28 00:00:00.000,117.92541666666665,44.577222222222225,6.078,6.75,129.6,6.5,22.2,25.96,310.5,1,331.1
2023-12-03 00:00:00.000,116.94874999999999,45.134166666666665,6.037,6.764,134.4,6.0,22.2,27.34,307.2,1,330.3
2024-02-06 00:00:00.000,99.36625,49.06361111111111,6.22,6.94,134.0,5.9,22.3,23.79,269.6,1,316.4
2024-02-11 00:00:00.000,98.20291666666665,49.03972222222222,6.288,6.954,129.2,6.3,22.3,21.96,266.7,1,315.5
2024-02-16 00:00:00.000,97.13958333333332,48.98222222222223,6.362,6.967,124.3,6.7,22.4,20.02,263.7,1,314.7
2024-02-21 00:00:00.000,96.18333333333332,48.89611111111111,6.441,6.98,119.4,7.1,22.4,18.03,260.6,1,313.9
2024-02-26 00:00:00.000,95.33749999999998,48.786944444444444,6.524,6.993,114.5,7.4,22.5,16.02,257.2,1,313.2
2024-03-02 00:00:00.000,94.60333333333331,48.66027777777778,6.611,7.006,109.6,7.7,22.5,14.02,253.3,1,312.6
2024-03-07 00:00:00.000,93.98124999999999,48.520833333333336,6.7,7.019,104.8,7.9,22.5,12.06,248.9,1,312.2
2024-03-12 00:00:00.000,93.47083333333332,48.3725,6.792,7.032,99.9,8.0,22.6,10.15,243.5,1,311.7
2024-03-17 00:00:00.000,93.06833333333331,48.22,6.885,7.045,95.2,8.1,22.6,8.37,236.6,1,311.4
2024-03-22 00:00:00.000,92.77,48.06638888888889,6.979,7.057,90.5,8.1,22.7,6.76,227.3,1,311.2
2024-03-27 00:00:00.000,92.57083333333333,47.915,7.072,7.07,85.8,8.1,22.7,5.42,214.2,1,311.0
2024-10-03 00:00:00.000,109.24874999999999,52.22138888888889,7.501,7.515,87.0,7.6,22.9,14.16,355.2,1,324.6
2024-10-08 00:00:00.000,109.13708333333332,52.70055555555556,7.435,7.525,91.4,7.6,22.9,14.92,348.7,1,324.6
2024-10-13 00:00:00.000,108.92583333333333,53.19583333333333,7.369,7.536,95.8,7.6,22.9,15.8,342.6,1,324.4
2024-10-18 00:00:00.000,108.60874999999999,53.70444444444445,7.305,7.547,100.3,7.5,22.9,16.78,336.8,1,324.2
2024-10-23 00:00:00.000,108.17958333333333,54.223055555555554,7.242,7.557,104.7,7.3,22.9,17.85,331.4,1,323.9
2024-10-28 00:00:00.000,107.6325,54.7475,7.183,7.568,109.2,7.1,22.8,18.97,326.3,1,323.4
2024-11-02 00:00:00.000,106.96208333333331,55.27333333333333,7.126,7.578,113.6,6.9,22.8,20.12,321.5,1,322.9
2024-11-07 00:00:00.000,106.16499999999999,55.794999999999995,7.073,7.588,118.0,6.6,22.8,21.26,316.9,1,322.2
2024-11-12 00:00:00.000,105.23916666666665,56.30583333333333,7.025,7.599,122.2,6.3,22.8,22.35,312.5,1,321.5
2024-11-17 00:00:00.000,104.18583333333333,56.8,6.981,7.609,126.3,6.0,22.7,23.38,308.3,1,320.6
2024-11-22 00:00:00.000,103.00708333333333,57.27055555555555,6.944,7.619,130.2,5.7,22.7,24.33,304.2,1,319.6
2024-11-27 00:00:00.000,101.70833333333333,57.71055555555556,6.912,7.629,133.9,5.4,22.7,25.16,300.2,1,318.5
2025-01-21 00:00:00.000,84.06041666666665,59.18611111111111,7.046,7.737,131.9,5.4,22.8,22.34,257.5,1,303.2
2025-01-26 00:00:00.000,82.69583333333333,59.005833333333335,7.1,7.747,128.1,5.7,22.8,21.07,253.6,1,302.0
2025-01-31 00:00:00.000,81.44833333333332,58.79083333333333,7.161,7.756,124.1,6.0,22.8,19.69,249.5,1,301.0
2025-02-05 00:00:00.000,80.32541666666664,58.547777777777775,7.226,7.766,120.0,6.3,22.9,18.24,245.2,1,300.0
2025-02-10 00:00:00.000,79.33249999999998,58.28361111111111,7.296,7.775,115.7,6.6,22.9,16.76,240.8,1,299.2
2025-02-15 00:00:00.000,78.47041666666665,58.00472222222222,7.37,7.784,111.4,6.8,22.9,15.27,236.0,1,298.4
2025-02-20 00:00:00.000,77.73875,57.716944444444444,7.447,7.794,107.0,7.0,23.0,13.8,230.8,1,297.8
2025-02-25 00:00:00.000,77.13458333333332,57.42527777777777,7.526,7.803,102.6,7.1,23.0,12.37,225.0,1,297.3
2025-03-02 00:00:00.000,76.6545833333333,57.13472222222222,7.608,7.812,98.3,7.2,23.0,11.02,218.3,1,296.9
