Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,210.16124999999997,34.62166666666667,13.744,13.827,92.6,4.2,27.1,5.88,225.3,9144,355.1
2023-07-06 00:00:00.000,210.0083333333333,34.47694444444445,13.801,13.822,89.1,4.2,27.1,5.65,216.6,9096,354.9
2023-07-11 00:00:00.000,209.88916666666663,34.319722222222225,13.858,13.817,85.6,4.2,27.1,5.51,207.5,9046,354.7
2024-01-07 00:00:00.000,218.69916666666666,32.82055555555556,13.653,13.612,85.6,4.1,27.0,9.5,28.6,9120,5.0
2024-01-12 00:00:00.000,218.86458333333331,33.10777777777778,13.585,13.606,89.2,4.1,27.0,9.65,22.9,9208,5.2
2024-01-17 00:00:00.000,218.99791666666667,33.41222222222222,13.517,13.6,92.8,4.1,27.0,9.83,17.3,9299,5.3
2024-01-22 00:00:00.000,219.09749999999997,33.7325,13.45,13.594,96.3,4.1,27.0,10.04,11.8,9392,5.4
2024-01-27 00:00:00.000,219.1620833333333,34.066944444444445,13.384,13.588,99.9,4.1,27.0,10.28,6.5,9486,5.5
2024-02-01 00:00:00.000,219.19041666666664,34.413333333333334,13.32,13.582,103.4,4.0,27.0,10.56,1.3,9582,5.5
2024-02-06 00:00:00.000,219.18124999999998,34.76972222222222,13.258,13.575,106.8,4.0,26.9,10.85,356.3,9677,5.5
2024-02-11 00:00:00.000,219.13374999999996,35.13388888888889,13.199,13.569,110.1,3.9,26.9,11.14,351.5,9772,5.4
2024-02-16 00:00:00.000,219.04666666666665,35.50333333333333,13.143,13.563,113.2,3.8,26.9,11.43,346.9,9865,5.3
2024-02-21 00:00:00.000,218.9208333333333,35.875277777777775,13.09,13.557,116.3,3.8,26.9,11.71,342.4,9956,5.1
2024-02-26 00:00:00.000,218.75583333333333,36.246944444444445,13.041,13.55,119.1,3.7,26.9,11.98,338.2,10045,4.9
2024-03-02 00:00:00.000,218.55291666666665,36.615833333333335,12.997,13.544,121.7,3.6,26.9,12.22,334.1,10130,4.6
2024-03-07 00:00:00.000,218.31249999999997,36.97888888888889,12.957,13.538,124.0,3.5,26.9,12.44,330.1,10211,4.3
2024-03-12 00:00:00.000,218.03624999999997,37.33361111111111,12.922,13.531,126.1,3.4,26.8,12.61,326.2,10287,4.0
2024-03-17 00:00:00.000,217.72541666666663,37.67638888888889,12.892,13.525,127.8,3.3,26.8,12.73,322.4,10358,3.6
2024-03-22 00:00:00.000,217.3833333333333,38.00527777777778,12.868,13.519,129.1,3.3,26.8,12.8,318.7,10423,3.2
2024-03-27 00:00:00.000,217.0120833333333,38.31722222222223,12.848,13.512,130.1,3.2,26.8,12.82,315.1,10482,2.8
2024-04-01 00:00:00.000,216.61499999999998,38.61,12.835,13.506,130.6,3.2,26.8,12.8,311.5,10535,2.3
2024-04-06 00:00:00.000,216.19541666666663,38.88138888888889,12.826,13.499,130.6,3.2,26.8,12.71,307.9,10580,1.9
2024-04-11 00:00:00.000,215.75708333333333,39.12972222222222,12.823,13.493,130.3,3.2,26.8,12.57,304.2,10618,1.4
2024-04-16 00:00:00.000,215.30374999999998,39.3525,12.826,13.486,129.5,3.3,26.8,12.37,300.6,10649,0.9
2024-04-21 00:00:00.000,214.8408333333333,39.54888888888889,12.834,13.48,128.3,3.4,26.8,12.11,296.9,10672,0.3
2024-04-26 00:00:00.000,214.37166666666664,39.7175,12.847,13.473,126.8,3.4,26.8,11.81,293.2,10688,359.8
2024-05-01 00:00:00.000,213.9008333333333,39.858333333333334,12.864,13.467,124.9,3.5,26.8,11.47,289.3,10697,359.3
2024-05-06 00:00:00.000,213.43291666666664,39.97027777777778,12.887,13.46,122.8,3.6,26.8,11.09,285.3,10699,358.8
2024-05-11 00:00:00.000,212.97208333333333,40.05305555555555,12.914,13.453,120.4,3.7,26.8,10.66,281.1,10693,358.2
2024-05-16 00:00:00.000,212.52291666666662,40.10722222222223,12.945,13.447,117.8,3.8,26.9,10.21,276.7,10681,357.7
2024-05-21 00:00:00.000,212.08916666666664,40.13333333333333,12.98,13.44,115.1,3.9,26.9,9.74,272.2,10663,357.3
2024-05-26 00:00:00.000,211.67499999999998,40.132222222222225,13.018,13.433,112.2,4.0,26.9,9.26,267.3,10639,356.8
2024-05-31 00:00:00.000,211.28375,40.10472222222222,13.06,13.427,109.2,4.1,26.9,8.79,262.1,10609,356.3
2024-06-05 00:00:00.000,210.9175,40.05222222222222,13.104,13.42,106.1,4.2,26.9,8.32,256.5,10574,355.9
2024-06-10 00:00:00.000,210.58041666666662,39.975833333333334,13.15,13.413,102.9,4.2,26.9,7.86,250.4,10534,355.5
