Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-28 00:00:00.000,163.2,12.578333333333333,5.621,5.63,85.5,10.1,24.5,10.29,106.5,1,292.8
2023-12-03 00:00:00.000,163.50541666666666,12.494444444444444,5.537,5.628,90.2,10.1,24.5,8.27,104.8,1,292.9
2023-12-08 00:00:00.000,163.745,12.438055555555556,5.453,5.625,95.0,10.0,24.5,6.15,101.9,1,293.0
2023-12-13 00:00:00.000,163.91541666666666,12.410277777777779,5.37,5.623,99.9,9.9,24.4,3.97,95.8,1,293.1
2023-12-18 00:00:00.000,164.01375,12.411388888888888,5.287,5.621,104.9,9.7,24.4,1.86,75.2,1,293.2
2023-12-23 00:00:00.000,164.03791666666663,12.441944444444445,5.206,5.618,109.9,9.5,24.3,1.4,343.9,1,293.3
2023-12-28 00:00:00.000,163.98708333333332,12.501388888888888,5.128,5.616,115.1,9.1,24.3,3.42,310.3,1,293.3
2024-01-02 00:00:00.000,163.85916666666665,12.589166666666667,5.053,5.613,120.3,8.7,24.2,5.74,302.2,1,293.3
2024-01-07 00:00:00.000,163.655,12.704722222222221,4.981,5.61,125.6,8.2,24.2,8.09,298.6,1,293.4
2024-01-12 00:00:00.000,163.37374999999997,12.846666666666668,4.914,5.608,130.9,7.6,24.1,10.41,296.5,1,293.3
2024-04-06 00:00:00.000,153.20874999999998,15.981388888888889,4.815,5.544,132.9,7.6,24.1,12.05,276.1,1,292.0
2024-04-11 00:00:00.000,152.82833333333332,16.009444444444444,4.87,5.54,127.7,8.2,24.1,9.93,272.3,1,292.0
2024-04-16 00:00:00.000,152.52166666666665,16.008333333333333,4.931,5.535,122.5,8.8,24.2,7.79,266.6,1,292.0
2024-04-21 00:00:00.000,152.29,15.97861111111111,4.995,5.53,117.5,9.3,24.2,5.74,256.8,1,292.0
2024-04-26 00:00:00.000,152.13416666666666,15.921111111111111,5.062,5.526,112.5,9.7,24.3,4.01,237.9,1,292.1
2024-05-01 00:00:00.000,152.05416666666665,15.836666666666668,5.132,5.521,107.6,10.0,24.3,3.17,202.6,1,292.2
2024-05-06 00:00:00.000,152.04958333333332,15.72638888888889,5.203,5.515,102.8,10.3,24.3,3.81,165.6,1,292.3
2024-05-11 00:00:00.000,152.11916666666664,15.590833333333334,5.277,5.51,98.1,10.5,24.4,5.39,145.3,1,292.4
2024-05-16 00:00:00.000,152.26083333333332,15.431111111111111,5.351,5.505,93.5,10.6,24.4,7.25,135.1,1,292.5
2024-05-21 00:00:00.000,152.47208333333333,15.248888888888889,5.425,5.5,88.9,10.6,24.4,9.15,129.3,1,292.7
2024-12-22 00:00:00.000,184.22,-0.08833333333333333,5.145,5.176,86.4,10.9,24.2,12.18,117.2,1,299.7
2024-12-27 00:00:00.000,184.54833333333332,-0.26,5.054,5.167,91.1,11.0,24.2,10.03,118.2,1,299.7
2025-01-01 00:00:00.000,184.80791666666664,-0.4033333333333334,4.962,5.157,95.9,10.9,24.1,7.75,119.9,1,299.8
2025-01-06 00:00:00.000,184.99541666666664,-0.5169444444444445,4.872,5.147,100.8,10.8,24.1,5.38,123.2,1,299.9
2025-01-11 00:00:00.000,185.1075,-0.5997222222222223,4.783,5.137,105.7,10.6,24.0,2.99,132.3,1,299.9
2025-01-16 00:00:00.000,185.14208333333332,-0.6511111111111111,4.695,5.127,110.8,10.3,24.0,1.07,187.8,1,300.0
2025-01-21 00:00:00.000,185.0970833333333,-0.6705555555555556,4.61,5.117,115.9,10.0,23.9,2.57,268.0,1,300.0
2025-01-26 00:00:00.000,184.97041666666664,-0.6572222222222223,4.528,5.107,121.1,9.5,23.8,5.1,280.1,1,300.1
2025-01-31 00:00:00.000,184.7620833333333,-0.611111111111111,4.45,5.096,126.4,9.0,23.8,7.71,284.0,1,300.1
2025-02-05 00:00:00.000,184.47249999999997,-0.5330555555555556,4.376,5.086,131.8,8.3,23.7,10.28,285.9,1,300.2
2025-05-01 00:00:00.000,173.97333333333333,2.7919444444444443,4.151,4.892,132.8,8.7,23.5,12.43,283.3,1,301.3
2025-05-06 00:00:00.000,173.6083333333333,2.8713888888888888,4.198,4.88,127.6,9.4,23.6,9.94,281.0,1,301.4
2025-05-11 00:00:00.000,173.3225,2.9180555555555556,4.25,4.867,122.5,10.1,23.6,7.41,277.1,1,301.4
2025-05-16 00:00:00.000,173.11791666666664,2.9319444444444445,4.305,4.855,117.5,10.6,23.7,4.91,269.1,1,301.5
2025-05-21 00:00:00.000,172.995,2.912777777777778,4.363,4.842,112.6,11.1,23.7,2.68,246.4,1,301.6
2025-05-26 00:00:00.000,172.95416666666665,2.8602777777777777,4.424,4.83,107.7,11.5,23.7,2.07,180.1,1,301.7
2025-05-31 00:00:00.000,172.99458333333334,2.775,4.486,4.817,103.0,11.8,23.8,3.89,141.6,1,301.8
