Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-20 00:00:00.000,52.13499999999999,37.15888888888889,18.313,18.296,87.4,3.2,25.9,3.12,7.9,23,50.6
2023-08-25 00:00:00.000,52.13916666666666,37.25972222222222,18.234,18.297,92.0,3.2,25.9,2.95,355.5,23,50.5
2023-08-30 00:00:00.000,52.11583333333333,37.355000000000004,18.155,18.298,96.6,3.1,25.9,2.92,342.3,23,50.5
2023-09-04 00:00:00.000,52.064583333333324,37.44472222222222,18.076,18.299,101.2,3.1,25.9,3.02,329.2,23,50.4
2023-09-09 00:00:00.000,51.98625,37.52777777777778,18.0,18.3,105.8,3.0,25.9,3.25,317.4,23,50.3
2023-09-14 00:00:00.000,51.879999999999995,37.60388888888889,17.925,18.301,110.5,3.0,25.9,3.58,307.3,23,50.1
2023-09-19 00:00:00.000,51.74708333333333,37.67222222222222,17.853,18.302,115.1,2.8,25.9,3.97,299.0,23,49.9
2023-09-24 00:00:00.000,51.587916666666665,37.731944444444444,17.784,18.303,119.8,2.7,25.9,4.4,292.3,23,49.7
2023-09-29 00:00:00.000,51.404166666666654,37.783055555555556,17.719,18.304,124.4,2.6,25.8,4.85,286.7,23,49.5
2023-10-04 00:00:00.000,51.197083333333325,37.825,17.658,18.305,129.1,2.4,25.8,5.29,282.1,23,49.3
2023-10-09 00:00:00.000,50.96791666666666,37.856944444444444,17.602,18.306,133.7,2.3,25.8,5.73,278.2,23,49.1
2024-01-02 00:00:00.000,46.254999999999995,37.00944444444445,17.664,18.321,130.7,2.3,25.8,5.13,236.2,23,44.6
2024-01-07 00:00:00.000,46.089999999999996,36.914722222222224,17.727,18.321,125.9,2.5,25.8,4.62,232.2,22,44.5
2024-01-12 00:00:00.000,45.951249999999995,36.821111111111115,17.794,18.322,121.1,2.6,25.8,4.09,227.3,22,44.4
2024-01-17 00:00:00.000,45.840416666666655,36.73027777777778,17.866,18.323,116.3,2.8,25.9,3.55,221.0,22,44.3
2024-01-22 00:00:00.000,45.75749999999999,36.64277777777778,17.941,18.323,111.4,2.9,25.9,3.05,212.8,22,44.3
2024-01-27 00:00:00.000,45.70374999999999,36.55972222222222,18.018,18.324,106.6,3.0,25.9,2.6,201.7,22,44.3
2024-02-01 00:00:00.000,45.67791666666666,36.481944444444444,18.098,18.324,101.8,3.0,25.9,2.26,186.8,22,44.3
2024-02-06 00:00:00.000,45.68124999999999,36.41,18.18,18.325,96.9,3.1,25.9,2.1,168.4,22,44.3
2024-02-11 00:00:00.000,45.712916666666665,36.345,18.262,18.326,92.1,3.1,25.9,2.16,149.1,22,44.4
2024-02-16 00:00:00.000,45.772499999999994,36.286944444444444,18.345,18.326,87.4,3.1,25.9,2.41,132.5,22,44.5
2024-08-24 00:00:00.000,54.587083333333325,38.88333333333333,18.317,18.336,89.5,3.2,25.9,3.16,2.7,24,52.1
2024-08-29 00:00:00.000,54.579583333333325,38.986111111111114,18.238,18.336,94.0,3.1,25.9,3.05,350.4,24,52.1
2024-09-03 00:00:00.000,54.54333333333332,39.08388888888889,18.158,18.336,98.6,3.1,25.9,3.08,337.5,25,52.0
2024-09-08 00:00:00.000,54.478333333333325,39.175555555555555,18.08,18.336,103.2,3.1,25.9,3.23,325.3,25,51.9
2024-09-13 00:00:00.000,54.385416666666664,39.26083333333333,18.003,18.336,107.8,3.0,25.9,3.49,314.6,25,51.7
2024-09-18 00:00:00.000,54.26458333333333,39.33861111111111,17.929,18.336,112.4,2.9,25.9,3.83,305.5,25,51.6
2024-09-23 00:00:00.000,54.11666666666666,39.40888888888889,17.858,18.336,117.0,2.8,25.9,4.23,297.9,25,51.4
2024-09-28 00:00:00.000,53.942499999999995,39.470555555555556,17.79,18.336,121.7,2.7,25.9,4.66,291.6,25,51.2
2024-10-03 00:00:00.000,53.74291666666666,39.52305555555555,17.726,18.336,126.3,2.5,25.8,5.1,286.4,25,50.9
2024-10-08 00:00:00.000,53.520416666666655,39.566111111111105,17.666,18.335,130.8,2.4,25.8,5.53,281.9,25,50.7
2025-01-01 00:00:00.000,48.664583333333326,38.825833333333335,17.648,18.33,132.8,2.3,25.8,5.42,237.4,24,46.0
2025-01-06 00:00:00.000,48.48208333333333,38.72833333333333,17.707,18.33,128.1,2.4,25.8,4.93,233.5,24,45.8
2025-01-11 00:00:00.000,48.32666666666667,38.63111111111111,17.77,18.329,123.4,2.6,25.8,4.41,228.9,24,45.7
2025-01-16 00:00:00.000,48.19875,38.53527777777778,17.838,18.329,118.6,2.7,25.9,3.9,223.2,24,45.6
2025-01-21 00:00:00.000,48.09916666666666,38.44194444444444,17.909,18.328,113.8,2.8,25.9,3.4,216.0,24,45.6
2025-01-26 00:00:00.000,48.02875,38.35194444444445,17.984,18.328,109.0,2.9,25.9,2.94,206.4,24,45.6
2025-01-31 00:00:00.000,47.987916666666656,38.266666666666666,18.061,18.327,104.2,3.0,25.9,2.56,193.8,23,45.6
2025-02-05 00:00:00.000,47.977083333333326,38.186388888888885,18.14,18.327,99.4,3.0,25.9,2.32,177.9,23,45.6
2025-02-10 00:00:00.000,47.99499999999999,38.112500000000004,18.22,18.326,94.6,3.1,25.9,2.26,160.0,23,45.7
2025-02-15 00:00:00.000,48.04208333333333,38.044999999999995,18.301,18.326,89.9,3.1,25.9,2.4,143.0,23,45.8
2025-02-20 00:00:00.000,48.11749999999999,37.984722222222224,18.382,18.325,85.1,3.1,25.9,2.7,128.8,23,45.9
2025-08-24 00:00:00.000,57.16124999999999,40.45194444444445,18.318,18.292,87.0,3.2,25.9,3.41,9.2,26,53.9
2025-08-29 00:00:00.000,57.170416666666654,40.56222222222222,18.237,18.291,91.5,3.2,25.9,3.24,357.8,26,53.8
2025-09-03 00:00:00.000,57.15041666666666,40.66777777777777,18.157,18.29,96.0,3.1,25.9,3.19,345.7,26,53.7
2025-09-08 00:00:00.000,57.101249999999986,40.768055555555556,18.077,18.289,100.6,3.1,25.9,3.27,333.6,26,53.6
2025-09-13 00:00:00.000,57.02291666666665,40.862500000000004,17.999,18.288,105.1,3.0,25.9,3.46,322.4,27,53.5
2025-09-18 00:00:00.000,56.91499999999999,40.95055555555556,17.923,18.286,109.7,3.0,25.9,3.75,312.5,27,53.3
2025-09-23 00:00:00.000,56.779166666666654,41.03111111111111,17.849,18.285,114.3,2.9,25.9,4.1,304.0,27,53.1
2025-09-28 00:00:00.000,56.614999999999995,41.10333333333333,17.779,18.284,118.9,2.8,25.8,4.51,297.0,27,52.9
2025-10-03 00:00:00.000,56.424166666666665,41.16722222222222,17.712,18.283,123.5,2.6,25.8,4.92,291.1,27,52.7
2025-10-08 00:00:00.000,56.208749999999995,41.22166666666667,17.649,18.281,128.0,2.5,25.8,5.35,286.2,27,52.4
2025-10-13 00:00:00.000,55.969583333333325,41.26611111111111,17.591,18.28,132.5,2.3,25.8,5.76,281.9,27,52.2
2026-01-01 00:00:00.000,51.19333333333333,40.60388888888889,17.55,18.257,134.8,2.2,25.8,5.71,238.7,26,47.4
2026-01-06 00:00:00.000,50.992083333333326,40.504444444444445,17.605,18.255,130.2,2.4,25.8,5.25,235.0,26,47.3
2026-01-11 00:00:00.000,50.81708333333333,40.403888888888886,17.664,18.254,125.6,2.5,25.8,4.76,230.7,26,47.2
2026-01-16 00:00:00.000,50.669999999999995,40.30361111111111,17.728,18.252,120.8,2.7,25.8,4.26,225.4,26,47.1
2026-01-21 00:00:00.000,50.552499999999995,40.205000000000005,17.796,18.25,116.1,2.8,25.8,3.76,218.8,26,47.0
