Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-30 00:00:00.000,68.76083333333332,3.4622222222222225,14.223,14.233,88.5,4.1,24.3,2.04,133.4,154,27.5
2023-09-04 00:00:00.000,68.79624999999999,3.412777777777778,14.14,14.23,93.1,4.1,24.3,1.67,157.9,155,27.6
2023-09-09 00:00:00.000,68.80291666666665,3.359166666666667,14.057,14.227,97.7,4.0,24.3,1.69,188.3,156,27.6
2023-09-14 00:00:00.000,68.77999999999999,3.301388888888889,13.975,14.224,102.3,4.0,24.3,2.11,212.5,157,27.6
2023-09-19 00:00:00.000,68.72708333333333,3.2408333333333332,13.894,14.221,107.0,3.9,24.2,2.75,227.5,158,27.6
2023-09-24 00:00:00.000,68.64458333333332,3.1777777777777776,13.816,14.217,111.7,3.8,24.2,3.48,236.8,159,27.6
2023-09-29 00:00:00.000,68.53291666666665,3.113888888888889,13.74,14.214,116.4,3.6,24.2,4.24,243.0,160,27.5
2023-10-04 00:00:00.000,68.39249999999998,3.049444444444444,13.668,14.211,121.1,3.5,24.2,5.02,247.4,160,27.5
2023-10-09 00:00:00.000,68.22374999999998,2.9858333333333333,13.6,14.207,125.8,3.3,24.2,5.78,250.9,161,27.4
2023-10-14 00:00:00.000,68.02791666666666,2.923611111111111,13.536,14.204,130.5,3.1,24.1,6.52,253.7,161,27.3
2024-01-07 00:00:00.000,62.884166666666665,2.9658333333333333,13.457,14.144,132.9,2.9,24.1,7.93,289.9,159,23.4
2024-01-12 00:00:00.000,62.64708333333333,3.061111111111111,13.513,14.14,128.0,3.1,24.1,7.37,294.1,158,23.2
2024-01-17 00:00:00.000,62.43541666666666,3.1663888888888887,13.574,14.136,123.2,3.3,24.1,6.81,299.1,158,23.0
2024-01-22 00:00:00.000,62.25041666666666,3.281388888888889,13.64,14.133,118.3,3.5,24.2,6.25,304.9,157,22.8
2024-01-27 00:00:00.000,62.09374999999999,3.405,13.71,14.129,113.4,3.7,24.2,5.74,311.9,157,22.6
