Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,199.13208333333333,-12.259444444444444,16.838,17.106,103.6,3.3,28.5,3.18,307.4,8796,306.0
2023-07-06 00:00:00.000,199.05791666666667,-12.199722222222222,16.919,17.104,98.8,3.4,28.5,2.48,311.9,8776,306.0
2023-07-11 00:00:00.000,199.00666666666663,-12.149444444444445,17.001,17.101,94.0,3.4,28.5,1.8,319.9,8752,306.0
2023-07-16 00:00:00.000,198.97874999999996,-12.108333333333333,17.084,17.099,89.2,3.4,28.6,1.19,336.2,8723,306.0
2024-01-17 00:00:00.000,204.3425,-13.835833333333333,16.996,16.998,88.4,3.3,28.5,0.76,270.7,7954,307.1
2024-01-22 00:00:00.000,204.30416666666665,-13.830833333333333,16.905,16.995,93.5,3.3,28.5,1.52,281.1,8008,307.1
2024-01-27 00:00:00.000,204.23999999999998,-13.81638888888889,16.815,16.991,98.7,3.3,28.5,2.3,284.6,8068,307.1
2024-02-01 00:00:00.000,204.15083333333328,-13.791944444444445,16.726,16.988,103.8,3.2,28.5,3.09,286.5,8133,307.1
2024-02-06 00:00:00.000,204.03666666666663,-13.757777777777777,16.638,16.985,109.0,3.1,28.5,3.88,287.6,8203,307.0
2024-02-11 00:00:00.000,203.89749999999998,-13.71361111111111,16.553,16.982,114.2,3.0,28.5,4.66,288.5,8279,307.0
2024-02-16 00:00:00.000,203.73416666666665,-13.659444444444444,16.472,16.979,119.4,2.9,28.4,5.41,289.1,8358,307.0
2024-02-21 00:00:00.000,203.54749999999999,-13.595555555555556,16.394,16.975,124.7,2.7,28.4,6.13,289.7,8442,306.9
2024-02-26 00:00:00.000,203.33874999999998,-13.521944444444445,16.321,16.972,129.9,2.6,28.4,6.81,290.1,8529,306.9
2024-05-31 00:00:00.000,197.90166666666664,-11.203888888888889,16.225,16.907,131.0,2.6,28.4,7.07,297.8,9877,306.3
2024-06-05 00:00:00.000,197.69916666666666,-11.097777777777779,16.288,16.904,126.0,2.8,28.4,6.43,298.6,9891,306.3
2024-06-10 00:00:00.000,197.5183333333333,-10.999166666666666,16.355,16.9,121.0,3.0,28.4,5.75,299.5,9897,306.3
2024-06-15 00:00:00.000,197.35958333333332,-10.908888888888889,16.425,16.896,116.0,3.1,28.4,5.05,300.7,9897,306.3
2024-06-20 00:00:00.000,197.2233333333333,-10.827222222222222,16.5,16.893,111.1,3.2,28.4,4.34,302.3,9890,306.3
2024-06-25 00:00:00.000,197.11041666666662,-10.754444444444445,16.576,16.889,106.2,3.3,28.5,3.62,304.4,9877,306.3
2024-06-30 00:00:00.000,197.02124999999998,-10.69111111111111,16.655,16.885,101.4,3.4,28.5,2.89,307.6,9858,306.4
2024-07-05 00:00:00.000,196.95499999999998,-10.637222222222222,16.735,16.881,96.5,3.4,28.5,2.17,312.8,9833,306.4
2024-07-10 00:00:00.000,196.91291666666666,-10.592777777777778,16.816,16.878,91.7,3.5,28.5,1.49,322.7,9804,306.4
2024-07-15 00:00:00.000,196.89374999999998,-10.558055555555557,16.898,16.874,86.9,3.4,28.5,0.92,346.1,9769,306.4
2025-01-11 00:00:00.000,202.29916666666662,-12.34,16.774,16.725,85.5,3.4,28.5,0.32,261.9,8879,307.7
2025-01-16 00:00:00.000,202.27583333333328,-12.336944444444445,16.681,16.72,90.6,3.4,28.5,1.08,283.0,8938,307.7
2025-01-21 00:00:00.000,202.2270833333333,-12.323888888888888,16.589,16.716,95.7,3.4,28.4,1.88,286.7,9003,307.7
2025-01-26 00:00:00.000,202.15291666666664,-12.300833333333333,16.498,16.711,100.9,3.3,28.4,2.69,288.3,9074,307.7
2025-01-31 00:00:00.000,202.0533333333333,-12.267777777777779,16.407,16.707,106.1,3.2,28.4,3.5,289.2,9152,307.6
2025-02-05 00:00:00.000,201.92791666666662,-12.224166666666667,16.32,16.702,111.2,3.2,28.4,4.3,289.8,9236,307.6
2025-02-10 00:00:00.000,201.77791666666664,-12.170555555555556,16.235,16.698,116.5,3.0,28.4,5.07,290.3,9326,307.6
2025-02-15 00:00:00.000,201.60375,-12.106944444444444,16.153,16.693,121.7,2.9,28.4,5.83,290.7,9420,307.5
2025-02-20 00:00:00.000,201.40624999999997,-12.033333333333333,16.076,16.688,126.9,2.7,28.3,6.55,291.0,9519,307.5
2025-02-25 00:00:00.000,201.1870833333333,-11.95,16.003,16.684,132.2,2.5,28.3,7.24,291.4,9621,307.4
2025-05-26 00:00:00.000,195.90416666666667,-9.651388888888889,15.881,16.596,133.6,2.5,28.3,7.56,297.1,11135,306.7
2025-05-31 00:00:00.000,195.68666666666664,-9.540277777777778,15.94,16.591,128.6,2.7,28.3,6.92,297.7,11156,306.7
2025-06-05 00:00:00.000,195.49041666666665,-9.436944444444444,16.003,16.586,123.6,2.9,28.3,6.25,298.4,11169,306.7
2025-06-10 00:00:00.000,195.3158333333333,-9.341944444444445,16.071,16.581,118.6,3.1,28.3,5.55,299.4,11174,306.7
2025-06-15 00:00:00.000,195.16374999999996,-9.255833333333333,16.142,16.576,113.7,3.2,28.4,4.83,300.5,11171,306.7
2025-06-20 00:00:00.000,195.03499999999997,-9.178888888888888,16.216,16.571,108.8,3.3,28.4,4.09,302.1,11160,306.7
2025-06-25 00:00:00.000,194.92999999999998,-9.111388888888888,16.292,16.566,103.9,3.4,28.4,3.34,304.3,11142,306.7
2025-06-30 00:00:00.000,194.84874999999997,-9.053611111111111,16.371,16.561,99.0,3.5,28.4,2.59,307.7,11117,306.7
2025-07-05 00:00:00.000,194.79166666666663,-9.005555555555556,16.45,16.555,94.2,3.5,28.4,1.86,313.8,11086,306.7
2025-07-10 00:00:00.000,194.75791666666663,-8.9675,16.53,16.55,89.4,3.5,28.4,1.18,326.9,11050,306.7
2026-01-11 00:00:00.000,200.20583333333332,-10.777777777777779,16.353,16.343,87.7,3.4,28.4,0.65,288.0,10038,308.3
2026-01-16 00:00:00.000,200.17208333333332,-10.765833333333333,16.259,16.337,92.8,3.4,28.4,1.47,290.2,10110,308.3
2026-01-21 00:00:00.000,200.11208333333332,-10.743888888888888,16.166,16.331,98.0,3.4,28.3,2.3,290.9,10190,308.3
2026-01-26 00:00:00.000,200.02624999999998,-10.71111111111111,16.073,16.325,103.1,3.4,28.3,3.13,291.3,10277,308.2
2026-01-31 00:00:00.000,199.91416666666663,-10.668055555555554,15.983,16.319,108.3,3.3,28.3,3.96,291.6,10372,308.2
2026-02-05 00:00:00.000,199.7766666666666,-10.614166666666666,15.894,16.313,113.6,3.2,28.3,4.77,291.8,10474,308.2
2026-02-10 00:00:00.000,199.61416666666665,-10.55,15.809,16.307,118.8,3.0,28.3,5.56,292.0,10581,308.1
2026-02-15 00:00:00.000,199.42708333333331,-10.475555555555555,15.728,16.301,124.0,2.9,28.2,6.33,292.2,10695,308.1
2026-02-20 00:00:00.000,199.21708333333333,-10.39111111111111,15.651,16.295,129.3,2.7,28.2,7.07,292.3,10814,308.0
2026-02-25 00:00:00.000,198.98458333333332,-10.296666666666667,15.579,16.289,134.6,2.5,28.2,7.75,292.5,10936,308.0
2026-05-26 00:00:00.000,193.5933333333333,-7.891666666666667,15.49,16.175,131.1,2.7,28.2,7.47,297.0,12686,307.0
2026-05-31 00:00:00.000,193.3795833333333,-7.782777777777778,15.55,16.168,126.1,2.9,28.2,6.8,297.5,12707,307.0
2026-06-05 00:00:00.000,193.18791666666667,-7.682222222222222,15.614,16.161,121.1,3.1,28.2,6.09,298.2,12718,307.0
2026-06-10 00:00:00.000,193.01874999999998,-7.590833333333333,15.682,16.155,116.1,3.2,28.2,5.36,299.0,12720,307.0
2026-06-15 00:00:00.000,192.87291666666664,-7.5088888888888885,15.754,16.148,111.2,3.4,28.3,4.6,300.2,12712,306.9
2026-06-20 00:00:00.000,192.75124999999997,-7.436944444444444,15.828,16.142,106.3,3.5,28.3,3.83,301.7,12696,306.9
2026-06-25 00:00:00.000,192.65416666666667,-7.375,15.904,16.135,101.4,3.5,28.3,3.05,304.0,12671,306.9
2026-06-30 00:00:00.000,192.58124999999998,-7.323055555555555,15.981,16.128,96.5,3.6,28.3,2.29,307.8,12640,306.9
2026-07-05 00:00:00.000,192.5325,-7.281666666666666,16.059,16.122,91.7,3.6,28.3,1.54,315.1,12601,307.0
2026-07-10 00:00:00.000,192.50791666666666,-7.250277777777778,16.138,16.115,86.9,3.6,28.3,0.87,334.3,12556,307.0
2027-01-11 00:00:00.000,198.04499999999996,-9.120000000000001,15.82,15.851,90.0,3.6,28.2,1.09,296.9,11450,308.8
2027-01-16 00:00:00.000,197.99874999999997,-9.098055555555556,15.725,15.844,95.2,3.5,28.2,1.94,294.9,11540,308.8
2027-01-21 00:00:00.000,197.92583333333332,-9.065555555555557,15.63,15.836,100.3,3.5,28.2,2.79,294.2,11640,308.8
2027-01-26 00:00:00.000,197.82666666666665,-9.021944444444445,15.536,15.828,105.5,3.4,28.2,3.65,293.8,11749,308.7
2027-01-31 00:00:00.000,197.7008333333333,-8.967222222222222,15.445,15.821,110.8,3.3,28.2,4.5,293.6,11866,308.7
2027-02-05 00:00:00.000,197.54874999999996,-8.901666666666667,15.356,15.813,116.0,3.2,28.1,5.34,293.5,11992,308.7
2027-02-10 00:00:00.000,197.3708333333333,-8.825277777777778,15.271,15.806,121.2,3.1,28.1,6.16,293.5,12124,308.6
2027-02-15 00:00:00.000,197.16791666666663,-8.738055555555555,15.19,15.798,126.5,2.9,28.1,6.94,293.5,12264,308.6
2027-02-20 00:00:00.000,196.94208333333333,-8.640833333333333,15.114,15.79,131.8,2.7,28.1,7.67,293.5,12408,308.5
2027-05-21 00:00:00.000,191.37791666666664,-6.1211111111111105,14.934,15.648,133.5,2.7,28.0,8.1,296.3,14579,307.3
2027-05-26 00:00:00.000,191.14499999999995,-6.0055555555555555,14.99,15.64,128.4,2.9,28.1,7.42,296.7,14611,307.3
2027-05-31 00:00:00.000,190.93416666666664,-5.898888888888888,15.051,15.632,123.4,3.1,28.1,6.7,297.2,14631,307.2
2027-06-05 00:00:00.000,190.7458333333333,-5.801388888888889,15.116,15.623,118.4,3.3,28.1,5.94,297.8,14639,307.2
2027-06-10 00:00:00.000,190.5820833333333,-5.714166666666667,15.184,15.615,113.4,3.4,28.1,5.16,298.6,14636,307.2
2027-06-15 00:00:00.000,190.44249999999997,-5.6372222222222215,15.255,15.607,108.5,3.5,28.1,4.36,299.6,14622,307.2
2027-06-20 00:00:00.000,190.32791666666665,-5.570555555555555,15.329,15.599,103.6,3.6,28.1,3.56,301.1,14599,307.2
2027-06-25 00:00:00.000,190.2383333333333,-5.514444444444444,15.404,15.591,98.7,3.7,28.2,2.76,303.4,14566,307.2
2027-06-30 00:00:00.000,190.17374999999998,-5.469166666666667,15.481,15.582,93.9,3.7,28.2,1.96,307.6,14524,307.2
2027-07-05 00:00:00.000,190.13416666666666,-5.434722222222223,15.558,15.574,89.0,3.7,28.2,1.19,317.2,14474,307.2
