Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-28 00:00:00.000,156.95166666666663,7.2988888888888885,26.503,26.507,89.2,2.1,30.9,0.55,130.9,761,293.6
2023-12-03 00:00:00.000,156.95791666666665,7.29,26.427,26.518,94.2,2.1,30.9,0.18,193.9,764,293.6
2023-12-08 00:00:00.000,156.94874999999996,7.286944444444444,26.352,26.529,99.3,2.1,30.9,0.5,270.5,767,293.6
2023-12-13 00:00:00.000,156.92416666666665,7.290277777777778,26.278,26.54,104.4,2.1,30.9,0.98,281.0,769,293.6
2023-12-18 00:00:00.000,156.88416666666666,7.299444444444444,26.206,26.551,109.5,2.0,30.9,1.46,284.7,772,293.6
2023-12-23 00:00:00.000,156.82916666666662,7.314722222222222,26.136,26.561,114.7,1.9,30.8,1.93,286.5,774,293.6
2023-12-28 00:00:00.000,156.76,7.336111111111111,26.069,26.572,119.8,1.8,30.8,2.38,287.6,777,293.6
2024-01-02 00:00:00.000,156.67666666666668,7.3630555555555555,26.007,26.583,125.0,1.7,30.8,2.82,288.4,779,293.6
2024-01-07 00:00:00.000,156.58041666666665,7.395277777777778,25.949,26.594,130.2,1.6,30.8,3.24,289.0,780,293.6
2024-04-11 00:00:00.000,153.855,8.461388888888887,26.124,26.797,131.4,1.6,30.8,3.27,294.3,772,293.2
2024-04-16 00:00:00.000,153.76083333333332,8.504166666666666,26.2,26.807,126.4,1.7,30.8,2.88,295.0,769,293.1
2024-04-21 00:00:00.000,153.67916666666662,8.5425,26.28,26.818,121.4,1.8,30.9,2.47,295.8,767,293.1
2024-04-26 00:00:00.000,153.61124999999996,8.575833333333334,26.365,26.828,116.5,1.9,30.9,2.04,297.1,765,293.1
2024-05-01 00:00:00.000,153.5570833333333,8.604444444444445,26.452,26.839,111.6,2.0,30.9,1.6,299.0,762,293.1
2024-05-06 00:00:00.000,153.5170833333333,8.627500000000001,26.543,26.85,106.7,2.1,30.9,1.15,302.4,760,293.1
2024-05-11 00:00:00.000,153.49166666666667,8.645555555555555,26.635,26.86,101.8,2.1,30.9,0.7,310.2,758,293.1
2024-05-16 00:00:00.000,153.48083333333332,8.657777777777778,26.729,26.871,97.0,2.1,30.9,0.31,340.3,755,293.1
2024-05-21 00:00:00.000,153.48458333333332,8.664722222222222,26.824,26.881,92.2,2.2,30.9,0.35,69.0,753,293.0
2024-05-26 00:00:00.000,153.50249999999997,8.666111111111112,26.919,26.892,87.4,2.2,30.9,0.75,92.9,751,293.0
2024-11-27 00:00:00.000,158.06791666666663,6.945555555555556,27.297,27.276,87.8,2.1,31.0,0.65,126.8,781,293.5
2024-12-02 00:00:00.000,158.07791666666665,6.935555555555556,27.22,27.286,92.8,2.1,31.0,0.22,160.9,784,293.5
