Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,229.68541666666667,-21.28805555555556,4.257,5.018,134.2,8.4,24.2,11.98,294.3,0,284.0
2023-07-06 00:00:00.000,229.33749999999998,-21.13361111111111,4.328,5.031,129.1,9.0,24.3,9.56,297.0,0,284.1
2023-07-11 00:00:00.000,229.07666666666665,-20.999444444444446,4.403,5.043,124.0,9.6,24.4,7.13,301.4,0,284.1
2023-07-16 00:00:00.000,228.90291666666664,-20.886666666666667,4.483,5.056,119.1,10.1,24.4,4.75,310.0,0,284.0
2023-07-21 00:00:00.000,228.81666666666666,-20.796111111111113,4.565,5.068,114.2,10.5,24.5,2.66,333.3,0,284.0
2023-07-26 00:00:00.000,228.8170833333333,-20.72833333333333,4.65,5.08,109.5,10.9,24.6,2.08,35.4,0,283.9
2023-07-31 00:00:00.000,228.90166666666664,-20.683333333333334,4.738,5.092,104.7,11.1,24.6,3.67,73.8,0,283.8
2023-08-05 00:00:00.000,229.06708333333333,-20.66,4.827,5.103,100.1,11.3,24.7,5.77,86.2,0,283.6
2023-08-10 00:00:00.000,229.3108333333333,-20.657777777777778,4.916,5.115,95.5,11.4,24.7,7.91,91.8,0,283.5
2023-08-15 00:00:00.000,229.62958333333333,-20.676111111111112,5.007,5.126,91.0,11.4,24.8,10.02,94.8,0,283.3
2023-08-20 00:00:00.000,230.02083333333331,-20.71388888888889,5.097,5.138,86.6,11.3,24.8,12.04,96.7,0,283.1
2024-03-12 00:00:00.000,266.1425,-24.785555555555558,5.487,5.492,85.1,10.4,25.1,10.35,91.6,1,88.2
2024-03-17 00:00:00.000,266.4841666666666,-24.79416666666667,5.411,5.498,89.7,10.4,25.1,8.26,91.5,1,88.0
2024-03-22 00:00:00.000,266.74791666666664,-24.8,5.336,5.504,94.5,10.4,25.0,6.09,91.4,1,87.9
2024-03-27 00:00:00.000,266.93083333333334,-24.804166666666667,5.26,5.509,99.3,10.3,25.0,3.87,91.3,1,87.8
2024-04-01 00:00:00.000,267.0308333333333,-24.80611111111111,5.186,5.515,104.1,10.1,25.0,1.57,90.9,1,87.7
2024-04-06 00:00:00.000,267.0458333333333,-24.805833333333332,5.113,5.521,109.0,9.9,24.9,0.78,273.0,1,87.7
2024-04-11 00:00:00.000,266.97375,-24.803055555555556,5.042,5.526,114.0,9.5,24.9,3.15,272.1,1,87.7
2024-04-16 00:00:00.000,266.8145833333333,-24.798055555555557,4.974,5.531,119.0,9.1,24.8,5.52,272.1,1,87.8
2024-04-21 00:00:00.000,266.5691666666666,-24.789722222222224,4.909,5.536,124.2,8.6,24.8,7.84,272.2,1,87.9
2024-04-26 00:00:00.000,266.23999999999995,-24.77777777777778,4.849,5.541,129.3,8.1,24.7,10.1,272.4,1,88.0
2024-05-01 00:00:00.000,265.8291666666666,-24.761666666666667,4.793,5.546,134.6,7.4,24.7,12.29,272.6,1,88.2
2024-07-25 00:00:00.000,254.30708333333328,-23.639444444444443,4.864,5.611,133.4,7.6,24.7,11.52,281.4,1,272.4
2024-07-30 00:00:00.000,253.93541666666667,-23.566666666666666,4.928,5.614,128.3,8.2,24.8,9.38,282.8,1,272.6
2024-08-04 00:00:00.000,253.6429166666666,-23.501666666666665,4.996,5.616,123.2,8.7,24.9,7.16,284.8,1,272.6
2024-08-09 00:00:00.000,253.43249999999995,-23.44472222222222,5.068,5.619,118.3,9.1,24.9,4.92,288.7,1,272.7
2024-08-14 00:00:00.000,253.3045833333333,-23.396666666666665,5.143,5.621,113.3,9.5,25.0,2.72,298.7,1,272.7
2024-08-19 00:00:00.000,253.25875,-23.35777777777778,5.22,5.624,108.5,9.8,25.0,1.04,352.0,1,272.7
2024-08-24 00:00:00.000,253.29333333333332,-23.328055555555554,5.3,5.626,103.7,10.1,25.0,2.19,69.8,1,272.7
2024-08-29 00:00:00.000,253.40749999999997,-23.3075,5.381,5.628,99.0,10.2,25.1,4.24,83.4,1,272.6
2024-09-03 00:00:00.000,253.5987499999999,-23.295555555555556,5.463,5.63,94.3,10.3,25.1,6.33,88.0,1,272.5
2024-09-08 00:00:00.000,253.86541666666662,-23.292222222222225,5.546,5.631,89.7,10.3,25.2,8.36,90.1,1,272.4
2024-09-13 00:00:00.000,254.20416666666662,-23.29638888888889,5.628,5.633,85.2,10.3,25.2,10.3,91.3,1,272.2
2025-04-06 00:00:00.000,287.93874999999997,-22.22861111111111,5.515,5.597,89.5,10.3,25.1,8.63,78.3,1,78.5
2025-04-11 00:00:00.000,288.20624999999995,-22.17361111111111,5.43,5.594,94.2,10.3,25.1,6.58,76.5,1,78.4
2025-04-16 00:00:00.000,288.39874999999995,-22.12638888888889,5.346,5.59,98.9,10.2,25.1,4.47,73.1,1,78.4
2025-04-21 00:00:00.000,288.5133333333333,-22.0875,5.263,5.587,103.7,10.1,25.0,2.33,63.4,1,78.3
2025-04-26 00:00:00.000,288.5479166666666,-22.056944444444444,5.181,5.583,108.5,9.8,25.0,0.8,347.1,1,78.3
2025-05-01 00:00:00.000,288.50041666666664,-22.035555555555558,5.101,5.579,113.4,9.5,24.9,2.53,281.5,1,78.3
2025-05-06 00:00:00.000,288.36999999999995,-22.023333333333333,5.024,5.575,118.4,9.2,24.9,4.78,272.8,1,78.3
2025-05-11 00:00:00.000,288.1570833333333,-22.02,4.95,5.571,123.4,8.7,24.8,7.05,269.8,1,78.4
2025-05-16 00:00:00.000,287.86291666666665,-22.025,4.88,5.567,128.5,8.2,24.8,9.3,268.3,1,78.5
2025-05-21 00:00:00.000,287.4887499999999,-22.03805555555556,4.815,5.562,133.7,7.6,24.7,11.5,267.5,1,78.7
2025-08-14 00:00:00.000,275.9991666666666,-22.483333333333334,4.712,5.469,134.4,7.6,24.6,12.4,269.6,1,82.8
2025-08-19 00:00:00.000,275.5908333333333,-22.484444444444446,4.766,5.463,129.2,8.3,24.7,10.22,270.0,1,83.0
2025-08-24 00:00:00.000,275.2633333333333,-22.483055555555556,4.824,5.456,124.1,8.8,24.7,7.93,270.6,1,83.1
2025-08-29 00:00:00.000,275.01958333333323,-22.479444444444443,4.887,5.449,119.1,9.3,24.8,5.57,271.5,1,83.2
2025-09-03 00:00:00.000,274.8616666666666,-22.473611111111108,4.952,5.442,114.1,9.7,24.8,3.2,273.6,1,83.2
2025-09-08 00:00:00.000,274.78875,-22.465833333333332,5.02,5.435,109.2,10.1,24.9,0.87,287.4,1,83.2
2025-09-13 00:00:00.000,274.80125,-22.45611111111111,5.091,5.428,104.3,10.3,24.9,1.54,78.0,1,83.2
2025-09-18 00:00:00.000,274.8970833333333,-22.444444444444446,5.163,5.421,99.5,10.5,24.9,3.83,84.3,1,83.1
2025-09-23 00:00:00.000,275.07541666666657,-22.430555555555557,5.236,5.413,94.8,10.6,25.0,6.09,85.7,1,83.1
2025-09-28 00:00:00.000,275.33375,-22.414166666666667,5.309,5.406,90.2,10.7,25.0,8.28,86.3,1,83.0
2025-10-03 00:00:00.000,275.6695833333333,-22.394444444444446,5.383,5.398,85.6,10.7,25.0,10.37,86.5,1,82.8
2026-04-26 00:00:00.000,311.7804166666666,-15.973055555555556,4.948,4.972,85.6,11.6,24.7,13.46,67.7,1,69.9
2026-05-01 00:00:00.000,312.17791666666665,-15.810833333333335,4.856,4.959,90.0,11.7,24.6,11.43,66.1,1,69.7
2026-05-06 00:00:00.000,312.5033333333333,-15.664444444444445,4.763,4.946,94.5,11.7,24.6,9.3,63.6,1,69.7
2026-05-11 00:00:00.000,312.75333333333333,-15.536111111111111,4.671,4.932,99.1,11.7,24.5,7.07,59.6,1,69.6
2026-05-16 00:00:00.000,312.9241666666667,-15.426666666666666,4.58,4.919,103.7,11.5,24.5,4.8,51.7,1,69.6
2026-05-21 00:00:00.000,313.0129166666666,-15.337777777777779,4.491,4.905,108.4,11.3,24.4,2.71,30.0,1,69.5
