Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-01-27 00:00:00.000,216.33249999999995,-13.607777777777777,2.223,2.395,87.7,24.2,24.5,29.47,118.5,3,290.5
2024-02-01 00:00:00.000,217.1808333333333,-14.071944444444444,2.099,2.348,91.9,24.8,24.3,27.2,120.4,4,291.2
2024-02-06 00:00:00.000,217.93916666666667,-14.526944444444446,1.975,2.3,96.1,25.2,24.1,24.6,123.3,4,291.9
2024-02-11 00:00:00.000,218.58999999999997,-14.972777777777777,1.851,2.25,100.4,25.6,24.0,21.64,127.7,5,292.5
2024-02-16 00:00:00.000,219.11291666666665,-15.41,1.727,2.199,104.9,25.7,23.8,18.42,134.9,5,293.1
2024-02-21 00:00:00.000,219.48375,-15.840555555555556,1.604,2.146,109.5,25.7,23.6,15.24,147.3,6,293.7
2024-02-26 00:00:00.000,219.6720833333333,-16.265,1.482,2.092,114.2,25.6,23.3,12.9,169.0,7,294.5
2024-03-02 00:00:00.000,219.6395833333333,-16.684722222222224,1.362,2.037,119.1,25.2,23.1,13.33,200.1,8,295.3
2024-03-07 00:00:00.000,219.3345833333333,-17.099444444444444,1.244,1.98,124.3,24.5,22.8,18.13,227.0,9,296.3
2024-03-12 00:00:00.000,218.6895833333333,-17.508055555555554,1.128,1.921,129.7,23.5,22.5,26.97,243.2,10,297.6
2024-05-01 00:00:00.000,155.72916666666666,-11.400555555555556,0.346,1.214,119.1,46.5,19.6,424.77,286.4,46,72.6
2024-05-06 00:00:00.000,142.22,-7.163611111111112,0.349,1.127,100.7,61.6,19.9,406.9,288.7,62,83.8
2024-12-27 00:00:00.000,193.03,8.941666666666666,2.691,2.817,87.0,20.4,25.1,9.06,40.3,5,315.8
2025-01-01 00:00:00.000,193.15708333333333,9.208333333333332,2.644,2.853,92.0,20.2,25.1,9.24,10.2,5,315.9
2025-01-06 00:00:00.000,193.1375,9.548055555555555,2.597,2.888,97.1,19.7,25.1,11.64,345.9,5,315.9
2025-01-11 00:00:00.000,192.96291666666662,9.960555555555555,2.551,2.923,102.3,19.2,25.0,15.43,330.8,5,316.0
2025-01-16 00:00:00.000,192.62499999999997,10.445,2.505,2.957,107.7,18.5,25.0,19.95,321.4,5,316.1
