Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-26 00:00:00.000,253.2945833333333,-27.28611111111111,2.614,3.384,132.5,12.8,20.5,10.31,290.0
2023-07-31 00:00:00.000,253.005,-27.174166666666668,2.688,3.403,127.5,13.7,20.6,6.6,298.9
2023-08-05 00:00:00.000,252.85999999999996,-27.074166666666667,2.766,3.421,122.6,14.5,20.7,3.43,324.8
2023-08-10 00:00:00.000,252.85541666666668,-26.9875,2.848,3.44,117.8,15.1,20.8,2.94,35.6
2023-08-15 00:00:00.000,252.98666666666665,-26.915,2.932,3.458,113.1,15.6,20.9,5.62,69.6
2023-08-20 00:00:00.000,253.24749999999997,-26.85666666666667,3.019,3.476,108.6,16.0,21.0,8.8,79.9
2023-08-25 00:00:00.000,253.63124999999994,-26.81222222222222,3.107,3.494,104.1,16.3,21.1,11.91,84.5
2023-08-30 00:00:00.000,254.13041666666663,-26.780277777777776,3.197,3.512,99.7,16.5,21.1,14.86,87.0
2023-09-04 00:00:00.000,254.7370833333333,-26.759722222222223,3.287,3.529,95.5,16.5,21.2,17.62,88.5
2023-09-09 00:00:00.000,255.44374999999994,-26.74888888888889,3.378,3.546,91.2,16.5,21.3,20.22,89.5
2023-09-14 00:00:00.000,256.2445833333333,-26.74638888888889,3.469,3.563,87.1,16.4,21.3,22.65,90.1
2024-04-26 00:00:00.000,314.46583333333325,-21.378888888888888,4.081,4.119,85.1,14.1,21.9,15.93,81.8
2024-05-01 00:00:00.000,314.9870833333333,-21.31527777777778,4.011,4.127,89.5,14.1,21.9,13.43,83.5
2024-05-06 00:00:00.000,315.4191666666666,-21.27777777777778,3.941,4.134,93.9,14.1,21.9,10.81,86.2
2024-05-11 00:00:00.000,315.7570833333333,-21.2675,3.872,4.142,98.4,14.0,21.8,8.1,90.8
2024-05-16 00:00:00.000,315.9970833333333,-21.285833333333336,3.803,4.149,103.0,13.7,21.8,5.4,100.5
2024-05-21 00:00:00.000,316.13624999999996,-21.333333333333332,3.735,4.156,107.7,13.4,21.7,3.08,127.3
2024-05-26 00:00:00.000,316.17124999999993,-21.410277777777775,3.669,4.163,112.5,13.0,21.7,2.79,190.2
2024-05-31 00:00:00.000,316.09999999999997,-21.516666666666666,3.605,4.17,117.4,12.5,21.6,5.05,224.1
2024-06-05 00:00:00.000,315.9191666666666,-21.651944444444442,3.545,4.176,122.3,11.8,21.6,7.95,235.7
2024-06-10 00:00:00.000,315.62875,-21.814722222222223,3.488,4.182,127.4,11.1,21.5,10.97,241.2
2024-06-15 00:00:00.000,315.2295833333333,-22.003333333333334,3.434,4.189,132.5,10.3,21.4,13.95,244.5
