Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,25.31791666666666,20.925,1.649,1.886,86.7,32.5,24.7,49.05,44.0,5,27.2
2023-07-26 00:00:00.000,26.51333333333333,22.13361111111111,1.547,1.849,89.9,33.3,24.5,49.56,41.1,6,28.0
2023-07-31 00:00:00.000,27.662499999999998,23.41888888888889,1.444,1.81,93.1,34.1,24.3,50.49,37.8,6,28.7
2023-08-05 00:00:00.000,28.758749999999996,24.800555555555555,1.341,1.769,96.4,34.7,24.1,52.0,34.0,6,29.5
2023-08-10 00:00:00.000,29.79208333333333,26.303055555555556,1.238,1.726,99.6,35.4,23.9,54.28,29.6,7,30.4
2023-08-15 00:00:00.000,30.748333333333328,27.95861111111111,1.135,1.681,102.8,36.0,23.7,57.67,24.8,8,31.3
2023-08-20 00:00:00.000,31.60958333333333,29.810555555555556,1.033,1.633,106.0,36.6,23.5,62.68,19.6,8,32.3
2023-08-25 00:00:00.000,32.35375,31.919444444444444,0.933,1.584,109.1,37.1,23.2,70.06,14.2,9,33.4
2023-08-30 00:00:00.000,32.95041666666666,34.37222222222222,0.833,1.531,112.0,37.7,22.9,80.87,9.0,10,34.5
2023-09-04 00:00:00.000,33.35041666666666,37.295833333333334,0.736,1.477,114.7,38.4,22.5,96.69,3.9,11,35.7
2023-09-09 00:00:00.000,33.46791666666667,40.879444444444445,0.642,1.419,116.9,39.3,22.2,119.99,359.3,13,37.0
2023-09-14 00:00:00.000,33.14125,45.413888888888884,0.551,1.358,118.4,40.6,21.8,154.91,355.0,14,38.4
2023-09-19 00:00:00.000,32.02375,51.356944444444444,0.466,1.294,118.7,42.9,21.4,208.34,351.0,17,39.9
2023-09-24 00:00:00.000,29.159166666666664,59.41972222222222,0.387,1.227,116.6,47.0,21.0,291.04,346.4,19,40.9
2023-09-29 00:00:00.000,20.493333333333332,70.49305555555556,0.32,1.155,110.8,54.2,20.6,414.5,337.0,22,38.5
2023-10-04 00:00:00.000,325.00375,82.18944444444445,0.271,1.079,99.6,66.1,20.5,566.93,281.8,25,353.3
2024-06-30 00:00:00.000,7.144166666666666,6.7725,2.099,2.318,89.1,26.0,25.4,15.1,29.6,3,17.9
2024-07-05 00:00:00.000,7.317916666666666,7.188611111111111,2.026,2.323,93.6,25.9,25.4,12.15,13.3,3,18.1
2024-07-10 00:00:00.000,7.326249999999999,7.5586111111111105,1.954,2.327,98.2,25.6,25.3,10.62,347.1,3,18.2
2024-07-15 00:00:00.000,7.152499999999999,7.876944444444445,1.881,2.33,103.0,25.2,25.2,11.86,317.3,3,18.3
2024-07-20 00:00:00.000,6.77875,8.137222222222222,1.808,2.331,107.9,24.5,25.1,15.84,295.7,3,18.4
2024-07-25 00:00:00.000,6.185416666666666,8.332222222222223,1.737,2.331,113.1,23.6,25.0,21.6,282.8,4,18.5
2024-07-30 00:00:00.000,5.352083333333333,8.453055555555554,1.667,2.33,118.6,22.5,24.9,28.58,274.8,4,18.5
2024-08-04 00:00:00.000,4.259583333333333,8.488888888888889,1.6,2.328,124.3,21.1,24.7,36.44,269.5,4,18.5
2024-08-09 00:00:00.000,2.891666666666666,8.42861111111111,1.537,2.324,130.2,19.4,24.6,44.91,265.7,4,18.4
2024-10-13 00:00:00.000,330.8904166666666,-0.8605555555555555,1.367,2.165,132.0,20.0,24.2,59.44,246.3,6,11.1
2024-10-18 00:00:00.000,329.22875,-1.6116666666666668,1.407,2.144,125.4,22.3,24.3,49.96,244.9,5,10.3
2024-10-23 00:00:00.000,327.87166666666667,-2.270277777777778,1.451,2.121,119.0,24.2,24.4,40.54,243.1,5,9.7
2024-10-28 00:00:00.000,326.8125,-2.833055555555555,1.499,2.096,113.0,25.9,24.5,31.43,240.6,5,9.1
2024-11-02 00:00:00.000,326.03875,-3.298888888888889,1.548,2.07,107.2,27.3,24.6,22.81,236.6,5,8.5
2024-11-07 00:00:00.000,325.53416666666664,-3.67,1.598,2.043,101.7,28.4,24.7,14.92,229.2,5,8.1
