Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-09 00:00:00.000,77.75874999999999,33.885555555555555,21.382,21.338,86.1,2.7,22.2,1.77,54.5,1.0,283.5
2023-09-14 00:00:00.000,77.80499999999999,33.91916666666666,21.299,21.338,90.9,2.7,22.2,1.31,41.1,,
2023-09-19 00:00:00.000,77.8275,33.95111111111111,21.216,21.338,95.6,2.7,22.1,0.97,16.3,,
2023-09-24 00:00:00.000,77.82666666666665,33.981388888888894,21.134,21.338,100.4,2.7,22.1,0.93,340.4,,
2023-09-29 00:00:00.000,77.8025,34.00944444444445,21.053,21.339,105.3,2.6,22.1,1.2,312.1,,
2023-10-04 00:00:00.000,77.755,34.035,20.974,21.339,110.1,2.5,22.1,1.64,296.3,,
2023-10-09 00:00:00.000,77.68458333333334,34.05777777777777,20.898,21.339,115.0,2.4,22.1,2.13,287.4,,
2023-10-14 00:00:00.000,77.59125,34.0775,20.824,21.339,119.9,2.3,22.1,2.64,281.7,,
2023-10-19 00:00:00.000,77.47625,34.093611111111116,20.755,21.339,124.8,2.2,22.1,3.15,277.8,,
2023-10-24 00:00:00.000,77.34083333333332,34.10583333333334,20.689,21.339,129.7,2.1,22.0,3.63,274.9,,
2023-10-29 00:00:00.000,77.18583333333333,34.11416666666667,20.629,21.339,134.7,1.9,22.0,4.08,272.6,,
2024-01-22 00:00:00.000,73.53708333333333,33.564166666666665,20.645,21.339,133.9,1.9,22.0,4.2,244.4,,
2024-01-27 00:00:00.000,73.39583333333331,33.50333333333333,20.707,21.339,128.9,2.1,22.0,3.76,240.9,,
2024-02-01 00:00:00.000,73.27458333333331,33.44194444444444,20.774,21.339,123.9,2.2,22.1,3.32,236.3,,
2024-02-06 00:00:00.000,73.17541666666666,33.380833333333335,20.846,21.339,118.8,2.3,22.1,2.86,230.4,,
2024-02-11 00:00:00.000,73.09875,33.32027777777778,20.921,21.339,113.8,2.4,22.1,2.43,222.1,,
2024-02-16 00:00:00.000,73.04583333333332,33.26083333333333,21.0,21.339,108.8,2.5,22.1,2.04,210.4,,
2024-02-21 00:00:00.000,73.01625,33.20305555555556,21.081,21.339,103.8,2.6,22.1,1.77,194.3,,
2024-02-26 00:00:00.000,73.01083333333334,33.14694444444444,21.163,21.339,98.9,2.6,22.1,1.66,174.4,,
2024-03-02 00:00:00.000,73.02958333333333,33.09305555555556,21.247,21.339,94.0,2.7,22.1,1.75,154.3,,
2024-03-07 00:00:00.000,73.07166666666667,33.041666666666664,21.332,21.339,89.1,2.7,22.2,2.02,137.9,,
2024-09-13 00:00:00.000,81.25083333333333,33.14666666666667,21.346,21.331,87.8,2.7,22.2,1.52,55.7,,
2024-09-18 00:00:00.000,81.28916666666666,33.175,21.262,21.331,92.6,2.7,22.1,1.07,39.3,,
2024-09-23 00:00:00.000,81.30499999999999,33.20194444444445,21.178,21.331,97.4,2.7,22.1,0.8,6.9,,
2024-09-28 00:00:00.000,81.29666666666667,33.2275,21.096,21.33,102.2,2.6,22.1,0.89,326.4,,
2024-10-03 00:00:00.000,81.26541666666667,33.25138888888889,21.015,21.33,107.1,2.6,22.1,1.28,302.4,,
