Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,222.95208333333332,-23.635833333333334,8.188,8.857,128.6,5.1,24.4,5.31,295.8
2023-07-06 00:00:00.000,222.80083333333332,-23.563333333333333,8.252,8.857,123.7,5.5,24.5,4.08,299.8
2023-07-11 00:00:00.000,222.695,-23.500555555555554,8.321,8.856,118.9,5.8,24.5,2.84,307.2
2023-07-16 00:00:00.000,222.63625,-23.448888888888888,8.392,8.856,114.1,6.0,24.5,1.68,325.3
2023-07-21 00:00:00.000,222.62583333333333,-23.40861111111111,8.467,8.855,109.3,6.2,24.6,1.09,19.8
2023-07-26 00:00:00.000,222.66291666666666,-23.380833333333335,8.544,8.855,104.6,6.4,24.6,1.81,69.1
2023-07-31 00:00:00.000,222.74791666666667,-23.365833333333335,8.623,8.855,99.9,6.5,24.6,3.0,85.0
2023-08-05 00:00:00.000,222.87999999999997,-23.363611111111112,8.702,8.854,95.3,6.6,24.6,4.27,91.7
2023-08-10 00:00:00.000,223.05791666666667,-23.374444444444446,8.783,8.854,90.7,6.6,24.7,5.55,95.4
2023-08-15 00:00:00.000,223.28124999999997,-23.398055555555555,8.863,8.853,86.1,6.6,24.7,6.82,97.7
2024-02-26 00:00:00.000,244.93958333333333,-28.99416666666667,8.804,8.834,88.5,6.4,24.6,6.8,123.5
2024-03-02 00:00:00.000,245.1304166666666,-29.116388888888892,8.721,8.834,93.3,6.4,24.6,5.6,129.5
2024-03-07 00:00:00.000,245.26874999999998,-29.231666666666666,8.638,8.833,98.1,6.4,24.6,4.46,138.9
2024-03-12 00:00:00.000,245.35416666666663,-29.34,8.556,8.833,103.0,6.3,24.6,3.49,154.0
2024-03-17 00:00:00.000,245.38541666666666,-29.440555555555555,8.476,8.832,107.9,6.2,24.5,2.89,177.7
2024-03-22 00:00:00.000,245.36333333333332,-29.5325,8.398,8.831,112.8,6.0,24.5,2.93,205.9
2024-03-27 00:00:00.000,245.28791666666666,-29.615833333333335,8.323,8.831,117.7,5.7,24.5,3.55,228.3
2024-04-01 00:00:00.000,245.1604166666666,-29.689722222222223,8.251,8.83,122.7,5.5,24.5,4.5,242.7
2024-04-06 00:00:00.000,244.98166666666663,-29.753333333333334,8.183,8.83,127.7,5.1,24.4,5.58,251.7
2024-04-11 00:00:00.000,244.75416666666663,-29.80611111111111,8.119,8.829,132.7,4.8,24.4,6.69,257.8
2024-07-10 00:00:00.000,237.72416666666663,-29.005,8.091,8.819,133.3,4.8,24.4,6.54,293.6
2024-07-15 00:00:00.000,237.51958333333332,-28.919722222222223,8.151,8.819,128.4,5.2,24.4,5.37,297.6
2024-07-20 00:00:00.000,237.36249999999998,-28.839444444444442,8.216,8.818,123.6,5.5,24.4,4.19,303.7
2024-07-25 00:00:00.000,237.2545833333333,-28.765,8.284,8.818,118.8,5.8,24.5,3.05,314.4
2024-07-30 00:00:00.000,237.19708333333332,-28.6975,8.355,8.817,114.0,6.0,24.5,2.09,336.1
2024-08-04 00:00:00.000,237.19083333333333,-28.638055555555557,8.43,8.817,109.3,6.2,24.5,1.73,17.1
2024-08-09 00:00:00.000,237.23583333333332,-28.58722222222222,8.506,8.816,104.6,6.4,24.6,2.33,53.4
2024-08-14 00:00:00.000,237.3320833333333,-28.545833333333334,8.585,8.816,99.9,6.5,24.6,3.39,71.1
2024-08-19 00:00:00.000,237.47916666666663,-28.51388888888889,8.664,8.815,95.3,6.6,24.6,4.6,79.9
2024-08-24 00:00:00.000,237.67541666666665,-28.491944444444446,8.745,8.814,90.7,6.6,24.6,5.84,85.0
2024-08-29 00:00:00.000,237.91999999999996,-28.479999999999997,8.825,8.814,86.1,6.6,24.7,7.08,88.3
2025-03-12 00:00:00.000,261.1541666666666,-32.000277777777775,8.753,8.79,88.9,6.5,24.6,6.87,118.8
2025-03-17 00:00:00.000,261.3641666666666,-32.109722222222224,8.67,8.79,93.6,6.5,24.6,5.69,125.0
2025-03-22 00:00:00.000,261.5204166666667,-32.217777777777776,8.588,8.789,98.4,6.4,24.6,4.58,134.4
2025-03-27 00:00:00.000,261.6220833333333,-32.32361111111111,8.507,8.789,103.2,6.3,24.6,3.65,149.3
2025-04-01 00:00:00.000,261.6670833333333,-32.42666666666666,8.427,8.788,108.0,6.2,24.5,3.07,171.9
2025-04-06 00:00:00.000,261.65625,-32.52611111111111,8.35,8.787,112.9,6.0,24.5,3.09,198.5
2025-04-11 00:00:00.000,261.59,-32.62166666666667,8.275,8.787,117.8,5.8,24.5,3.66,220.3
2025-04-16 00:00:00.000,261.46916666666664,-32.71194444444445,8.204,8.786,122.7,5.5,24.4,4.56,234.8
2025-04-21 00:00:00.000,261.29541666666665,-32.79666666666667,8.136,8.785,127.6,5.2,24.4,5.6,244.2
