Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-25 00:00:00.000,59.05083333333333,23.316111111111113,24.577,24.588,89.5,2.4,25.5,0.92,60.2
2023-08-30 00:00:00.000,59.070833333333326,23.329722222222223,24.5,24.595,94.3,2.3,25.5,0.48,41.0
2023-09-04 00:00:00.000,59.07333333333333,23.34,24.423,24.602,99.1,2.3,25.5,0.31,324.6
2023-09-09 00:00:00.000,59.057916666666664,23.346666666666664,24.347,24.61,103.9,2.3,25.4,0.69,282.4
2023-09-14 00:00:00.000,59.02416666666666,23.349722222222223,24.273,24.617,108.8,2.2,25.4,1.17,271.9
2023-09-19 00:00:00.000,58.97333333333332,23.349166666666665,24.202,24.624,113.7,2.1,25.4,1.65,267.5
2023-09-24 00:00:00.000,58.904999999999994,23.345,24.133,24.631,118.7,2.0,25.4,2.12,265.1
2023-09-29 00:00:00.000,58.81999999999999,23.33722222222222,24.068,24.638,123.7,1.9,25.4,2.57,263.6
2023-10-04 00:00:00.000,58.719583333333325,23.325833333333332,24.008,24.645,128.6,1.8,25.4,3.01,262.5
2023-10-09 00:00:00.000,58.60374999999999,23.310833333333335,23.951,24.652,133.7,1.7,25.4,3.42,261.6
2024-01-07 00:00:00.000,55.635416666666664,22.696666666666665,24.101,24.778,132.7,1.7,25.4,3.3,252.8
2024-01-12 00:00:00.000,55.52916666666666,22.665555555555553,24.174,24.785,127.5,1.8,25.4,2.87,251.8
2024-01-17 00:00:00.000,55.439166666666665,22.63722222222222,24.252,24.792,122.3,1.9,25.4,2.41,250.4
2024-01-22 00:00:00.000,55.36583333333333,22.611944444444447,24.334,24.799,117.2,2.0,25.4,1.93,248.4
2024-01-27 00:00:00.000,55.30958333333333,22.58972222222222,24.419,24.806,112.0,2.1,25.5,1.44,245.1
2024-02-01 00:00:00.000,55.27166666666667,22.57138888888889,24.508,24.812,106.9,2.2,25.5,0.95,238.3
2024-02-06 00:00:00.000,55.25166666666666,22.55666666666667,24.598,24.819,101.8,2.2,25.5,0.49,217.7
2024-02-11 00:00:00.000,55.250416666666666,22.545833333333334,24.691,24.826,96.8,2.3,25.5,0.34,141.0
2024-02-16 00:00:00.000,55.26708333333333,22.53888888888889,24.784,24.833,91.7,2.3,25.5,0.74,101.4
2024-02-21 00:00:00.000,55.302499999999995,22.53611111111111,24.877,24.84,86.7,2.3,25.5,1.23,91.3
2024-08-24 00:00:00.000,61.35291666666666,23.71388888888889,25.123,25.092,87.1,2.3,25.6,1.13,64.8
2024-08-29 00:00:00.000,61.38124999999999,23.72833333333333,25.045,25.098,91.9,2.3,25.6,0.66,54.2
2024-09-03 00:00:00.000,61.392083333333325,23.739444444444445,24.968,25.105,96.7,2.3,25.5,0.3,9.6
2024-09-08 00:00:00.000,61.38499999999999,23.747777777777777,24.891,25.112,101.5,2.3,25.5,0.48,293.9
2024-09-13 00:00:00.000,61.35999999999999,23.7525,24.816,25.118,106.4,2.2,25.5,0.93,276.0
2024-09-18 00:00:00.000,61.317916666666655,23.754166666666666,24.743,25.125,111.3,2.1,25.5,1.4,269.9
2024-09-23 00:00:00.000,61.258333333333326,23.752222222222223,24.672,25.132,116.2,2.1,25.5,1.86,266.8
2024-09-28 00:00:00.000,61.18249999999998,23.747222222222224,24.605,25.138,121.2,2.0,25.5,2.32,265.0
2024-10-03 00:00:00.000,61.090416666666655,23.738611111111112,24.541,25.145,126.2,1.8,25.5,2.76,263.7
2024-10-08 00:00:00.000,60.982916666666654,23.72694444444444,24.482,25.152,131.2,1.7,25.5,3.18,262.7
