Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-09 00:00:00.000,104.61291666666666,-18.809444444444445,17.181,17.165,87.4,3.3,23.0,5.78,167.1,0.0,88.3
2023-10-14 00:00:00.000,104.64541666666666,-18.996666666666666,17.118,17.166,91.1,3.3,23.0,5.61,174.2,0.0,88.6
2023-10-19 00:00:00.000,104.65249999999999,-19.18138888888889,17.056,17.167,94.8,3.3,23.0,5.49,181.8,0.0,88.9
2023-10-24 00:00:00.000,104.63333333333331,-19.362222222222222,16.994,17.168,98.4,3.3,23.0,5.43,189.6,0.0,89.2
2023-10-29 00:00:00.000,104.58833333333332,-19.5375,16.934,17.169,102.1,3.2,23.0,5.42,197.4,0.0,89.5
2023-11-03 00:00:00.000,104.51833333333332,-19.70611111111111,16.876,17.17,105.7,3.2,22.9,5.47,205.2,0.0,89.8
2023-11-08 00:00:00.000,104.42374999999998,-19.866666666666667,16.819,17.171,109.2,3.1,22.9,5.57,212.9,0.0,270.2
2023-11-13 00:00:00.000,104.30458333333333,-20.01722222222222,16.765,17.172,112.7,3.0,22.9,5.71,220.2,0.0,270.4
2023-11-18 00:00:00.000,104.16291666666665,-20.156666666666666,16.715,17.173,116.1,3.0,22.9,5.88,227.1,0.0,270.6
2023-11-23 00:00:00.000,103.99916666666665,-20.283611111111114,16.668,17.174,119.4,2.9,22.9,6.07,233.6,0.0,270.9
2023-11-28 00:00:00.000,103.81583333333333,-20.396666666666665,16.624,17.175,122.5,2.8,22.9,6.28,239.7,0.0,271.2
2023-12-03 00:00:00.000,103.61458333333333,-20.494722222222222,16.586,17.176,125.5,2.7,22.9,6.49,245.3,0.0,271.4
2023-12-08 00:00:00.000,103.39708333333331,-20.576666666666668,16.551,17.177,128.2,2.6,22.9,6.69,250.7,0.0,271.7
2023-12-13 00:00:00.000,103.16541666666666,-20.641944444444444,16.522,17.178,130.6,2.5,22.9,6.88,255.8,0.0,271.9
2023-12-18 00:00:00.000,102.92249999999999,-20.689166666666665,16.498,17.179,132.6,2.4,22.8,7.05,260.6,0.0,272.0
2023-12-23 00:00:00.000,102.67083333333332,-20.71833333333333,16.479,17.18,134.3,2.3,22.8,7.18,265.3,0.0,272.2
2024-01-22 00:00:00.000,101.13541666666666,-20.502222222222223,16.486,17.186,134.1,2.4,22.8,7.25,291.8,0.0,272.5
2024-01-27 00:00:00.000,100.90166666666666,-20.404444444444444,16.508,17.187,132.4,2.4,22.9,7.14,296.4,0.0,272.4
