Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-18 00:00:00.000,179.4645833333333,1.4572222222222222,20.896,20.859,86.5,2.7,25.1,1.61,103.7,4,288.0
2023-12-23 00:00:00.000,179.50708333333333,1.448611111111111,20.822,20.872,91.6,2.7,25.1,1.01,097.6,4,288.0
2023-12-28 00:00:00.000,179.5308333333333,1.4483333333333333,20.749,20.886,96.6,2.7,25.1,0.44,074.8,4,288.0
2024-01-02 00:00:00.000,179.53541666666666,1.456388888888889,20.677,20.899,101.7,2.6,25.1,0.39,338.0,4,288.0
2024-01-07 00:00:00.000,179.52124999999998,1.472777777777778,20.606,20.912,106.8,2.6,25.1,0.94,310.4,4,287.9
2024-01-12 00:00:00.000,179.48791666666662,1.4969444444444444,20.537,20.925,112.0,2.5,25.0,1.54,303.6,4,287.9
2024-01-17 00:00:00.000,179.4358333333333,1.5294444444444444,20.471,20.938,117.1,2.4,25.0,2.13,300.7,4,287.9
2024-01-22 00:00:00.000,179.3658333333333,1.5694444444444444,20.409,20.951,122.3,2.3,25.0,2.69,299.0,4,287.9
2024-01-27 00:00:00.000,179.27916666666664,1.6163888888888889,20.351,20.964,127.5,2.1,25.0,3.23,298.0,4,287.8
2024-02-01 00:00:00.000,179.17583333333332,1.6702777777777775,20.297,20.977,132.7,2.0,25.0,3.74,297.3,4,287.8
2024-05-01 00:00:00.000,176.2825,3.0125,20.493,21.212,134.6,1.9,25.0,3.82,293.7,3,287.1
2024-05-06 00:00:00.000,176.17291666666662,3.0605555555555553,20.567,21.225,129.6,2.1,25.0,3.35,293.6,3,287.0
2024-05-11 00:00:00.000,176.07833333333332,3.1016666666666666,20.647,21.238,124.7,2.2,25.1,2.84,293.4,3,287.0
2024-05-16 00:00:00.000,175.99916666666664,3.1355555555555554,20.731,21.251,119.8,2.4,25.1,2.31,293.3,3,287.0
2024-05-21 00:00:00.000,175.9370833333333,3.1622222222222223,20.818,21.264,114.9,2.5,25.1,1.76,293.0,3,287.0
2024-05-26 00:00:00.000,175.89124999999999,3.181388888888889,20.908,21.277,110.0,2.6,25.1,1.2,292.6,3,287.0
2024-05-31 00:00:00.000,175.86333333333332,3.1930555555555555,21.001,21.29,105.2,2.6,25.1,0.63,291.6,3,287.0
2024-06-05 00:00:00.000,175.85249999999996,3.196944444444444,21.096,21.303,100.4,2.7,25.1,0.05,8   270.5,3,287.0
2024-06-10 00:00:00.000,175.85916666666665,3.1930555555555555,21.192,21.316,95.6,2.7,25.2,0.53,116.0,3,287.0
2024-06-15 00:00:00.000,175.88374999999996,3.181388888888889,21.289,21.329,90.9,2.7,25.2,1.1,114.7,3,287.0
2024-06-20 00:00:00.000,175.92583333333332,3.1625,21.385,21.342,86.2,2.7,25.2,1.66,114.2,3,287.0
2024-12-22 00:00:00.000,182.17708333333331,0.6241666666666666,21.819,21.816,88.5,2.6,25.3,1.28,100.2,4,288.0
2024-12-27 00:00:00.000,182.20999999999995,0.6205555555555556,21.745,21.829,93.6,2.6,25.3,0.71,089.1,4,288.0
2025-01-01 00:00:00.000,182.22458333333333,0.625,21.672,21.842,98.7,2.6,25.3,0.3,032.4,4,288.0
2025-01-06 00:00:00.000,182.2208333333333,0.6375,21.599,21.854,103.8,2.5,25.2,0.63,321.4,4,287.9
2025-01-11 00:00:00.000,182.19874999999996,0.6575,21.529,21.867,108.9,2.4,25.2,1.18,307.7,4,287.9
2025-01-16 00:00:00.000,182.15874999999997,0.6852777777777778,21.461,21.88,114.0,2.4,25.2,1.74,302.9,4,287.9
2025-01-21 00:00:00.000,182.10124999999996,0.7205555555555556,21.396,21.892,119.2,2.2,25.2,2.29,300.5,4,287.9
2025-01-26 00:00:00.000,182.0270833333333,0.7627777777777778,21.334,21.905,124.4,2.1,25.2,2.83,299.0,4,287.9
2025-01-31 00:00:00.000,181.93666666666664,0.8116666666666668,21.277,21.918,129.5,2.0,25.2,3.34,298.0,4,287.8
2025-02-05 00:00:00.000,181.83124999999998,0.8669444444444445,21.225,21.93,134.7,1.8,25.2,3.81,297.3,4,287.8
2025-05-06 00:00:00.000,179.04041666666663,2.155,21.459,22.157,132.9,1.9,25.2,3.54,293.2,4,287.2
2025-05-11 00:00:00.000,178.93874999999997,2.1983333333333333,21.535,22.17,127.9,2.1,25.2,3.08,292.9,4,287.2
2025-05-16 00:00:00.000,178.85166666666663,2.235,21.616,22.183,123.0,2.2,25.3,2.59,292.6,4,287.1
2025-05-21 00:00:00.000,178.77958333333328,2.2647222222222223,21.7,22.195,118.1,2.3,25.3,2.08,292.2,4,287.1
2025-05-26 00:00:00.000,178.72333333333333,2.2872222222222223,21.788,22.208,113.2,2.4,25.3,1.55,291.5,4,287.1
2025-05-31 00:00:00.000,178.68374999999997,2.3024999999999998,21.879,22.22,108.4,2.5,25.3,1.01,290.2,4,287.1
2025-06-05 00:00:00.000,178.66041666666666,2.3105555555555553,21.972,22.233,103.6,2.5,25.3,0.46,285.9,4,287.1
2025-06-10 00:00:00.000,178.65416666666667,2.310833333333333,22.067,22.245,98.8,2.6,25.3,0.11,147.4,4,287.1
2025-06-15 00:00:00.000,178.6645833333333,2.3041666666666667,22.163,22.258,94.0,2.6,25.3,0.64,119.1,4,287.1
2025-06-20 00:00:00.000,178.69166666666666,2.29,22.259,22.27,89.3,2.6,25.4,1.19,116.5,4,287.1
2025-12-22 00:00:00.000,184.62875,-0.13555555555555554,22.781,22.729,85.7,2.5,25.4,1.51,101.7,4,288.0
2025-12-27 00:00:00.000,184.66916666666665,-0.14194444444444443,22.707,22.741,90.8,2.5,25.4,0.95,094.5,4,287.9
2026-01-01 00:00:00.000,184.69208333333333,-0.14055555555555554,22.633,22.754,95.8,2.5,25.4,0.45,070.3,4,287.9
2026-01-06 00:00:00.000,184.6975,-0.13166666666666665,22.559,22.766,100.9,2.4,25.4,0.39,345.2,4,287.9
2026-01-11 00:00:00.000,184.68541666666667,-0.11527777777777778,22.487,22.778,106.0,2.4,25.4,0.87,314.0,4,287.9
2026-01-16 00:00:00.000,184.6558333333333,-0.09166666666666666,22.417,22.791,111.2,2.3,25.4,1.41,305.8,4,287.9
2026-01-21 00:00:00.000,184.60916666666665,-0.06055555555555556,22.349,22.803,116.3,2.2,25.4,1.95,302.1,4,287.9
2026-01-26 00:00:00.000,184.54583333333332,-0.02277777777777778,22.286,22.815,121.5,2.1,25.4,2.47,300.1,4,287.9
2026-01-31 00:00:00.000,184.4670833333333,0.021666666666666667,22.226,22.827,126.6,2.0,25.4,2.97,298.8,4,287.8
2026-02-05 00:00:00.000,184.37291666666667,0.0725,22.17,22.84,131.8,1.8,25.3,3.43,297.9,4,287.8
2026-05-11 00:00:00.000,181.56916666666663,1.3625,22.397,23.071,130.9,1.9,25.4,3.27,292.6,4,287.2
2026-05-16 00:00:00.000,181.47541666666666,1.401111111111111,22.475,23.083,126.0,2.0,25.4,2.81,292.2,4,287.2
2026-05-21 00:00:00.000,181.39583333333334,1.4333333333333333,22.557,23.095,121.1,2.2,25.4,2.33,291.7,4,287.2
2026-05-26 00:00:00.000,181.33083333333332,1.458611111111111,22.642,23.107,116.2,2.3,25.4,1.83,291.0,4,287.2
2026-05-31 00:00:00.000,181.28166666666664,1.4769444444444446,22.731,23.12,111.4,2.3,25.5,1.33,289.7,4,287.2
2026-06-05 00:00:00.000,181.24791666666664,1.4883333333333333,22.822,23.132,106.5,2.4,25.5,0.81,287.0,4,287.2
2026-06-10 00:00:00.000,181.22999999999996,1.4927777777777778,22.916,23.144,101.7,2.5,25.5,0.29,274.7,4,287.2
2026-06-15 00:00:00.000,181.22833333333332,1.49,23.011,23.156,97.0,2.5,25.5,0.27,134.1,4,287.2
2026-06-20 00:00:00.000,181.24291666666664,1.4800000000000002,23.107,23.168,92.2,2.5,25.5,0.79,120.5,4,287.2
2026-06-25 00:00:00.000,181.27374999999998,1.4633333333333334,23.203,23.18,87.5,2.5,25.5,1.31,117.6,4,287.2
2026-12-27 00:00:00.000,186.94166666666663,-0.8477777777777779,23.634,23.623,88.1,2.4,25.6,1.17,097.6,5,287.9
2027-01-01 00:00:00.000,186.9720833333333,-0.8491666666666667,23.559,23.635,93.2,2.4,25.6,0.66,084.4,5,287.9
2027-01-06 00:00:00.000,186.98541666666662,-0.8433333333333334,23.485,23.647,98.3,2.4,25.6,0.32,027.3,5,287.9
2027-01-11 00:00:00.000,186.98166666666663,-0.8302777777777778,23.411,23.659,103.4,2.3,25.6,0.62,324.2,5,287.9
2027-01-16 00:00:00.000,186.96124999999998,-0.81,23.34,23.67,108.5,2.3,25.6,1.12,309.5,5,287.8
2027-01-21 00:00:00.000,186.92416666666665,-0.7825000000000001,23.271,23.682,113.6,2.2,25.6,1.64,304.1,5,287.8
2027-01-26 00:00:00.000,186.87124999999997,-0.748611111111111,23.204,23.694,118.8,2.1,25.5,2.14,301.4,5,287.8
2027-01-31 00:00:00.000,186.80249999999998,-0.7083333333333333,23.142,23.706,123.9,2.0,25.5,2.64,299.7,5,287.8
2027-02-05 00:00:00.000,186.71874999999997,-0.6619444444444444,23.084,23.718,129.1,1.8,25.5,3.1,298.5,5,287.8
2027-02-10 00:00:00.000,186.6208333333333,-0.6097222222222222,23.03,23.73,134.3,1.7,25.5,3.54,297.7,5,287.7
2027-05-11 00:00:00.000,184.0025,0.5866666666666667,23.233,23.941,133.7,1.7,25.5,3.41,292.3,5,287.3
2027-05-16 00:00:00.000,183.90374999999997,0.6266666666666667,23.307,23.953,128.7,1.9,25.6,2.99,291.9,5,287.3
2027-05-21 00:00:00.000,183.81791666666663,0.6605555555555556,23.386,23.965,123.8,2.0,25.6,2.54,291.4,5,287.3
2027-05-26 00:00:00.000,183.7458333333333,0.6883333333333334,23.469,23.976,119.0,2.1,25.6,2.08,290.6,5,287.3
2027-05-31 00:00:00.000,183.6883333333333,0.7094444444444444,23.556,23.988,114.1,2.2,25.6,1.6,289.5,5,287.3
2027-06-05 00:00:00.000,183.64583333333331,0.7238888888888889,23.646,24.0,109.3,2.3,25.6,1.1,287.4,4,287.3
2027-06-10 00:00:00.000,183.61874999999998,0.7313888888888889,23.738,24.011,104.5,2.3,25.6,0.6,281.8,4,287.3
2027-06-15 00:00:00.000,183.6070833333333,0.7319444444444444,23.831,24.023,99.7,2.4,25.7,0.14,235.4,4,287.3
