Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,199.9058333333333,-9.4225,4.119,4.464,103.3,12.8,30.2,4.94,296.9,50269,64.9
2023-07-06 00:00:00.000,199.80416666666665,-9.366944444444444,4.202,4.466,98.4,13.0,30.2,1.98,304.3,47320,64.8
2023-07-11 00:00:00.000,199.79374999999996,-9.347777777777779,4.286,4.467,93.6,13.1,30.3,1.01,88.0,44607,295.2
2023-07-16 00:00:00.000,199.8708333333333,-9.363888888888889,4.37,4.468,88.9,13.1,30.3,3.68,105.8,42130,295.2
2024-02-11 00:00:00.000,230.15624999999997,-19.533611111111114,4.093,4.186,88.6,13.6,30.1,6.06,112.5,41473,281.1
2024-02-16 00:00:00.000,230.30374999999998,-19.599166666666665,3.993,4.171,93.5,13.7,30.0,3.16,120.4,36860,281.4
2024-02-21 00:00:00.000,230.34666666666664,-19.639722222222222,3.894,4.156,98.5,13.6,29.9,0.9,202.3,31902,281.5
2024-02-26 00:00:00.000,230.27749999999997,-19.653888888888886,3.795,4.14,103.5,13.4,29.9,3.59,269.8,26482,281.5
2024-03-02 00:00:00.000,230.09041666666664,-19.64,3.697,4.124,108.7,13.2,29.8,7.07,277.0,20534,281.1
2024-03-07 00:00:00.000,229.77874999999997,-19.595555555555553,3.602,4.107,114.0,12.7,29.7,10.78,279.7,14065,279.7
2024-03-12 00:00:00.000,229.3370833333333,-19.51833333333333,3.509,4.09,119.5,12.2,29.6,14.64,281.1,7203,273.8
2024-03-17 00:00:00.000,228.7620833333333,-19.40611111111111,3.42,4.073,125.0,11.5,29.5,18.58,282.1,1689,10.0
2024-03-22 00:00:00.000,228.05291666666665,-19.25722222222222,3.335,4.055,130.7,10.7,29.4,22.55,282.9,7686,301.2
2024-06-10 00:00:00.000,207.5725,-12.924444444444443,2.963,3.708,130.9,11.9,29.0,30.4,291.9,35602,294.6
2024-06-15 00:00:00.000,206.67208333333332,-12.567499999999999,3.002,3.682,125.2,13.0,29.1,26.45,292.4,34119,294.6
2024-06-20 00:00:00.000,205.9020833333333,-12.254722222222222,3.045,3.655,119.6,14.0,29.1,22.39,292.9,32617,294.7
2024-06-25 00:00:00.000,205.26458333333332,-11.987777777777778,3.092,3.629,114.1,14.8,29.2,18.29,293.5,31117,294.7
2024-06-30 00:00:00.000,204.75875,-11.768333333333334,3.142,3.601,108.8,15.5,29.2,14.21,294.4,29636,294.7
2024-07-05 00:00:00.000,204.38291666666666,-11.597222222222223,3.194,3.573,103.7,16.1,29.3,10.16,295.7,28186,294.8
2024-07-10 00:00:00.000,204.13416666666666,-11.474166666666667,3.246,3.545,98.6,16.5,29.3,6.23,298.5,26775,294.8
2024-07-15 00:00:00.000,204.0083333333333,-11.398333333333333,3.3,3.515,93.7,16.8,29.3,2.51,309.0,25410,294.8
2024-07-20 00:00:00.000,203.9995833333333,-11.368055555555555,3.353,3.486,88.9,16.9,29.3,1.43,80.0,24096,294.8
2026-01-31 00:00:00.000,221.03666666666663,-16.518055555555556,3.525,3.611,87.1,15.8,29.5,3.25,118.7,8654,285.0
