Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-29 00:00:00.000,131.98083333333332,21.079722222222223,19.531,19.492,86.3,2.9,26.4,1.15,104.4,14,310.8
2023-11-03 00:00:00.000,132.00958333333332,21.073055555555555,19.449,19.496,91.3,2.9,26.4,0.5,102.8,14,310.8
2023-11-08 00:00:00.000,132.01541666666665,21.072222222222223,19.368,19.501,96.3,2.9,26.4,0.16,292.6,14,310.8
2023-11-13 00:00:00.000,131.99874999999997,21.077222222222222,19.287,19.505,101.3,2.9,26.4,0.83,286.5,14,310.8
2023-11-18 00:00:00.000,131.95833333333331,21.088055555555556,19.208,19.509,106.4,2.8,26.4,1.5,285.7,14,310.8
2023-11-23 00:00:00.000,131.89541666666665,21.104444444444447,19.131,19.514,111.5,2.7,26.3,2.16,285.3,14,310.8
2023-11-28 00:00:00.000,131.80999999999997,21.125833333333333,19.057,19.518,116.6,2.6,26.3,2.8,285.0,14,310.8
2023-12-03 00:00:00.000,131.70250000000001,21.1525,18.986,19.522,121.7,2.5,26.3,3.42,284.7,14,310.8
2023-12-08 00:00:00.000,131.57416666666666,21.183611111111112,18.919,19.527,126.9,2.3,26.3,4.02,284.4,14,310.8
2023-12-13 00:00:00.000,131.42499999999998,21.218888888888888,18.857,19.531,132.1,2.1,26.3,4.58,284.2,14,310.8
2024-03-12 00:00:00.000,127.41124999999997,21.948333333333334,18.918,19.605,132.7,2.1,26.3,4.65,275.6,14,311.7
2024-03-17 00:00:00.000,127.25416666666662,21.960833333333333,18.986,19.609,127.6,2.3,26.3,4.1,274.1,14,311.8
2024-03-22 00:00:00.000,127.11708333333331,21.968055555555555,19.06,19.613,122.5,2.5,26.3,3.54,272.3,13,311.8
2024-03-27 00:00:00.000,127.00041666666665,21.97,19.137,19.617,117.5,2.6,26.4,2.95,269.7,13,311.9
2024-04-01 00:00:00.000,126.90499999999997,21.966944444444444,19.218,19.621,112.4,2.7,26.4,2.36,265.8,13,311.9
2024-04-06 00:00:00.000,126.83166666666665,21.958333333333332,19.302,19.625,107.5,2.8,26.4,1.76,259.2,13,312.0
2024-04-11 00:00:00.000,126.7808333333333,21.94472222222222,19.388,19.629,102.5,2.9,26.4,1.21,246.1,13,312.0
2024-04-16 00:00:00.000,126.75249999999998,21.925833333333333,19.475,19.633,97.6,2.9,26.4,0.8,216.4,13,312.0
2024-04-21 00:00:00.000,126.74666666666664,21.901944444444442,19.564,19.637,92.7,2.9,26.4,0.81,169.2,13,312.1
2024-04-26 00:00:00.000,126.76333333333332,21.873333333333335,19.652,19.641,87.9,2.9,26.4,1.21,140.7,13,312.1
2024-11-02 00:00:00.000,133.6620833333333,19.66222222222222,19.768,19.777,89.1,2.9,26.5,0.77,113.1,15,311.2
2024-11-07 00:00:00.000,133.67624999999998,19.654999999999998,19.685,19.781,94.1,2.9,26.4,0.15,147.3,15,311.2
2024-11-12 00:00:00.000,133.66791666666666,19.653888888888886,19.603,19.784,99.2,2.8,26.4,0.56,275.5,15,311.2
2024-11-17 00:00:00.000,133.63708333333332,19.65861111111111,19.521,19.787,104.2,2.8,26.4,1.2,280.9,16,311.2
2024-11-22 00:00:00.000,133.58416666666668,19.66888888888889,19.442,19.791,109.3,2.7,26.4,1.85,282.4,16,311.2
2024-11-27 00:00:00.000,133.50916666666666,19.685,19.366,19.794,114.4,2.6,26.4,2.5,283.0,16,311.2
2024-12-02 00:00:00.000,133.4120833333333,19.70638888888889,19.292,19.797,119.6,2.5,26.4,3.12,283.3,16,311.2
2024-12-07 00:00:00.000,133.29416666666665,19.732777777777777,19.222,19.8,124.8,2.3,26.4,3.72,283.5,16,311.2
2024-12-12 00:00:00.000,133.15583333333333,19.764166666666668,19.157,19.804,130.0,2.2,26.3,4.29,283.5,16,311.3
2025-03-17 00:00:00.000,129.08291666666665,20.545555555555556,19.21,19.862,129.9,2.2,26.4,4.29,276.7,15,312.3
2025-03-22 00:00:00.000,128.94083333333333,20.560000000000002,19.28,19.865,124.8,2.4,26.4,3.74,275.4,15,312.4
2025-03-27 00:00:00.000,128.81833333333333,20.569166666666668,19.355,19.868,119.7,2.5,26.4,3.16,273.6,15,312.4
2025-04-01 00:00:00.000,128.71625,20.573055555555555,19.433,19.871,114.7,2.6,26.4,2.57,270.9,15,312.5
2025-04-06 00:00:00.000,128.63583333333332,20.571666666666665,19.515,19.874,109.7,2.7,26.4,1.97,266.5,14,312.5
2025-04-11 00:00:00.000,128.57666666666665,20.565,19.599,19.877,104.7,2.8,26.4,1.38,258.3,14,312.5
2025-04-16 00:00:00.000,128.53958333333333,20.553055555555556,19.685,19.88,99.8,2.9,26.5,0.86,239.4,14,312.6
