Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-30 00:00:00.000,290.2679166666666,-32.605555555555554,31.661,32.325,130.4,1.4,23.5,2.31,269.1,1,304.6
2023-09-04 00:00:00.000,290.18249999999995,-32.60527777777778,31.727,32.324,125.6,1.5,23.5,2.0,271.5,1,308.3
2023-09-09 00:00:00.000,290.10958333333326,-32.60194444444445,31.796,32.324,120.8,1.5,23.5,1.68,274.7,1,311.9
2023-09-14 00:00:00.000,290.04999999999995,-32.596111111111114,31.87,32.323,116.0,1.6,23.5,1.35,279.4,1,315.4
2023-09-19 00:00:00.000,290.0045833333333,-32.587500000000006,31.946,32.323,111.2,1.7,23.5,1.02,287.1,1,318.5
2023-09-24 00:00:00.000,289.9733333333333,-32.57638888888889,32.025,32.322,106.4,1.7,23.5,0.71,301.7,1,320.8
2023-09-29 00:00:00.000,289.9570833333333,-32.562777777777775,32.107,32.322,101.5,1.7,23.5,0.49,333.0,1,322.1
2023-10-04 00:00:00.000,289.95583333333326,-32.54694444444444,32.19,32.322,96.7,1.8,23.5,0.53,17.6,1,322.1
2023-10-09 00:00:00.000,289.9695833333333,-32.529444444444444,32.273,32.321,91.9,1.8,23.5,0.78,44.3,1,320.6
2023-10-14 00:00:00.000,289.99875,-32.51,32.357,32.321,87.0,1.8,23.5,1.11,56.9,1,317.4
2024-04-11 00:00:00.000,295.19916666666666,-32.24138888888889,32.294,32.305,89.8,1.8,23.5,1.42,136.1,6,86.8
2024-04-16 00:00:00.000,295.23,-32.27638888888889,32.209,32.305,94.6,1.8,23.5,1.25,151.2,6,87.2
2024-04-21 00:00:00.000,295.24625000000003,-32.31388888888888,32.126,32.304,99.4,1.8,23.5,1.18,169.2,6,87.6
2024-04-26 00:00:00.000,295.2475,-32.35333333333333,32.043,32.304,104.1,1.7,23.5,1.22,187.5,6,88.1
2024-05-01 00:00:00.000,295.23375,-32.39472222222222,31.963,32.304,108.9,1.7,23.5,1.37,202.9,6,88.6
2024-05-06 00:00:00.000,295.2054166666666,-32.4375,31.884,32.303,113.7,1.6,23.5,1.59,214.7,6,89.2
2024-05-11 00:00:00.000,295.16291666666666,-32.481388888888894,31.809,32.303,118.5,1.6,23.5,1.84,223.3,6,89.8
