Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-04 00:00:00.000,73.98833333333333,20.821944444444444,18.14,18.095,85.9,3.2,22.3,2.24,63.0
2023-09-09 00:00:00.000,74.04708333333332,20.854444444444447,18.056,18.096,90.6,3.2,22.3,1.63,54.4
2023-09-14 00:00:00.000,74.08208333333333,20.884999999999998,17.973,18.096,95.5,3.2,22.3,1.09,35.9
2023-09-19 00:00:00.000,74.0925,20.91333333333333,17.89,18.097,100.3,3.1,22.3,0.82,356.2
2023-09-24 00:00:00.000,74.07833333333332,20.939444444444444,17.808,18.098,105.2,3.1,22.3,1.06,315.3
2023-09-29 00:00:00.000,74.03958333333333,20.96333333333333,17.729,18.098,110.2,3.0,22.2,1.58,295.9
2023-10-04 00:00:00.000,73.97708333333333,20.985277777777778,17.652,18.099,115.1,2.9,22.2,2.19,286.8
2023-10-09 00:00:00.000,73.89041666666665,21.005555555555556,17.577,18.1,120.1,2.7,22.2,2.81,281.8
2023-10-14 00:00:00.000,73.78041666666667,21.02361111111111,17.507,18.1,125.2,2.6,22.2,3.43,278.7
2023-10-19 00:00:00.000,73.64833333333333,21.040000000000003,17.441,18.101,130.2,2.4,22.2,4.02,276.6
2024-01-22 00:00:00.000,69.55166666666666,21.24638888888889,17.466,18.113,129.9,2.4,22.2,4.03,279.0
2024-01-27 00:00:00.000,69.42041666666667,21.26888888888889,17.536,18.114,124.7,2.6,22.2,3.44,281.9
2024-02-01 00:00:00.000,69.31124999999999,21.29388888888889,17.609,18.115,119.5,2.7,22.2,2.83,286.3
2024-02-06 00:00:00.000,69.22583333333333,21.321666666666665,17.686,18.115,114.4,2.8,22.2,2.23,293.3
2024-02-11 00:00:00.000,69.16499999999999,21.352777777777778,17.767,18.116,109.2,2.9,22.2,1.67,305.8
2024-02-16 00:00:00.000,69.12958333333333,21.386666666666667,17.85,18.116,104.2,3.0,22.3,1.25,328.8
2024-02-21 00:00:00.000,69.11916666666664,21.42388888888889,17.934,18.117,99.1,3.1,22.3,1.16,3.1
2024-02-26 00:00:00.000,69.13374999999999,21.46388888888889,18.02,18.118,94.1,3.1,22.3,1.46,31.5
2024-03-02 00:00:00.000,69.17374999999998,21.506944444444443,18.107,18.118,89.1,3.1,22.3,1.98,47.6
2024-09-08 00:00:00.000,78.02791666666667,23.753055555555555,18.178,18.143,86.5,3.2,22.3,2.3,55.4
2024-09-13 00:00:00.000,78.08458333333333,23.795833333333334,18.094,18.144,91.3,3.2,22.3,1.75,44.1
2024-09-18 00:00:00.000,78.11625,23.836944444444445,18.01,18.144,96.1,3.2,22.3,1.32,23.9
2024-09-23 00:00:00.000,78.12333333333332,23.87638888888889,17.927,18.145,101.0,3.1,22.3,1.17,352.6
2024-09-28 00:00:00.000,78.10541666666667,23.91444444444444,17.846,18.146,105.9,3.0,22.3,1.4,323.0
2024-10-03 00:00:00.000,78.06208333333333,23.950833333333332,17.766,18.146,110.8,3.0,22.2,1.86,304.9
2024-10-08 00:00:00.000,77.99375,23.985555555555557,17.689,18.147,115.8,2.8,22.2,2.43,294.7
2024-10-13 00:00:00.000,77.90166666666666,24.01833333333333,17.616,18.148,120.8,2.7,22.2,3.01,288.6
2024-10-18 00:00:00.000,77.78583333333333,24.049444444444447,17.546,18.148,125.9,2.5,22.2,3.6,284.6
2024-10-23 00:00:00.000,77.6475,24.078888888888887,17.481,18.149,131.0,2.4,22.2,4.17,281.8
2025-01-21 00:00:00.000,73.62458333333333,24.366111111111113,17.46,18.161,134.2,2.2,22.2,4.44,275.1
2025-01-26 00:00:00.000,73.47333333333331,24.38,17.525,18.161,129.0,2.4,22.2,3.86,276.4
2025-01-31 00:00:00.000,73.34458333333332,24.39527777777778,17.595,18.162,123.8,2.6,22.2,3.25,278.5
2025-02-05 00:00:00.000,73.23875,24.41222222222222,17.669,18.163,118.7,2.7,22.2,2.61,281.9
2025-02-10 00:00:00.000,73.15791666666667,24.430833333333336,17.747,18.163,113.5,2.9,22.2,1.96,287.6
2025-02-15 00:00:00.000,73.10208333333333,24.451944444444443,17.827,18.164,108.4,3.0,22.3,1.35,299.1
2025-02-20 00:00:00.000,73.07166666666667,24.474999999999998,17.91,18.165,103.4,3.0,22.3,0.87,326.6
2025-02-25 00:00:00.000,73.06708333333334,24.50027777777778,17.995,18.165,98.3,3.1,22.3,0.83,16.0
2025-03-02 00:00:00.000,73.08833333333334,24.528055555555554,18.081,18.166,93.3,3.1,22.3,1.28,47.1
2025-03-07 00:00:00.000,73.13541666666667,24.558333333333334,18.168,18.166,88.4,3.1,22.3,1.89,60.0
2025-09-13 00:00:00.000,82.23416666666667,26.56361111111111,18.215,18.191,87.1,3.2,22.3,2.42,48.9
2025-09-18 00:00:00.000,82.28958333333333,26.616111111111113,18.131,18.192,91.9,3.2,22.3,1.94,36.2
2025-09-23 00:00:00.000,82.31916666666666,26.66777777777778,18.047,18.192,96.7,3.1,22.3,1.6,16.4
2025-09-28 00:00:00.000,82.32333333333332,26.71861111111111,17.965,18.193,101.6,3.1,22.3,1.53,351.0
2025-10-03 00:00:00.000,82.30166666666666,26.76833333333333,17.883,18.194,106.5,3.0,22.3,1.74,327.8
2025-10-08 00:00:00.000,82.25416666666666,26.816944444444445,17.804,18.194,111.5,2.9,22.3,2.16,311.8
2025-10-13 00:00:00.000,82.18166666666666,26.86416666666667,17.728,18.195,116.5,2.8,22.2,2.67,301.5
2025-10-18 00:00:00.000,82.08416666666666,26.90972222222222,17.655,18.196,121.5,2.7,22.2,3.23,294.7
2025-10-23 00:00:00.000,81.96291666666666,26.953888888888887,17.586,18.196,126.6,2.5,22.2,3.79,290.0
2025-10-28 00:00:00.000,81.81833333333333,26.996111111111112,17.521,18.197,131.7,2.3,22.2,4.34,286.6
2026-01-26 00:00:00.000,77.71291666666666,27.38,17.52,18.208,133.2,2.3,22.2,4.29,273.1
2026-01-31 00:00:00.000,77.56291666666667,27.3875,17.585,18.209,128.1,2.4,22.2,3.69,273.6
2026-02-05 00:00:00.000,77.43625,27.395555555555553,17.655,18.21,122.9,2.6,22.2,3.07,274.6
2026-02-10 00:00:00.000,77.33375,27.404166666666665,17.73,18.21,117.8,2.7,22.2,2.42,276.4
2026-02-15 00:00:00.000,77.25625,27.41361111111111,17.808,18.211,112.7,2.9,22.3,1.75,279.8
