Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,206.60916666666665,-59.164722222222224,22.428,22.93,118.5,2.2,30.6,5.44,343.3,1758,64.5
2023-07-06 00:00:00.000,206.52374999999998,-58.99138888888889,22.483,22.939,115.5,2.3,30.6,5.29,348.4,1757,64.3
2023-07-11 00:00:00.000,206.47166666666664,-58.81944444444445,22.542,22.947,112.3,2.3,30.6,5.15,353.8,1756,64.0
2023-07-16 00:00:00.000,206.45208333333332,-58.650555555555556,22.603,22.956,109.1,2.4,30.6,5.02,359.4,1756,63.8
2023-07-21 00:00:00.000,206.46499999999997,-58.48527777777778,22.667,22.964,105.8,2.4,30.7,4.91,5.4,1756,63.6
2023-07-26 00:00:00.000,206.51041666666666,-58.32527777777778,22.733,22.973,102.4,2.5,30.7,4.81,11.5,1757,63.3
2023-07-31 00:00:00.000,206.58666666666667,-58.171388888888885,22.801,22.981,99.0,2.5,30.7,4.74,17.8,1758,63.1
2023-08-05 00:00:00.000,206.69291666666663,-58.02472222222222,22.87,22.99,95.5,2.5,30.7,4.7,24.2,1760,62.8
2023-08-10 00:00:00.000,206.82833333333332,-57.88583333333333,22.94,22.998,92.0,2.5,30.7,4.69,30.6,1762,62.5
2023-08-15 00:00:00.000,206.9920833333333,-57.755833333333335,23.011,23.007,88.5,2.5,30.7,4.71,37.0,1765,62.3
2024-02-11 00:00:00.000,216.62374999999997,-59.72805555555556,23.351,23.303,86.0,2.4,30.7,4.04,191.8,1957,60.5
2024-02-16 00:00:00.000,216.55166666666665,-59.85638888888889,23.295,23.311,89.7,2.4,30.7,3.98,199.8,1958,60.7
2024-02-21 00:00:00.000,216.4445833333333,-59.977222222222224,23.239,23.319,93.4,2.4,30.7,3.97,208.0,1959,60.9
2024-02-26 00:00:00.000,216.30416666666662,-60.089444444444446,23.184,23.327,97.1,2.4,30.7,4.0,216.1,1959,61.2
2024-03-02 00:00:00.000,216.13041666666663,-60.19222222222222,23.129,23.335,100.8,2.4,30.7,4.07,224.0,1959,61.4
2024-03-07 00:00:00.000,215.92499999999995,-60.28444444444444,23.077,23.343,104.4,2.4,30.7,4.19,231.7,1958,61.6
2024-03-12 00:00:00.000,215.68916666666664,-60.365,23.026,23.351,107.9,2.3,30.7,4.33,239.0,1957,61.9
2024-03-17 00:00:00.000,215.42499999999998,-60.433055555555555,22.977,23.359,111.4,2.3,30.7,4.5,245.8,1955,62.1
2024-03-22 00:00:00.000,215.13583333333332,-60.48777777777778,22.932,23.367,114.8,2.2,30.7,4.68,252.1,1953,62.3
2024-03-27 00:00:00.000,214.8233333333333,-60.528888888888886,22.889,23.374,118.0,2.2,30.7,4.87,257.9,1950,62.5
2024-04-01 00:00:00.000,214.49083333333328,-60.55555555555555,22.851,23.382,121.1,2.1,30.7,5.07,263.4,1946,62.8
2024-04-06 00:00:00.000,214.14166666666665,-60.5675,22.816,23.39,124.0,2.0,30.7,5.26,268.6,1942,63.0
2024-04-11 00:00:00.000,213.77874999999997,-60.56444444444444,22.786,23.398,126.7,2.0,30.7,5.44,273.4,1938,63.1
2024-04-16 00:00:00.000,213.40624999999997,-60.545833333333334,22.76,23.406,129.1,1.9,30.7,5.6,278.0,1933,63.3
2024-04-21 00:00:00.000,213.02791666666664,-60.51222222222222,22.739,23.414,131.2,1.8,30.7,5.75,282.4,1928,63.5
2024-04-26 00:00:00.000,212.64708333333328,-60.46388888888889,22.724,23.422,133.0,1.8,30.7,5.87,286.6,1923,63.6
2024-05-01 00:00:00.000,212.26791666666665,-60.40083333333333,22.713,23.43,134.4,1.8,30.6,5.97,290.6,1918,63.7
2024-05-31 00:00:00.000,210.21999999999997,-59.75361111111111,22.764,23.476,133.7,1.8,30.7,6.03,314.0,1888,63.9
2024-06-05 00:00:00.000,209.9445833333333,-59.61,22.791,23.484,132.1,1.8,30.7,5.96,318.0,1884,63.8
2024-06-10 00:00:00.000,209.69541666666663,-59.45916666666667,22.824,23.492,130.2,1.9,30.7,5.86,322.1,1880,63.7
2024-06-15 00:00:00.000,209.4733333333333,-59.302499999999995,22.861,23.5,128.0,2.0,30.7,5.74,326.3,1876,63.6
2024-06-20 00:00:00.000,209.28041666666664,-59.14138888888889,22.903,23.507,125.5,2.0,30.7,5.6,330.7,1873,63.4
2024-06-25 00:00:00.000,209.1170833333333,-58.977222222222224,22.949,23.515,122.8,2.1,30.7,5.46,335.2,1871,63.3
2024-06-30 00:00:00.000,208.9845833333333,-58.81111111111111,22.999,23.523,119.9,2.1,30.7,5.32,340.0,1869,63.1
