Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,189.02999999999997,2.0266666666666664,15.905,15.917,88.9,3.7,26.6,1.87,144.5,97,297.9
2024-01-07 00:00:00.000,197.28583333333333,-1.6147222222222224,15.89,15.908,89.3,3.5,26.6,1.74,87.0,115,297.3
2024-01-12 00:00:00.000,197.33124999999998,-1.606388888888889,15.803,15.907,94.3,3.5,26.5,1.06,67.3,116,297.3
2024-01-17 00:00:00.000,197.35125,-1.5875000000000001,15.717,15.906,99.4,3.5,26.5,0.75,16.4,117,297.3
2024-01-22 00:00:00.000,197.34541666666667,-1.5583333333333333,15.632,15.906,104.5,3.4,26.5,1.17,331.8,117,297.3
2024-01-27 00:00:00.000,197.31416666666667,-1.5188888888888887,15.548,15.905,109.6,3.3,26.5,1.86,315.3,118,297.3
2024-02-01 00:00:00.000,197.25833333333333,-1.4700000000000002,15.468,15.904,114.7,3.2,26.5,2.61,308.0,119,297.2
2024-02-06 00:00:00.000,197.17708333333331,-1.4116666666666666,15.39,15.904,119.8,3.1,26.5,3.37,304.0,119,297.2
2024-02-11 00:00:00.000,197.07208333333332,-1.3447222222222222,15.317,15.903,125.0,2.9,26.4,4.11,301.3,120,297.2
2024-02-16 00:00:00.000,196.9433333333333,-1.2694444444444444,15.248,15.902,130.1,2.7,26.4,4.81,299.5,120,297.2
2024-05-21 00:00:00.000,192.72999999999996,0.4188888888888889,15.2,15.885,131.2,2.7,26.4,5.01,283.8,113,297.6
2024-05-26 00:00:00.000,192.57791666666665,0.4538888888888889,15.263,15.884,126.3,2.9,26.4,4.35,281.9,113,297.7
2024-05-31 00:00:00.000,192.44624999999996,0.4786111111111111,15.331,15.883,121.4,3.1,26.4,3.68,279.2,112,297.7
2024-06-05 00:00:00.000,192.33624999999998,0.4930555555555556,15.403,15.882,116.5,3.3,26.5,2.98,275.4,111,297.8
2024-06-10 00:00:00.000,192.24874999999997,0.49722222222222223,15.477,15.881,111.7,3.4,26.5,2.28,269.1,111,297.8
2024-06-15 00:00:00.000,192.1845833333333,0.49083333333333334,15.555,15.879,106.9,3.5,26.5,1.61,257.4,110,297.8
2024-06-20 00:00:00.000,192.14374999999998,0.4738888888888889,15.634,15.878,102.1,3.6,26.5,1.09,232.7,109,297.9
2024-06-25 00:00:00.000,192.12666666666667,0.44666666666666666,15.715,15.877,97.3,3.6,26.5,0.98,189.4,109,297.9
2024-06-30 00:00:00.000,192.13333333333333,0.40972222222222227,15.797,15.876,92.6,3.7,26.5,1.38,156.4,108,297.9
2024-07-05 00:00:00.000,192.16333333333333,0.36277777777777775,15.879,15.875,87.9,3.7,26.6,2.0,140.9,108,298.0
2025-01-06 00:00:00.000,200.42291666666662,-3.2425,15.863,15.817,85.5,3.6,26.5,2.31,94.8,128,297.2
2025-01-11 00:00:00.000,200.48749999999995,-3.243888888888889,15.775,15.815,90.5,3.6,26.5,1.56,85.6,129,297.1
2025-01-16 00:00:00.000,200.52666666666664,-3.2347222222222225,15.687,15.813,95.6,3.5,26.5,0.91,61.8,129,297.1
2025-01-21 00:00:00.000,200.54041666666663,-3.215277777777778,15.6,15.811,100.6,3.5,26.5,0.74,2.4,130,297.1
2025-01-26 00:00:00.000,200.52874999999997,-3.185833333333333,15.514,15.809,105.7,3.4,26.5,1.28,324.4,131,297.1
2025-01-31 00:00:00.000,200.49083333333328,-3.1463888888888887,15.43,15.807,110.8,3.3,26.5,2.02,311.3,132,297.1
2025-02-05 00:00:00.000,200.42791666666665,-3.0972222222222223,15.349,15.805,115.9,3.2,26.4,2.78,305.4,132,297.1
2025-02-10 00:00:00.000,200.3395833333333,-3.0391666666666666,15.271,15.803,121.1,3.1,26.4,3.54,302.0,133,297.1
2025-02-15 00:00:00.000,200.22791666666666,-2.9725,15.197,15.801,126.2,2.9,26.4,4.27,299.8,133,297.1
2025-02-20 00:00:00.000,200.09291666666667,-2.8980555555555556,15.127,15.799,131.4,2.7,26.4,4.97,298.2,134,297.1
2025-05-26 00:00:00.000,195.83625,-1.2447222222222223,15.083,15.756,130.2,2.8,26.4,4.9,283.5,126,297.6
2025-05-31 00:00:00.000,195.68791666666667,-1.2116666666666667,15.146,15.754,125.3,3.0,26.4,4.23,281.5,125,297.7
2025-06-05 00:00:00.000,195.56041666666664,-1.1888888888888889,15.213,15.751,120.4,3.2,26.4,3.53,278.7,124,297.7
2025-06-10 00:00:00.000,195.455,-1.176111111111111,15.284,15.749,115.5,3.3,26.4,2.83,274.6,124,297.8
2025-06-15 00:00:00.000,195.37249999999997,-1.1736111111111112,15.358,15.746,110.7,3.5,26.5,2.13,267.8,123,297.8
2025-06-20 00:00:00.000,195.3133333333333,-1.1816666666666666,15.435,15.744,105.9,3.6,26.5,1.47,254.6,122,297.8
2025-06-25 00:00:00.000,195.27791666666667,-1.1997222222222221,15.513,15.741,101.1,3.6,26.5,0.99,225.0,122,297.9
2025-06-30 00:00:00.000,195.26666666666665,-1.2280555555555557,15.593,15.739,96.4,3.7,26.5,1.0,178.5,121,297.9
2025-07-05 00:00:00.000,195.2795833333333,-1.2663888888888888,15.674,15.736,91.7,3.7,26.5,1.5,150.1,121,297.9
2025-07-10 00:00:00.000,195.31624999999997,-1.3144444444444445,15.755,15.734,87.0,3.7,26.5,2.15,137.4,120,298.0
2026-01-11 00:00:00.000,203.72166666666664,-4.902222222222223,15.653,15.626,86.6,3.6,26.5,2.19,94.7,143,296.9
2026-01-16 00:00:00.000,203.78166666666664,-4.9030555555555555,15.563,15.623,91.7,3.6,26.5,1.42,84.8,144,296.8
2026-01-21 00:00:00.000,203.81624999999997,-4.8936111111111105,15.474,15.619,96.7,3.6,26.5,0.77,55.4,145,296.8
2026-01-26 00:00:00.000,203.82416666666666,-4.87388888888889,15.385,15.616,101.8,3.5,26.4,0.76,348.7,146,296.8
2026-01-31 00:00:00.000,203.80624999999998,-4.844166666666666,15.298,15.613,106.9,3.5,26.4,1.39,318.1,147,296.8
2026-02-05 00:00:00.000,203.76249999999996,-4.805,15.214,15.609,112.0,3.4,26.4,2.15,307.8,148,296.8
2026-02-10 00:00:00.000,203.69249999999997,-4.756388888888889,15.132,15.606,117.1,3.2,26.4,2.93,302.9,148,296.8
