Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-09 00:00:00.000,78.44249999999998,17.76361111111111,2.364,2.518,86.8,23.5,21.3,51.57,83.0,4742,75.0
2023-09-14 00:00:00.000,80.20749999999998,17.964166666666667,2.287,2.498,90.0,23.8,21.2,49.9,83.3,4919,75.6
2023-09-19 00:00:00.000,81.91291666666666,18.150555555555552,2.21,2.478,93.2,23.9,21.1,48.0,83.5,5107,76.2
2023-09-24 00:00:00.000,83.55083333333332,18.325833333333332,2.134,2.459,96.5,23.9,21.0,45.89,83.6,5306,76.7
2023-09-29 00:00:00.000,85.11291666666666,18.49388888888889,2.059,2.44,99.9,23.9,20.9,43.56,83.5,5516,77.3
2023-10-04 00:00:00.000,86.58958333333332,18.658055555555553,1.986,2.422,103.4,23.7,20.8,40.96,83.1,5737,77.8
2023-10-09 00:00:00.000,87.96999999999998,18.822499999999998,1.915,2.405,107.0,23.4,20.7,38.04,82.5,5971,78.3
2023-10-14 00:00:00.000,89.24208333333333,18.991666666666667,1.846,2.388,110.7,23.0,20.6,34.82,81.4,6218,78.8
2023-10-19 00:00:00.000,90.39416666666665,19.170555555555556,1.778,2.373,114.6,22.5,20.5,31.33,79.8,6478,79.3
2023-10-24 00:00:00.000,91.41541666666664,19.36416666666667,1.714,2.357,118.6,21.8,20.4,27.63,77.3,6749,79.7
2023-10-29 00:00:00.000,92.29541666666665,19.578333333333333,1.652,2.343,122.7,20.9,20.3,23.77,73.5,7031,80.2
2023-11-03 00:00:00.000,93.02416666666666,19.816944444444445,1.593,2.329,127.0,19.9,20.1,19.82,67.5,7324,80.5
2023-11-08 00:00:00.000,93.58999999999999,20.084722222222222,1.537,2.316,131.5,18.7,20.0,16.02,57.9,7623,80.8
2024-02-06 00:00:00.000,88.72125,27.834444444444443,1.45,2.236,132.4,19.0,19.8,15.24,53.9,8059,78.4
2024-02-11 00:00:00.000,89.28666666666666,28.1175,1.495,2.24,127.8,20.4,19.9,19.37,65.6,7779,78.6
2024-02-16 00:00:00.000,90.05249999999998,28.368333333333332,1.545,2.246,123.4,21.5,20.0,23.85,72.9,7502,78.8
2024-02-21 00:00:00.000,91.00958333333332,28.585833333333333,1.597,2.252,119.3,22.5,20.2,28.27,77.7,7233,79.2
2024-02-26 00:00:00.000,92.14541666666666,28.769166666666667,1.653,2.259,115.2,23.3,20.3,32.5,81.2,6973,79.6
2024-03-02 00:00:00.000,93.44749999999999,28.91722222222222,1.71,2.268,111.4,24.0,20.4,36.46,83.8,6723,80.2
2024-03-07 00:00:00.000,94.90249999999999,29.029166666666665,1.77,2.277,107.6,24.5,20.5,40.16,86.0,6485,80.8
2024-03-12 00:00:00.000,96.49833333333333,29.103333333333335,1.832,2.287,104.1,24.9,20.6,43.59,87.8,6258,81.6
2024-03-17 00:00:00.000,98.22166666666665,29.138333333333332,1.896,2.297,100.6,25.2,20.7,46.7,89.4,6042,82.4
2024-03-22 00:00:00.000,100.05749999999999,29.133333333333333,1.961,2.309,97.3,25.3,20.7,49.46,90.9,5838,83.3
2024-03-27 00:00:00.000,101.99125,29.086944444444445,2.027,2.321,94.0,25.4,20.8,51.92,92.2,5644,84.2
2024-04-01 00:00:00.000,104.01083333333332,28.99888888888889,2.095,2.335,90.9,25.3,20.9,54.11,93.5,5459,85.2
2024-04-06 00:00:00.000,106.10458333333331,28.868055555555557,2.163,2.349,87.8,25.2,21.0,56.07,94.7,5284,86.2
2025-01-16 00:00:00.000,209.49374999999995,-2.740277777777778,3.704,3.789,87.4,15.0,22.9,18.55,96.1,1609,297.8
