Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,324.8312499999999,-9.260833333333334,4.47,5.232,134.4,8.0,24.1,8.94,268.1,,
2023-09-24 00:00:00.000,316.0233333333333,-11.515277777777778,4.406,5.159,134.5,8.0,24.0,8.97,246.5,,
2023-09-29 00:00:00.000,315.7808333333333,-11.625555555555556,4.461,5.155,129.3,8.6,24.1,6.73,243.1,,
2023-10-04 00:00:00.000,315.61541666666665,-11.7175,4.52,5.151,124.3,9.2,24.2,4.45,236.3,,
2023-10-09 00:00:00.000,315.52916666666664,-11.79,4.583,5.146,119.3,9.7,24.2,2.3,215.9,,
2023-10-14 00:00:00.000,315.52374999999995,-11.84138888888889,4.65,5.142,114.3,10.2,24.2,1.6,139.7,,
2023-10-19 00:00:00.000,315.5995833333333,-11.871111111111112,4.719,5.137,109.5,10.5,24.3,3.46,99.3,,
2023-10-24 00:00:00.000,315.75624999999997,-11.878333333333334,4.79,5.133,104.7,10.8,24.3,5.76,88.8,,
2023-10-29 00:00:00.000,315.99083333333334,-11.862777777777778,4.863,5.129,99.9,11.0,24.4,8.06,84.2,,
2023-11-03 00:00:00.000,316.30208333333326,-11.824166666666667,4.937,5.124,95.2,11.1,24.4,10.33,81.7,,
2023-11-08 00:00:00.000,316.68625,-11.762777777777778,5.012,5.12,90.6,11.2,24.4,12.54,79.9,,
2023-11-13 00:00:00.000,317.1420833333333,-11.678055555555554,5.087,5.115,86.1,11.1,24.5,14.68,78.7,,
2024-06-15 00:00:00.000,356.14333333333326,4.103333333333333,4.892,4.926,86.0,11.9,24.3,16.29,56.6,,
2024-06-20 00:00:00.000,356.5666666666666,4.390833333333334,4.811,4.922,90.2,11.9,24.3,14.33,54.8,,
2024-06-25 00:00:00.000,356.9258333333333,4.653611111111111,4.731,4.917,94.6,11.9,24.3,12.3,52.4,,
2024-06-30 00:00:00.000,357.21791666666667,4.89,4.651,4.913,98.9,11.8,24.2,10.2,49.0,,
2024-07-05 00:00:00.000,357.44,5.098333333333333,4.572,4.909,103.4,11.6,24.2,8.04,43.8,,
2024-07-10 00:00:00.000,357.58916666666664,5.276666666666666,4.495,4.904,107.9,11.4,24.1,5.93,34.5,,
2024-07-15 00:00:00.000,357.66458333333327,5.423333333333334,4.42,4.9,112.5,11.0,24.1,4.07,16.1,,
2024-07-20 00:00:00.000,357.66458333333327,5.537222222222222,4.347,4.896,117.2,10.6,24.0,3.12,338.9,,
2024-07-25 00:00:00.000,357.58916666666664,5.617500000000001,4.277,4.891,122.0,10.1,24.0,3.87,299.1,,
2024-07-30 00:00:00.000,357.4383333333333,5.6625000000000005,4.21,4.887,126.8,9.6,23.9,5.69,278.2,,
2024-08-04 00:00:00.000,357.2125,5.671388888888889,4.148,4.883,131.8,8.9,23.8,7.84,268.0,,
2024-11-02 00:00:00.000,348.54041666666666,2.006111111111111,4.107,4.808,130.2,9.1,23.8,7.36,225.1,,
2024-11-07 00:00:00.000,348.4070833333333,1.847777777777778,4.166,4.804,125.1,9.7,23.8,5.1,212.8,,
