Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,351.3245833333333,-2.877222222222222,22.036,22.366,107.7,2.5,22.0,0.68,291.8,1,60.3
2023-07-06 00:00:00.000,351.29541666666665,-2.8722222222222222,21.958,22.367,112.5,2.4,22.0,1.12,272.4,1,60.1
2023-07-11 00:00:00.000,351.25,-2.8741666666666665,21.883,22.368,117.3,2.3,21.9,1.6,264.4,1,59.8
2023-07-16 00:00:00.000,351.18916666666655,-2.8825,21.812,22.369,122.1,2.2,21.9,2.08,260.2,1,59.6
2023-07-21 00:00:00.000,351.1133333333333,-2.897777777777778,21.744,22.37,127.0,2.1,21.9,2.56,257.6,1,59.2
2023-07-26 00:00:00.000,351.0229166666666,-2.9188888888888886,21.68,22.371,131.9,1.9,21.9,3.0,256.0,1,58.9
2023-10-29 00:00:00.000,348.29249999999996,-3.8027777777777776,21.704,22.39,132.8,1.9,21.9,3.04,252.7,0,338.0
2023-11-03 00:00:00.000,348.2029166666666,-3.8299999999999996,21.771,22.392,127.7,2.0,21.9,2.58,253.5,0,326.0
2023-11-08 00:00:00.000,348.12791666666664,-3.851388888888889,21.843,22.393,122.6,2.1,21.9,2.08,254.9,0,316.2
2023-11-13 00:00:00.000,348.06874999999997,-3.866388888888889,21.919,22.394,117.5,2.2,22.0,1.56,257.2,0,308.8
2023-11-18 00:00:00.000,348.02624999999995,-3.8744444444444444,21.999,22.395,112.4,2.3,22.0,1.02,262.2,0,303.5
2023-11-23 00:00:00.000,348.0012499999999,-3.8755555555555556,22.081,22.396,107.4,2.4,22.0,0.5,278.6,0,300.0
2023-11-28 00:00:00.000,347.9933333333333,-3.8694444444444445,22.166,22.397,102.3,2.5,22.0,0.29,6.2,0,297.8
2023-12-03 00:00:00.000,348.00333333333333,-3.8561111111111113,22.252,22.398,97.2,2.5,22.0,0.76,47.8,0,296.8
