Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,192.38041666666663,-3.05,20.561,20.656,93.9,2.8,28.2,0.99,304.4,33,332.7
2023-07-06 00:00:00.000,192.36249999999998,-3.0352777777777775,20.654,20.664,89.2,2.8,28.2,0.42,320.8,33,332.6
2024-01-07 00:00:00.000,197.1058333333333,-4.412777777777778,20.94,20.935,88.4,2.7,28.3,0.83,0.9,31,336.5
2024-01-12 00:00:00.000,197.09666666666664,-4.38111111111111,20.859,20.942,93.5,2.7,28.3,1.22,332.0,31,336.6
2024-01-17 00:00:00.000,197.06749999999997,-4.341111111111111,20.779,20.949,98.6,2.7,28.3,1.76,318.7,32,336.5
2024-01-22 00:00:00.000,197.01874999999998,-4.292777777777777,20.7,20.956,103.8,2.6,28.3,2.35,311.8,32,336.5
2024-01-27 00:00:00.000,196.95041666666665,-4.236666666666666,20.623,20.963,108.9,2.5,28.3,2.94,307.7,32,336.5
2024-02-01 00:00:00.000,196.86333333333332,-4.173055555555556,20.549,20.97,114.1,2.5,28.2,3.54,305.0,32,336.4
2024-02-06 00:00:00.000,196.75708333333333,-4.101666666666667,20.477,20.977,119.3,2.3,28.2,4.12,303.1,32,336.3
2024-02-11 00:00:00.000,196.63291666666663,-4.023055555555556,20.41,20.984,124.5,2.2,28.2,4.69,301.7,33,336.3
2024-02-16 00:00:00.000,196.4908333333333,-3.937777777777778,20.347,20.991,129.7,2.1,28.2,5.22,300.6,33,336.2
2024-02-21 00:00:00.000,196.33291666666665,-3.846388888888889,20.289,20.998,134.9,1.9,28.2,5.71,299.7,33,336.0
2024-05-21 00:00:00.000,192.52499999999998,-1.9669444444444446,20.429,21.121,132.1,2.0,28.2,5.34,294.6,36,333.2
2024-05-26 00:00:00.000,192.37041666666664,-1.896388888888889,20.501,21.128,127.1,2.2,28.2,4.84,294.5,36,333.1
2024-05-31 00:00:00.000,192.23166666666665,-1.8330555555555554,20.577,21.135,122.2,2.3,28.3,4.31,294.5,36,333.0
2024-06-05 00:00:00.000,192.10875000000001,-1.7774999999999999,20.657,21.141,117.3,2.4,28.3,3.76,294.4,36,332.9
2024-06-10 00:00:00.000,192.00333333333333,-1.7294444444444446,20.74,21.148,112.4,2.5,28.3,3.19,294.4,35,332.8
2024-06-15 00:00:00.000,191.91541666666666,-1.6894444444444445,20.827,21.155,107.5,2.6,28.3,2.61,294.5,35,332.8
2024-06-20 00:00:00.000,191.84541666666664,-1.6575,20.915,21.161,102.7,2.7,28.3,2.02,294.7,35,332.7
2024-06-25 00:00:00.000,191.7933333333333,-1.6333333333333333,21.005,21.168,97.9,2.7,28.3,1.43,295.2,35,332.7
2024-06-30 00:00:00.000,191.75916666666663,-1.6169444444444445,21.096,21.175,93.1,2.7,28.3,0.84,296.5,35,332.7
2024-07-05 00:00:00.000,191.7433333333333,-1.6083333333333334,21.187,21.181,88.3,2.8,28.3,0.25,304.6,35,332.6
2025-01-06 00:00:00.000,196.37708333333333,-2.975,21.405,21.416,89.3,2.6,28.4,0.96,357.7,33,336.7
2025-01-11 00:00:00.000,196.36624999999998,-2.938888888888889,21.324,21.422,94.4,2.6,28.4,1.35,333.2,33,336.7
2025-01-16 00:00:00.000,196.33625,-2.894722222222222,21.243,21.428,99.6,2.6,28.4,1.86,320.7,34,336.7
2025-01-21 00:00:00.000,196.28749999999997,-2.842777777777778,21.163,21.434,104.7,2.5,28.4,2.43,313.8,34,336.6
2025-01-26 00:00:00.000,196.21916666666664,-2.7830555555555554,21.086,21.44,109.9,2.5,28.3,3.01,309.4,34,336.6
2025-01-31 00:00:00.000,196.13249999999996,-2.715555555555556,21.011,21.447,115.0,2.4,28.3,3.58,306.5,34,336.5
2025-02-05 00:00:00.000,196.0270833333333,-2.641111111111111,20.939,21.453,120.2,2.3,28.3,4.14,304.4,34,336.5
2025-02-10 00:00:00.000,195.90458333333333,-2.5597222222222222,20.872,21.459,125.4,2.1,28.3,4.68,302.8,35,336.4
