Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-19 00:00:00.000,87.74333333333331,18.325555555555557,2.987,3.112,87.6,18.8,21.5,33.44,97.8,8,87.1
2023-09-24 00:00:00.000,88.85791666666665,18.16611111111111,2.922,3.114,91.5,18.8,21.5,30.76,99.4,9,87.4
2023-09-29 00:00:00.000,89.87124999999999,17.99277777777778,2.859,3.116,95.4,18.7,21.4,27.92,101.1,9,87.7
2023-10-04 00:00:00.000,90.77624999999999,17.808055555555555,2.795,3.119,99.4,18.4,21.4,24.91,103.2,9,88.0
2023-10-09 00:00:00.000,91.56624999999998,17.61416666666667,2.733,3.122,103.5,18.1,21.3,21.7,105.9,9,88.1
2023-10-14 00:00:00.000,92.23416666666667,17.413888888888888,2.673,3.126,107.8,17.7,21.3,18.33,109.4,9,88.3
2023-10-19 00:00:00.000,92.77333333333333,17.21,2.614,3.13,112.2,17.1,21.2,14.88,114.4,10,88.4
2023-10-24 00:00:00.000,93.17916666666666,17.005277777777778,2.557,3.134,116.8,16.5,21.1,11.47,122.2,10,88.5
2023-10-29 00:00:00.000,93.44874999999999,16.802777777777777,2.504,3.138,121.4,15.7,21.1,8.33,136.2,10,88.5
2023-11-03 00:00:00.000,93.58,16.605,2.453,3.143,126.2,14.8,21.0,6.09,163.2,10,88.5
2023-11-08 00:00:00.000,93.57124999999998,16.41472222222222,2.406,3.148,131.2,13.7,20.9,6.01,202.1,10,88.5
2024-02-01 00:00:00.000,84.38541666666667,16.014722222222222,2.535,3.285,132.9,12.7,21.1,5.04,329.9,10,86.2
2024-02-06 00:00:00.000,84.3625,16.16583333333333,2.598,3.296,127.8,13.7,21.2,4.85,14.6,10,86.2
2024-02-11 00:00:00.000,84.47041666666667,16.326944444444443,2.665,3.307,123.0,14.5,21.3,7.04,45.2,9,86.2
2024-02-16 00:00:00.000,84.70874999999998,16.49527777777778,2.735,3.318,118.2,15.2,21.3,10.09,59.5,9,86.3
2024-02-21 00:00:00.000,85.07333333333332,16.668055555555558,2.808,3.329,113.6,15.8,21.4,13.31,66.9,9,86.4
2024-02-26 00:00:00.000,85.55875,16.841944444444444,2.884,3.341,109.1,16.3,21.5,16.47,71.5,9,86.5
