Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-29 00:00:00.000,118.92333333333333,-33.233333333333334,4.645,4.681,85.9,12.2,22.7,11.74,176.5,4,26.8
2023-11-03 00:00:00.000,118.89874999999999,-33.61555555555556,4.611,4.697,88.8,12.2,22.7,11.35,189.9,4,26.8
2023-11-08 00:00:00.000,118.76625,-33.97666666666667,4.576,4.713,91.8,12.1,22.7,11.43,204.0,4,27.0
2023-11-13 00:00:00.000,118.52374999999999,-34.30916666666666,4.541,4.729,94.9,12.0,22.7,12.0,217.9,4,27.2
2023-11-18 00:00:00.000,118.17124999999999,-34.60527777777778,4.507,4.746,97.9,11.9,22.7,13.0,230.6,4,27.4
2023-11-23 00:00:00.000,117.71083333333331,-34.856944444444444,4.474,4.762,101.0,11.7,22.7,14.36,241.7,4,27.8
2023-11-28 00:00:00.000,117.14541666666665,-35.05638888888888,4.442,4.778,104.0,11.6,22.7,15.98,251.3,4,28.2
2023-12-03 00:00:00.000,116.47999999999999,-35.19611111111111,4.413,4.795,107.0,11.3,22.6,17.78,259.6,4,28.7
2023-12-08 00:00:00.000,115.72125,-35.26833333333333,4.385,4.811,109.9,11.1,22.6,19.7,266.9,4,29.2
2023-12-13 00:00:00.000,114.87749999999998,-35.26555555555556,4.361,4.827,112.7,10.8,22.6,21.66,273.4,4,29.8
2023-12-18 00:00:00.000,113.95999999999998,-35.18055555555555,4.339,4.843,115.4,10.6,22.6,23.59,279.4,4,30.4
2023-12-23 00:00:00.000,112.98374999999999,-35.00833333333333,4.322,4.86,117.8,10.3,22.6,25.45,284.9,4,31.1
2023-12-28 00:00:00.000,111.96333333333332,-34.74472222222222,4.309,4.876,120.0,10.1,22.6,27.21,290.0,4,31.7
2024-01-02 00:00:00.000,110.91458333333333,-34.38777777777778,4.3,4.892,121.9,9.8,22.6,28.84,294.9,4,32.4
2024-01-07 00:00:00.000,109.85458333333331,-33.936388888888885,4.296,4.908,123.5,9.6,22.6,30.33,299.5,4,33.0
2024-01-12 00:00:00.000,108.80041666666666,-33.39138888888889,4.298,4.924,124.7,9.5,22.6,31.62,304.1,4,33.7
2024-01-17 00:00:00.000,107.77041666666665,-32.75555555555555,4.305,4.94,125.4,9.3,22.6,32.69,308.6,4,34.3
2024-01-22 00:00:00.000,106.78041666666665,-32.034166666666664,4.318,4.957,125.7,9.3,22.6,33.52,313.0,4,34.8
2024-01-27 00:00:00.000,105.84583333333332,-31.234444444444446,4.336,4.973,125.5,9.3,22.6,34.15,317.3,4,35.3
