Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-25 00:00:00.000,294.70666666666665,14.239444444444443,12.943,13.666,134.2,3.0,27.6,8.27,237.6,302281,87.2
2023-08-30 00:00:00.000,294.4779166666666,14.086388888888889,12.98,13.665,131.0,3.2,27.7,7.9,233.1,300935,87.5
2023-09-04 00:00:00.000,294.2729166666666,13.923888888888888,13.023,13.663,127.7,3.3,27.7,7.52,228.2,299365,87.8
2023-09-09 00:00:00.000,294.09333333333336,13.753055555555555,13.07,13.661,124.1,3.5,27.7,7.12,222.7,297636,88.1
2023-09-14 00:00:00.000,293.9416666666666,13.575555555555555,13.122,13.659,120.5,3.6,27.7,6.73,216.6,295806,88.4
2023-09-19 00:00:00.000,293.81874999999997,13.393611111111111,13.177,13.657,116.7,3.8,27.7,6.35,209.7,293920,88.7
2023-09-24 00:00:00.000,293.7258333333333,13.208888888888888,13.236,13.656,112.8,3.9,27.7,6.01,202.1,292014,89.0
2023-09-29 00:00:00.000,293.66416666666663,13.023055555555556,13.298,13.654,108.8,4.0,27.8,5.74,193.7,290116,89.4
2023-10-04 00:00:00.000,293.6333333333333,12.837777777777779,13.362,13.652,104.8,4.1,27.8,5.55,184.6,288250,89.7
2023-10-09 00:00:00.000,293.63374999999996,12.654444444444445,13.428,13.65,100.7,4.1,27.8,5.47,175.0,286436,270.1
2023-10-14 00:00:00.000,293.6658333333333,12.475277777777778,13.496,13.648,96.7,4.2,27.8,5.49,165.2,284692,270.5
2023-10-19 00:00:00.000,293.7295833333333,12.301111111111112,13.565,13.646,92.6,4.2,27.8,5.62,155.6,283033,271.0
2023-10-24 00:00:00.000,293.8241666666666,12.134166666666665,13.634,13.644,88.5,4.2,27.8,5.86,146.7,281471,271.4
2024-04-26 00:00:00.000,304.32625,15.000833333333333,13.589,13.553,85.9,4.2,27.8,6.95,9.2,284560,276.4
2024-05-01 00:00:00.000,304.3495833333333,15.226944444444445,13.516,13.55,89.8,4.3,27.8,6.71,1.9,283182,276.3
2024-05-06 00:00:00.000,304.3420833333333,15.447222222222223,13.443,13.547,93.8,4.3,27.8,6.54,354.2,281527,276.2
