Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,344.2616666666666,-24.823055555555555,23.997,24.54,121.3,2.0,31.4,3.13,225.2,127,26.7
2023-07-06 00:00:00.000,344.17208333333326,-24.898333333333333,23.945,24.555,125.9,1.9,31.4,3.51,229.0,127,26.7
2023-07-11 00:00:00.000,344.0670833333333,-24.976388888888888,23.898,24.569,130.4,1.8,31.4,3.88,232.1,127,26.7
2023-07-16 00:00:00.000,343.9470833333333,-25.056944444444444,23.855,24.583,134.9,1.7,31.4,4.23,234.8,128,26.7
2023-10-09 00:00:00.000,340.8666666666666,-26.04277777777778,24.114,24.827,134.7,1.6,31.4,4.3,267.7,123,26.0
2023-10-14 00:00:00.000,340.7133333333333,-26.04416666666667,24.188,24.841,130.0,1.8,31.4,3.97,271.2,123,25.9
2023-10-19 00:00:00.000,340.57249999999993,-26.037222222222223,24.266,24.856,125.3,1.9,31.4,3.62,275.3,123,25.9
2023-10-24 00:00:00.000,340.44624999999996,-26.021944444444443,24.349,24.87,120.5,2.0,31.4,3.26,280.3,122,25.8
2023-10-29 00:00:00.000,340.335,-25.998611111111114,24.436,24.884,115.8,2.1,31.5,2.91,286.4,122,25.8
2023-11-03 00:00:00.000,340.2391666666666,-25.96722222222222,24.526,24.898,110.9,2.1,31.5,2.59,294.2,121,25.7
2023-11-08 00:00:00.000,340.15999999999997,-25.92777777777778,24.619,24.912,106.1,2.2,31.5,2.3,304.2,121,25.7
2023-11-13 00:00:00.000,340.0983333333333,-25.88111111111111,24.714,24.927,101.3,2.2,31.5,2.09,316.5,121,25.6
2023-11-18 00:00:00.000,340.05375,-25.826944444444443,24.811,24.941,96.4,2.3,31.5,1.97,331.0,120,25.6
2023-11-23 00:00:00.000,340.0275,-25.766111111111112,24.908,24.955,91.6,2.3,31.5,1.98,346.2,120,25.5
2023-11-28 00:00:00.000,340.01874999999995,-25.698888888888888,25.006,24.969,86.7,2.3,31.5,2.11,0.3,120,25.5
2024-05-26 00:00:00.000,344.9033333333333,-23.427222222222223,25.486,25.472,88.1,2.3,31.6,1.38,131.6,130,26.5
2024-05-31 00:00:00.000,344.93291666666664,-23.461111111111112,25.418,25.486,92.7,2.3,31.6,1.26,152.1,130,26.5
2024-06-05 00:00:00.000,344.94624999999996,-23.50138888888889,25.351,25.499,97.3,2.3,31.6,1.31,173.9,130,26.6
2024-06-10 00:00:00.000,344.94291666666663,-23.548055555555557,25.284,25.513,101.9,2.2,31.6,1.52,191.9,131,26.6
2024-06-15 00:00:00.000,344.92333333333335,-23.60027777777778,25.219,25.527,106.5,2.2,31.6,1.82,204.8,131,26.6
2024-06-20 00:00:00.000,344.88749999999993,-23.6575,25.157,25.541,111.1,2.1,31.6,2.16,213.8,131,26.6
2024-06-25 00:00:00.000,344.8358333333333,-23.71972222222222,25.096,25.554,115.8,2.1,31.6,2.54,220.3,132,26.6
2024-06-30 00:00:00.000,344.7683333333333,-23.78638888888889,25.039,25.568,120.4,2.0,31.6,2.91,225.2,132,26.6
2024-07-05 00:00:00.000,344.6854166666666,-23.85638888888889,24.986,25.582,125.0,1.9,31.6,3.29,229.1,132,26.6
2024-07-10 00:00:00.000,344.5870833333332,-23.929722222222225,24.936,25.595,129.5,1.8,31.5,3.65,232.2,132,26.6
2024-07-15 00:00:00.000,344.47499999999997,-24.005277777777778,24.892,25.609,134.1,1.6,31.5,3.99,234.9,132,26.6
2024-10-13 00:00:00.000,341.3970833333333,-24.982499999999998,25.183,25.854,131.4,1.7,31.6,3.88,269.3,128,25.8
2024-10-18 00:00:00.000,341.26041666666663,-24.980277777777776,25.26,25.868,126.7,1.8,31.6,3.54,273.0,127,25.7
2024-10-23 00:00:00.000,341.1370833333333,-24.97,25.342,25.881,121.9,1.9,31.6,3.2,277.6,127,25.7
2024-10-28 00:00:00.000,341.0275,-24.952222222222222,25.427,25.895,117.1,2.0,31.6,2.86,283.2,126,25.6
2024-11-02 00:00:00.000,340.9329166666666,-24.92638888888889,25.516,25.908,112.2,2.0,31.6,2.52,290.5,126,25.6
2024-11-07 00:00:00.000,340.85374999999993,-24.893333333333334,25.608,25.922,107.4,2.1,31.7,2.22,299.9,126,25.5
2024-11-12 00:00:00.000,340.79124999999993,-24.852777777777778,25.702,25.935,102.5,2.1,31.7,1.99,311.8,125,25.5
