Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-10 00:00:00.000,269.11791666666664,-23.81527777777778,19.728,20.425,132.4,2.1,25.2,3.52,275.1,9,79.2
2023-08-15 00:00:00.000,268.99916666666667,-23.805,19.804,20.436,127.5,2.3,25.2,3.02,276.0,9,79.2
2023-08-20 00:00:00.000,268.8995833333333,-23.794444444444448,19.885,20.447,122.6,2.4,25.2,2.49,277.2,9,79.2
2023-08-25 00:00:00.000,268.82,-23.784166666666668,19.969,20.458,117.7,2.5,25.2,1.93,279.2,9,79.2
2023-08-30 00:00:00.000,268.7608333333333,-23.774166666666666,20.057,20.469,112.8,2.6,25.2,1.36,282.8,9,79.2
2023-09-04 00:00:00.000,268.7233333333333,-23.764166666666668,20.147,20.48,107.9,2.7,25.3,0.8,291.7,9,79.2
2023-09-09 00:00:00.000,268.7070833333333,-23.754166666666666,20.24,20.491,103.1,2.7,25.3,0.32,333.7,9,79.2
2023-09-14 00:00:00.000,268.7129166666666,-23.744722222222222,20.334,20.502,98.2,2.8,25.3,0.54,58.8,8,79.2
2023-09-19 00:00:00.000,268.7408333333333,-23.735555555555557,20.429,20.513,93.4,2.8,25.3,1.11,75.7,8,79.2
2023-09-24 00:00:00.000,268.7908333333333,-23.726388888888888,20.525,20.523,88.5,2.8,25.3,1.7,81.0,8,79.2
2024-03-22 00:00:00.000,276.5129166666666,-23.308333333333334,20.965,20.912,85.5,2.7,25.4,1.91,80.4,10,77.2
2024-03-27 00:00:00.000,276.57041666666663,-23.298055555555557,20.891,20.922,90.4,2.7,25.4,1.32,77.1,10,77.2
2024-04-01 00:00:00.000,276.6058333333333,-23.28888888888889,20.816,20.933,95.4,2.7,25.4,0.74,68.6,10,77.2
2024-04-06 00:00:00.000,276.61999999999995,-23.280277777777776,20.742,20.944,100.3,2.7,25.4,0.26,18.2,10,77.1
2024-04-11 00:00:00.000,276.6116666666666,-23.272499999999997,20.669,20.954,105.2,2.6,25.4,0.57,292.6,10,77.1
