Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,249.56374999999994,-36.683611111111105,16.334,17.052,133.7,2.5,21.6,4.21,296.9,7,284.9
2023-07-26 00:00:00.000,249.41999999999996,-36.61944444444445,16.394,17.053,129.1,2.7,21.6,3.71,301.5,6,284.9
2023-07-31 00:00:00.000,249.30124999999998,-36.55416666666667,16.459,17.053,124.4,2.8,21.6,3.21,307.6,6,284.8
2023-08-05 00:00:00.000,249.20916666666665,-36.48888888888889,16.527,17.054,119.8,3.0,21.7,2.72,316.0,6,284.7
2023-08-10 00:00:00.000,249.145,-36.424166666666665,16.599,17.054,115.1,3.1,21.7,2.28,327.8,6,284.5
2023-08-15 00:00:00.000,249.10875,-36.36055555555556,16.674,17.055,110.5,3.2,21.7,1.96,344.6,6,284.3
2023-08-20 00:00:00.000,249.10208333333333,-36.29861111111111,16.752,17.056,105.8,3.3,21.7,1.83,5.9,6,284.0
2023-08-25 00:00:00.000,249.12458333333333,-36.23916666666667,16.831,17.056,101.2,3.3,21.7,1.96,27.3,6,283.7
2023-08-30 00:00:00.000,249.17624999999998,-36.1825,16.912,17.057,96.5,3.4,21.7,2.31,44.3,6,283.4
2023-09-04 00:00:00.000,249.25749999999996,-36.12916666666667,16.994,17.057,91.9,3.4,21.7,2.78,56.3,6,283.1
2023-09-09 00:00:00.000,249.3670833333333,-36.07972222222222,17.076,17.058,87.3,3.4,21.8,3.33,64.7,6,282.7
2024-03-12 00:00:00.000,261.0879166666666,-37.2925,17.073,17.083,88.9,3.3,21.8,3.38,135.1,11,274.9
2024-03-17 00:00:00.000,261.17249999999996,-37.37166666666667,16.991,17.084,93.7,3.3,21.7,2.88,145.1,11,275.0
2024-03-22 00:00:00.000,261.22624999999994,-37.44972222222222,16.91,17.084,98.4,3.3,21.7,2.49,158.4,11,275.2
2024-03-27 00:00:00.000,261.2491666666666,-37.52583333333333,16.83,17.085,103.2,3.3,21.7,2.26,175.3,11,275.4
2024-04-01 00:00:00.000,261.2416666666666,-37.599722222222226,16.751,17.086,108.0,3.2,21.7,2.24,193.9,11,275.6
2024-04-06 00:00:00.000,261.20374999999996,-37.670833333333334,16.675,17.087,112.7,3.1,21.7,2.43,211.1,11,275.8
2024-04-11 00:00:00.000,261.13624999999996,-37.73861111111111,16.602,17.088,117.5,3.0,21.7,2.78,224.7,11,276.0
2024-04-16 00:00:00.000,261.03958333333327,-37.80222222222222,16.532,17.088,122.3,2.8,21.7,3.21,234.8,11,276.3
2024-04-21 00:00:00.000,260.9154166666666,-37.86138888888889,16.466,17.089,127.0,2.7,21.6,3.67,242.3,11,276.5
2024-04-26 00:00:00.000,260.7654166666666,-37.91583333333333,16.404,17.09,131.7,2.5,21.6,4.15,248.1,11,276.8
2024-07-25 00:00:00.000,256.4120833333333,-37.76083333333333,16.375,17.104,134.7,2.4,21.6,4.35,294.5,9,280.6
2024-07-30 00:00:00.000,256.25749999999994,-37.69944444444444,16.434,17.105,130.1,2.6,21.6,3.87,299.0,9,280.5
2024-08-04 00:00:00.000,256.12791666666664,-37.63583333333333,16.497,17.106,125.5,2.8,21.6,3.37,304.9,9,280.5
2024-08-09 00:00:00.000,256.0249999999999,-37.57083333333334,16.565,17.107,120.8,2.9,21.7,2.89,312.9,9,280.4
2024-08-14 00:00:00.000,255.95041666666663,-37.50527777777778,16.637,17.108,116.2,3.0,21.7,2.44,323.9,9,280.2
2024-08-19 00:00:00.000,255.90416666666664,-37.43944444444444,16.711,17.109,111.5,3.2,21.7,2.11,339.1,9,280.1
2024-08-24 00:00:00.000,255.88749999999996,-37.37416666666667,16.789,17.11,106.9,3.2,21.7,1.94,358.5,9,279.9
2024-08-29 00:00:00.000,255.9,-37.309999999999995,16.868,17.11,102.2,3.3,21.7,2.01,19.1,9,279.7
2024-09-03 00:00:00.000,255.94249999999997,-37.2475,16.949,17.111,97.6,3.4,21.7,2.3,36.7,9,279.4
2024-09-08 00:00:00.000,256.0154166666666,-37.18722222222222,17.031,17.112,92.9,3.4,21.8,2.74,49.7,9,279.1
2024-09-13 00:00:00.000,256.11749999999995,-37.12972222222222,17.113,17.113,88.3,3.4,21.8,3.27,58.9,9,278.8
2025-03-17 00:00:00.000,267.97625,-37.793055555555554,17.154,17.148,88.0,3.3,21.8,3.45,130.6,14,271.2
2025-03-22 00:00:00.000,268.07166666666666,-37.86805555555556,17.073,17.149,92.7,3.3,21.8,2.95,139.9,14,271.3
2025-03-27 00:00:00.000,268.13624999999996,-37.94305555555555,16.992,17.15,97.5,3.3,21.7,2.53,152.6,14,271.4
2025-04-01 00:00:00.000,268.16999999999996,-38.01777777777777,16.912,17.151,102.2,3.3,21.7,2.27,169.1,14,271.6
2025-04-06 00:00:00.000,268.17291666666665,-38.09111111111111,16.833,17.152,107.0,3.2,21.7,2.2,187.7,14,271.7
2025-04-11 00:00:00.000,268.145,-38.16305555555555,16.757,17.153,111.7,3.1,21.7,2.36,205.3,14,271.9
2025-04-16 00:00:00.000,268.0875,-38.23305555555556,16.684,17.154,116.5,3.0,21.7,2.67,219.6,14,272.1
2025-04-21 00:00:00.000,268.0008333333333,-38.3,16.613,17.155,121.2,2.9,21.7,3.08,230.4,14,272.3
2025-04-26 00:00:00.000,267.88624999999996,-38.36388888888889,16.547,17.157,125.9,2.7,21.7,3.55,238.4,14,272.5
2025-05-01 00:00:00.000,267.74458333333325,-38.42361111111111,16.485,17.158,130.6,2.6,21.6,4.03,244.6,14,272.7
2025-08-04 00:00:00.000,263.2075,-38.37111111111111,16.494,17.178,131.1,2.5,21.6,3.99,296.3,12,276.1
