Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,331.6258333333333,58.413333333333334,22.156,22.138,87.7,2.6,25.1,5.9,326.9,21,50.4
2023-07-06 00:00:00.000,331.4070833333333,58.57138888888889,22.131,22.153,89.9,2.6,25.1,5.82,321.4,21,49.9
2023-07-11 00:00:00.000,331.16166666666663,58.715833333333336,22.106,22.167,92.1,2.6,25.1,5.75,315.7,21,49.4
2023-07-16 00:00:00.000,330.8920833333333,58.845555555555556,22.082,22.182,94.3,2.6,25.1,5.7,309.9,21,48.9
2023-07-21 00:00:00.000,330.6,58.95944444444445,22.059,22.196,96.5,2.6,25.1,5.65,304.1,21,48.3
2023-07-26 00:00:00.000,330.2879166666666,59.056666666666665,22.037,22.211,98.6,2.6,25.1,5.62,298.2,21,47.8
2023-07-31 00:00:00.000,329.95916666666665,59.13611111111111,22.016,22.225,100.6,2.6,25.1,5.59,292.3,21,47.2
2023-08-05 00:00:00.000,329.61625,59.198055555555555,21.996,22.24,102.6,2.6,25.1,5.58,286.4,21,46.6
2023-08-10 00:00:00.000,329.2629166666666,59.24138888888889,21.978,22.254,104.5,2.5,25.1,5.58,280.5,21,46.1
2023-08-15 00:00:00.000,328.90208333333334,59.26583333333333,21.963,22.269,106.3,2.5,25.1,5.59,274.6,21,45.5
2023-08-20 00:00:00.000,328.53708333333327,59.27111111111111,21.949,22.283,108.0,2.5,25.1,5.61,268.7,21,45.0
2023-08-25 00:00:00.000,328.17208333333326,59.2575,21.938,22.298,109.6,2.4,25.1,5.62,263.0,21,44.4
2023-08-30 00:00:00.000,327.81041666666664,59.22527777777778,21.93,22.312,111.0,2.4,25.1,5.64,257.3,21,43.9
2023-09-04 00:00:00.000,327.45583333333326,59.17472222222222,21.925,22.327,112.3,2.4,25.1,5.67,251.6,21,43.5
2023-09-09 00:00:00.000,327.1116666666667,59.10638888888889,21.922,22.341,113.4,2.4,25.1,5.69,246.0,21,43.0
2023-09-14 00:00:00.000,326.7816666666667,59.020833333333336,21.923,22.355,114.3,2.4,25.1,5.72,240.5,21,42.6
2023-09-19 00:00:00.000,326.46875,58.91888888888889,21.926,22.37,115.0,2.3,25.1,5.74,235.0,21,42.3
2023-09-24 00:00:00.000,326.1758333333333,58.80166666666666,21.934,22.384,115.5,2.3,25.1,5.75,229.5,20,42.0
2023-09-29 00:00:00.000,325.90666666666664,58.67027777777778,21.944,22.399,115.8,2.3,25.1,5.76,224.2,20,41.7
2023-10-04 00:00:00.000,325.66249999999997,58.526666666666664,21.958,22.413,115.9,2.3,25.1,5.76,218.8,20,41.5
2023-10-09 00:00:00.000,325.4458333333333,58.37138888888889,21.975,22.427,115.7,2.3,25.1,5.77,213.4,20,41.3
2023-10-14 00:00:00.000,325.25916666666666,58.20611111111111,21.996,22.442,115.3,2.3,25.1,5.76,208.1,20,41.2
2023-10-19 00:00:00.000,325.1033333333333,58.032777777777774,22.021,22.456,114.7,2.3,25.1,5.75,202.7,20,41.2
2023-10-24 00:00:00.000,324.97999999999996,57.85277777777778,22.048,22.47,113.9,2.3,25.1,5.74,197.3,20,41.2
2023-10-29 00:00:00.000,324.88999999999993,57.668055555555554,22.079,22.485,112.9,2.3,25.1,5.72,191.9,20,41.3
2023-11-03 00:00:00.000,324.83374999999995,57.48027777777778,22.113,22.499,111.7,2.3,25.1,5.7,186.4,20,41.4
2023-11-08 00:00:00.000,324.8108333333333,57.29083333333333,22.15,22.513,110.3,2.4,25.2,5.69,180.9,19,41.6
2023-11-13 00:00:00.000,324.82249999999993,57.10166666666667,22.19,22.528,108.7,2.4,25.2,5.67,175.4,19,41.9
2023-11-18 00:00:00.000,324.8670833333333,56.91444444444444,22.233,22.542,107.0,2.4,25.2,5.66,169.7,19,42.2
2023-11-23 00:00:00.000,324.945,56.73083333333334,22.278,22.556,105.2,2.4,25.2,5.65,164.1,19,42.5
2023-11-28 00:00:00.000,325.055,56.552499999999995,22.325,22.57,103.2,2.4,25.2,5.65,158.5,19,43.0
2023-12-03 00:00:00.000,325.1954166666667,56.380833333333335,22.374,22.585,101.1,2.5,25.2,5.66,152.8,19,43.4
2023-12-08 00:00:00.000,325.36583333333334,56.216944444444444,22.425,22.599,98.9,2.5,25.2,5.69,147.2,19,43.9
2023-12-13 00:00:00.000,325.56458333333325,56.0625,22.477,22.613,96.7,2.5,25.2,5.72,141.6,19,44.4
2023-12-18 00:00:00.000,325.7899999999999,55.91888888888889,22.53,22.627,94.4,2.5,25.2,5.76,136.0,19,45.0
2023-12-23 00:00:00.000,326.03999999999996,55.786944444444444,22.585,22.642,92.1,2.5,25.2,5.81,130.5,19,45.6
2023-12-28 00:00:00.000,326.3133333333333,55.66777777777777,22.639,22.656,89.7,2.5,25.2,5.87,125.1,19,46.2
2024-01-02 00:00:00.000,326.60749999999996,55.56222222222222,22.694,22.67,87.4,2.5,25.2,5.95,119.8,19,46.8
2024-06-30 00:00:00.000,334.6379166666666,59.86888888888889,23.235,23.177,85.5,2.5,25.3,5.65,330.5,23,52.7
2024-07-05 00:00:00.000,334.43874999999997,60.026944444444446,23.21,23.191,87.7,2.5,25.3,5.57,325.0,23,52.2
2024-07-10 00:00:00.000,334.2120833333333,60.17222222222222,23.184,23.205,89.9,2.5,25.3,5.49,319.3,23,51.7
2024-07-15 00:00:00.000,333.9595833333333,60.30416666666667,23.159,23.219,92.1,2.5,25.3,5.43,313.6,23,51.2
2024-07-20 00:00:00.000,333.68375,60.42166666666667,23.134,23.233,94.3,2.5,25.3,5.38,307.8,23,50.7
2024-07-25 00:00:00.000,333.3866666666666,60.52361111111111,23.11,23.247,96.5,2.5,25.3,5.34,301.9,23,50.2
2024-07-30 00:00:00.000,333.0704166666666,60.60944444444445,23.087,23.26,98.6,2.5,25.3,5.32,295.9,23,49.6
2024-08-04 00:00:00.000,332.73791666666665,60.67833333333333,23.065,23.274,100.7,2.5,25.3,5.3,289.9,23,49.1
2024-08-09 00:00:00.000,332.39291666666657,60.730000000000004,23.045,23.288,102.7,2.4,25.3,5.3,283.9,23,48.5
2024-08-14 00:00:00.000,332.03791666666666,60.763333333333335,23.027,23.302,104.6,2.4,25.3,5.3,278.0,23,48.0
2024-08-19 00:00:00.000,331.6770833333333,60.778888888888886,23.01,23.316,106.4,2.4,25.3,5.32,272.1,23,47.5
2024-08-24 00:00:00.000,331.3133333333333,60.77638888888889,22.996,23.33,108.1,2.4,25.3,5.34,266.3,23,47.0
2024-08-29 00:00:00.000,330.9508333333333,60.755833333333335,22.984,23.344,109.7,2.3,25.3,5.37,260.5,23,46.5
2024-09-03 00:00:00.000,330.5925,60.717222222222226,22.975,23.357,111.1,2.3,25.3,5.4,254.7,23,46.0
2024-09-08 00:00:00.000,330.24249999999995,60.66111111111111,22.969,23.371,112.4,2.3,25.3,5.43,249.0,23,45.6
2024-09-13 00:00:00.000,329.90416666666664,60.588055555555556,22.966,23.385,113.5,2.3,25.3,5.46,243.5,23,45.2
2024-09-18 00:00:00.000,329.58083333333326,60.49888888888889,22.966,23.399,114.4,2.2,25.3,5.48,238.0,23,44.8
2024-09-23 00:00:00.000,329.2758333333333,60.394444444444446,22.969,23.413,115.1,2.2,25.3,5.51,232.5,23,44.5
2024-09-28 00:00:00.000,328.9916666666667,60.27583333333333,22.975,23.427,115.7,2.2,25.3,5.53,227.1,23,44.2
2024-10-03 00:00:00.000,328.73124999999993,60.14388888888889,22.985,23.44,116.0,2.2,25.3,5.55,221.8,22,44.0
2024-10-08 00:00:00.000,328.49749999999995,60.000277777777775,22.998,23.454,116.0,2.2,25.3,5.56,216.4,22,43.8
2024-10-13 00:00:00.000,328.29208333333327,59.846111111111114,23.015,23.468,115.9,2.2,25.3,5.56,211.1,22,43.7
2024-10-18 00:00:00.000,328.1166666666667,59.683055555555555,23.036,23.482,115.5,2.2,25.3,5.56,205.8,22,43.6
2024-10-23 00:00:00.000,327.97249999999997,59.51277777777778,23.059,23.495,114.9,2.2,25.3,5.56,200.5,22,43.6
2024-10-28 00:00:00.000,327.86041666666665,59.33638888888889,23.086,23.509,114.1,2.2,25.3,5.55,195.2,22,43.6
2024-11-02 00:00:00.000,327.78208333333333,59.15611111111111,23.117,23.523,113.1,2.2,25.3,5.54,189.8,22,43.7
2024-11-07 00:00:00.000,327.73749999999995,58.973055555555554,23.15,23.537,111.8,2.2,25.3,5.53,184.4,22,43.9
2024-11-12 00:00:00.000,327.72708333333327,58.78916666666667,23.187,23.55,110.4,2.3,25.3,5.51,179.0,22,44.1
2024-11-17 00:00:00.000,327.75,58.60638888888889,23.226,23.564,108.8,2.3,25.3,5.49,173.6,21,44.3
2024-11-22 00:00:00.000,327.80583333333334,58.42583333333333,23.268,23.578,107.1,2.3,25.4,5.48,168.1,21,44.7
