Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-14 00:00:00.000,306.59666666666664,-14.584166666666667,20.525,21.244,134.6,1.9,24.4,3.4,251.1
2023-09-19 00:00:00.000,306.49375,-14.619444444444445,20.598,21.253,129.6,2.1,24.4,2.93,249.7
2023-09-24 00:00:00.000,306.40749999999997,-14.651944444444444,20.676,21.262,124.7,2.2,24.4,2.43,247.8
2023-09-29 00:00:00.000,306.33916666666664,-14.680833333333332,20.757,21.272,119.7,2.3,24.4,1.91,244.8
2023-10-04 00:00:00.000,306.28875,-14.70611111111111,20.843,21.281,114.8,2.4,24.4,1.38,239.4
2023-10-09 00:00:00.000,306.2570833333333,-14.727500000000001,20.931,21.291,109.8,2.5,24.4,0.86,227.3
2023-10-14 00:00:00.000,306.2454166666666,-14.74472222222222,21.022,21.3,104.9,2.6,24.5,0.46,187.5
2023-10-19 00:00:00.000,306.25333333333333,-14.757777777777777,21.115,21.31,99.9,2.6,24.5,0.61,121.6
2023-10-24 00:00:00.000,306.28125,-14.766111111111112,21.209,21.319,95.0,2.7,24.5,1.11,99.4
2023-10-29 00:00:00.000,306.32874999999996,-14.769722222222223,21.304,21.328,90.1,2.7,24.5,1.67,91.3
2023-11-03 00:00:00.000,306.39625,-14.768611111111111,21.398,21.338,85.2,2.7,24.5,2.24,87.3
2024-05-01 00:00:00.000,313.40166666666664,-12.847222222222223,21.679,21.677,88.6,2.7,24.6,1.78,54.2
2024-05-06 00:00:00.000,313.4416666666666,-12.815000000000001,21.604,21.686,93.4,2.7,24.6,1.26,45.1
2024-05-11 00:00:00.000,313.4625,-12.788055555555555,21.529,21.696,98.2,2.6,24.5,0.81,25.0
2024-05-16 00:00:00.000,313.465,-12.766388888888889,21.456,21.705,103.0,2.6,24.5,0.61,340.3
2024-05-21 00:00:00.000,313.44874999999996,-12.75,21.384,21.715,107.8,2.5,24.5,0.85,298.9
2024-05-26 00:00:00.000,313.41458333333327,-12.739166666666666,21.315,21.724,112.6,2.5,24.5,1.29,281.1
2024-05-31 00:00:00.000,313.36249999999995,-12.73361111111111,21.248,21.733,117.4,2.4,24.5,1.78,272.8
2024-06-05 00:00:00.000,313.2933333333333,-12.733333333333333,21.185,21.743,122.2,2.3,24.5,2.27,268.1
2024-06-10 00:00:00.000,313.2079166666666,-12.738333333333333,21.125,21.752,127.1,2.1,24.5,2.75,265.1
2024-06-15 00:00:00.000,313.1066666666666,-12.748888888888889,21.07,21.762,131.9,2.0,24.5,3.2,263.1
2024-09-18 00:00:00.000,310.13416666666666,-13.486944444444443,21.236,21.94,133.6,1.9,24.5,3.25,249.3
2024-09-23 00:00:00.000,310.03791666666666,-13.523888888888889,21.31,21.95,128.6,2.0,24.5,2.8,247.7
2024-09-28 00:00:00.000,309.9570833333333,-13.557500000000001,21.388,21.959,123.6,2.2,24.5,2.31,245.5
2024-10-03 00:00:00.000,309.8937499999999,-13.5875,21.471,21.968,118.7,2.3,24.5,1.8,242.1
2024-10-08 00:00:00.000,309.84833333333324,-13.613888888888889,21.557,21.978,113.7,2.4,24.6,1.28,235.8
2024-10-13 00:00:00.000,309.8208333333333,-13.635555555555555,21.646,21.987,108.8,2.5,24.6,0.79,221.3
2024-10-18 00:00:00.000,309.81249999999994,-13.653055555555556,21.737,21.997,103.8,2.5,24.6,0.46,176.1
2024-10-23 00:00:00.000,309.82333333333327,-13.666111111111112,21.831,22.006,98.9,2.6,24.6,0.67,118.3
2024-10-28 00:00:00.000,309.8529166666666,-13.674166666666666,21.925,22.015,93.9,2.6,24.6,1.16,98.4
2024-11-02 00:00:00.000,309.90166666666664,-13.677222222222222,22.02,22.025,89.0,2.6,24.6,1.7,90.6
2025-05-06 00:00:00.000,316.63124999999997,-11.710833333333333,22.352,22.371,89.8,2.6,24.7,1.55,50.3
2025-05-11 00:00:00.000,316.6625,-11.680277777777777,22.277,22.381,94.6,2.6,24.7,1.06,38.6
2025-05-16 00:00:00.000,316.67625,-11.655277777777778,22.203,22.39,99.4,2.6,24.7,0.69,11.7
