Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-13 00:00:00.000,165.14666666666665,-19.93166666666667,28.765,28.715,86.1,2.0,28.9,1.89,190.8,327,310.9
2023-12-18 00:00:00.000,165.12666666666664,-19.990555555555556,28.708,28.737,90.8,2.0,28.9,1.85,204.8,327,310.9
2023-12-23 00:00:00.000,165.09208333333333,-20.043055555555558,28.65,28.759,95.4,2.0,28.9,1.9,218.8,327,310.9
2023-12-28 00:00:00.000,165.0425,-20.08888888888889,28.593,28.781,100.0,1.9,28.9,2.03,231.5,327,310.9
2024-01-02 00:00:00.000,164.97916666666663,-20.1275,28.538,28.803,104.7,1.9,28.9,2.24,242.3,327,310.9
2024-01-07 00:00:00.000,164.9020833333333,-20.15833333333333,28.485,28.825,109.3,1.8,28.9,2.5,251.2,327,310.9
2024-01-12 00:00:00.000,164.81124999999997,-20.18111111111111,28.434,28.847,114.0,1.8,28.9,2.78,258.4,327,310.9
2024-01-17 00:00:00.000,164.70874999999998,-20.195555555555554,28.386,28.869,118.5,1.7,28.9,3.08,264.4,327,310.9
2024-01-22 00:00:00.000,164.59416666666664,-20.20111111111111,28.342,28.891,123.1,1.6,28.9,3.37,269.3,327,310.9
2024-01-27 00:00:00.000,164.46916666666664,-20.198055555555555,28.303,28.913,127.5,1.5,28.8,3.66,273.5,327,310.9
2024-02-01 00:00:00.000,164.33499999999998,-20.18638888888889,28.268,28.935,131.9,1.5,28.8,3.93,277.1,327,310.8
2024-04-21 00:00:00.000,161.99124999999998,-19.030833333333334,28.573,29.284,134.3,1.4,28.9,4.16,317.9,328,310.6
2024-04-26 00:00:00.000,161.89874999999998,-18.928333333333335,28.647,29.306,130.2,1.5,28.9,3.93,321.4,328,310.5
2024-05-01 00:00:00.000,161.81874999999997,-18.82638888888889,28.724,29.328,126.0,1.6,28.9,3.69,325.4,328,310.5
2024-05-06 00:00:00.000,161.75124999999997,-18.72611111111111,28.807,29.35,121.7,1.7,28.9,3.44,329.9,328,310.5
2024-05-11 00:00:00.000,161.6975,-18.628055555555555,28.893,29.372,117.4,1.7,28.9,3.19,335.1,328,310.5
2024-05-16 00:00:00.000,161.65708333333333,-18.533333333333335,28.983,29.393,113.0,1.8,29.0,2.95,341.2,328,310.5
2024-05-21 00:00:00.000,161.63041666666666,-18.441944444444445,29.076,29.415,108.7,1.9,29.0,2.73,348.2,328,310.5
2024-05-26 00:00:00.000,161.6175,-18.355,29.171,29.437,104.3,1.9,29.0,2.55,356.2,328,310.5
2024-05-31 00:00:00.000,161.61833333333334,-18.272777777777776,29.267,29.458,99.9,1.9,29.0,2.4,5.3,328,310.4
2024-06-05 00:00:00.000,161.63333333333333,-18.195555555555554,29.366,29.48,95.5,2.0,29.0,2.31,15.3,328,310.4
2024-06-10 00:00:00.000,161.66125,-18.124444444444446,29.464,29.502,91.1,2.0,29.0,2.28,25.8,329,310.4
2024-06-15 00:00:00.000,161.70250000000001,-18.059166666666666,29.563,29.524,86.8,2.0,29.0,2.31,36.2,329,310.4
2024-12-12 00:00:00.000,165.69125,-19.413888888888888,30.36,30.3,85.6,1.9,29.1,1.76,189.1,327,310.9
2024-12-17 00:00:00.000,165.67458333333332,-19.469166666666666,30.301,30.322,90.3,1.9,29.1,1.71,203.2,327,310.9
2024-12-22 00:00:00.000,165.64374999999998,-19.51833333333333,30.243,30.343,94.9,1.9,29.1,1.75,217.5,327,310.9
2024-12-27 00:00:00.000,165.59916666666663,-19.56138888888889,30.185,30.365,99.6,1.8,29.1,1.88,230.7,327,310.9
2025-01-01 00:00:00.000,165.54125,-19.5975,30.128,30.386,104.3,1.8,29.1,2.07,241.9,327,310.9
2025-01-06 00:00:00.000,165.47,-19.62638888888889,30.074,30.407,109.0,1.8,29.1,2.32,251.0,327,310.9
2025-01-11 00:00:00.000,165.38625,-19.647777777777776,30.022,30.429,113.6,1.7,29.1,2.59,258.3,327,310.9
2025-01-16 00:00:00.000,165.29083333333332,-19.66111111111111,29.973,30.45,118.2,1.6,29.1,2.87,264.3,327,310.9
2025-01-21 00:00:00.000,165.1845833333333,-19.666666666666668,29.927,30.472,122.8,1.6,29.1,3.15,269.2,327,310.9
2025-01-26 00:00:00.000,165.06791666666663,-19.663888888888888,29.886,30.493,127.3,1.5,29.1,3.43,273.4,327,310.9
2025-01-31 00:00:00.000,164.9420833333333,-19.653055555555554,29.85,30.514,131.7,1.4,29.1,3.7,277.1,327,310.8
2025-04-26 00:00:00.000,162.62583333333333,-18.47972222222222,30.206,30.877,131.1,1.4,29.1,3.75,320.1,328,310.5
2025-05-01 00:00:00.000,162.54708333333332,-18.384444444444444,30.283,30.898,126.9,1.5,29.1,3.51,323.9,328,310.5
2025-05-06 00:00:00.000,162.48041666666666,-18.290833333333335,30.365,30.919,122.6,1.6,29.1,3.27,328.3,328,310.5
2025-05-11 00:00:00.000,162.42666666666665,-18.199166666666667,30.45,30.94,118.2,1.6,29.2,3.03,333.3,328,310.5
2025-05-16 00:00:00.000,162.385,-18.110555555555557,30.539,30.962,113.8,1.7,29.2,2.8,339.1,328,310.5
2025-05-21 00:00:00.000,162.35666666666665,-18.025,30.631,30.983,109.4,1.8,29.2,2.58,346.0,328,310.5
2025-05-26 00:00:00.000,162.34124999999997,-17.943333333333335,30.726,31.004,105.0,1.8,29.2,2.4,353.9,328,310.5
2025-05-31 00:00:00.000,162.33874999999998,-17.866388888888892,30.822,31.025,100.6,1.8,29.2,2.24,3.1,328,310.4
2025-06-05 00:00:00.000,162.3495833333333,-17.79416666666667,30.92,31.046,96.2,1.9,29.2,2.14,13.2,329,310.4
2025-06-10 00:00:00.000,162.37291666666667,-17.7275,31.019,31.068,91.8,1.9,29.2,2.1,23.9,329,310.4
