Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,348.8916666666666,-20.302500000000002,12.182,12.661,116.0,4.1,20.5,3.56,190.6
2023-07-06 00:00:00.000,348.8529166666666,-20.42361111111111,12.113,12.661,120.6,4.0,20.5,4.07,201.9
2023-07-11 00:00:00.000,348.78374999999994,-20.55388888888889,12.047,12.661,125.3,3.8,20.5,4.68,210.5
2023-07-16 00:00:00.000,348.68416666666667,-20.691944444444445,11.985,12.662,129.9,3.5,20.4,5.32,217.0
2023-07-21 00:00:00.000,348.55583333333334,-20.836666666666666,11.928,12.662,134.6,3.3,20.4,5.96,222.1
2023-10-14 00:00:00.000,344.28249999999997,-22.771666666666665,11.948,12.669,134.6,3.2,20.4,5.73,265.2
2023-10-19 00:00:00.000,344.0883333333333,-22.779166666666665,12.008,12.669,129.8,3.5,20.4,5.02,270.2
2023-10-24 00:00:00.000,343.91999999999996,-22.770833333333332,12.073,12.67,125.0,3.7,20.5,4.3,276.7
2023-10-29 00:00:00.000,343.7795833333333,-22.746111111111112,12.142,12.67,120.1,3.9,20.5,3.61,285.7
2023-11-03 00:00:00.000,343.6691666666666,-22.705555555555556,12.215,12.67,115.3,4.1,20.5,3.01,298.7
2023-11-08 00:00:00.000,343.58916666666664,-22.649444444444445,12.291,12.671,110.4,4.2,20.5,2.6,317.1
2023-11-13 00:00:00.000,343.5416666666666,-22.578611111111112,12.37,12.671,105.6,4.3,20.6,2.51,339.7
2023-11-18 00:00:00.000,343.52666666666664,-22.493055555555557,12.45,12.671,100.7,4.4,20.6,2.78,1.1
2023-11-23 00:00:00.000,343.5454166666666,-22.39388888888889,12.533,12.672,95.9,4.4,20.6,3.32,17.1
2023-11-28 00:00:00.000,343.5970833333333,-22.281666666666666,12.615,12.672,91.1,4.5,20.6,4.03,28.1
2023-12-03 00:00:00.000,343.68208333333325,-22.15722222222222,12.698,12.673,86.3,4.5,20.6,4.81,35.8
2024-06-10 00:00:00.000,356.65624999999994,-17.231388888888887,12.657,12.687,89.4,4.6,20.6,4.61,107.3
2024-06-15 00:00:00.000,356.79499999999996,-17.28388888888889,12.578,12.687,93.9,4.6,20.6,3.98,116.6
2024-06-20 00:00:00.000,356.9045833333333,-17.35,12.499,12.687,98.4,4.5,20.6,3.47,128.8
2024-06-25 00:00:00.000,356.98375,-17.42888888888889,12.42,12.688,103.0,4.5,20.6,3.15,144.4
2024-06-30 00:00:00.000,357.03249999999997,-17.52027777777778,12.344,12.688,107.6,4.4,20.6,3.07,161.9
2024-07-05 00:00:00.000,357.05041666666665,-17.623333333333335,12.27,12.688,112.2,4.3,20.5,3.27,178.8
2024-07-10 00:00:00.000,357.03749999999997,-17.7375,12.198,12.689,116.8,4.1,20.5,3.67,192.8
2024-07-15 00:00:00.000,356.99375,-17.86138888888889,12.13,12.689,121.4,3.9,20.5,4.2,203.5
2024-07-20 00:00:00.000,356.91999999999996,-17.99416666666667,12.065,12.689,126.0,3.7,20.5,4.81,211.6
2024-07-25 00:00:00.000,356.8170833333333,-18.134166666666665,12.005,12.69,130.7,3.5,20.4,5.44,217.8
2024-10-23 00:00:00.000,352.46624999999995,-20.16333333333333,11.995,12.696,133.2,3.3,20.4,5.63,267.7
2024-10-28 00:00:00.000,352.2783333333333,-20.162499999999998,12.056,12.696,128.4,3.5,20.5,4.95,273.2
2024-11-02 00:00:00.000,352.11625,-20.145,12.122,12.697,123.5,3.7,20.5,4.26,280.6
2024-11-07 00:00:00.000,351.9816666666666,-20.110555555555557,12.192,12.697,118.7,3.9,20.5,3.61,290.7
2024-11-12 00:00:00.000,351.8766666666666,-20.059722222222224,12.265,12.697,113.8,4.1,20.5,3.09,304.8
2024-11-17 00:00:00.000,351.80249999999995,-19.993333333333336,12.342,12.698,109.0,4.2,20.6,2.78,323.3
2024-11-22 00:00:00.000,351.7595833333333,-19.911388888888887,12.421,12.698,104.1,4.3,20.6,2.79,344.1
2024-11-27 00:00:00.000,351.7483333333333,-19.814722222222223,12.502,12.698,99.3,4.4,20.6,3.11,2.8
2024-12-02 00:00:00.000,351.7704166666666,-19.704166666666666,12.584,12.699,94.4,4.4,20.6,3.68,17.0
2024-12-07 00:00:00.000,351.8245833333333,-19.580277777777777,12.667,12.699,89.6,4.4,20.6,4.39,27.1
2025-06-15 00:00:00.000,4.397916666666666,-14.309166666666668,12.746,12.711,85.7,4.6,20.6,5.12,101.4
2025-06-20 00:00:00.000,4.556666666666666,-14.349722222222223,12.667,12.711,90.2,4.6,20.6,4.43,108.8
2025-06-25 00:00:00.000,4.686666666666666,-14.404166666666667,12.587,12.712,94.8,4.6,20.6,3.82,118.7
2025-06-30 00:00:00.000,4.7870833333333325,-14.471944444444444,12.508,12.712,99.3,4.5,20.6,3.34,131.9
2025-07-05 00:00:00.000,4.857499999999999,-14.552777777777779,12.431,12.712,103.9,4.5,20.6,3.06,148.3
2025-07-10 00:00:00.000,4.897916666666665,-14.645555555555555,12.355,12.713,108.4,4.4,20.6,3.05,166.1
2025-07-15 00:00:00.000,4.907916666666666,-14.749722222222221,12.281,12.713,113.0,4.2,20.5,3.29,182.6
2025-07-20 00:00:00.000,4.887499999999999,-14.864444444444445,12.21,12.713,117.6,4.1,20.5,3.74,195.9
2025-07-25 00:00:00.000,4.837083333333332,-14.988888888888889,12.142,12.714,122.2,3.9,20.5,4.3,206.1
2025-07-30 00:00:00.000,4.757083333333332,-15.121666666666668,12.079,12.714,126.9,3.7,20.5,4.93,213.8
2025-08-04 00:00:00.000,4.6483333333333325,-15.261388888888888,12.019,12.714,131.5,3.4,20.5,5.56,219.6
2025-11-02 00:00:00.000,0.31958333333333333,-17.196666666666665,12.037,12.719,131.7,3.3,20.5,5.53,270.5
2025-11-07 00:00:00.000,0.13874999999999998,-17.18638888888889,12.1,12.72,126.9,3.6,20.5,4.86,276.6
2025-11-12 00:00:00.000,359.98374999999993,-17.159444444444443,12.166,12.72,122.1,3.8,20.5,4.2,284.6
2025-11-17 00:00:00.000,359.8558333333333,-17.115555555555556,12.238,12.72,117.2,4.0,20.5,3.61,295.6
2025-11-22 00:00:00.000,359.7570833333333,-17.055555555555557,12.312,12.721,112.4,4.1,20.5,3.15,310.5
2025-11-27 00:00:00.000,359.68916666666655,-16.979166666666664,12.389,12.721,107.5,4.2,20.6,2.94,329.1
2025-12-02 00:00:00.000,359.6524999999999,-16.8875,12.469,12.721,102.6,4.3,20.6,3.03,348.5
2025-12-07 00:00:00.000,359.6470833333333,-16.781388888888888,12.55,12.721,97.8,4.4,20.6,3.41,5.2
2025-12-12 00:00:00.000,359.6737499999999,-16.661388888888887,12.633,12.722,93.0,4.4,20.6,3.99,17.9
2025-12-17 00:00:00.000,359.7324999999999,-16.528333333333332,12.715,12.722,88.2,4.4,20.6,4.7,27.2
2026-06-25 00:00:00.000,12.057916666666666,-11.189166666666667,12.751,12.732,86.6,4.6,20.6,4.88,102.6
2026-06-30 00:00:00.000,12.205833333333333,-11.231388888888889,12.672,12.732,91.1,4.6,20.6,4.2,110.5
2026-07-05 00:00:00.000,12.325416666666664,-11.286944444444444,12.592,12.733,95.6,4.6,20.6,3.61,121.1
2026-07-10 00:00:00.000,12.415833333333332,-11.355555555555556,12.514,12.733,100.2,4.5,20.6,3.16,135.3
2026-07-15 00:00:00.000,12.476666666666665,-11.436666666666667,12.436,12.733,104.7,4.4,20.6,2.94,152.9
2026-07-20 00:00:00.000,12.507083333333332,-11.529444444444445,12.361,12.733,109.3,4.3,20.6,2.99,171.3
2026-07-25 00:00:00.000,12.507499999999999,-11.633333333333333,12.288,12.734,113.9,4.2,20.5,3.3,187.6
2026-07-30 00:00:00.000,12.477499999999997,-11.746944444444443,12.218,12.734,118.5,4.0,20.5,3.78,200.2
2026-08-04 00:00:00.000,12.418333333333331,-11.869444444444445,12.151,12.734,123.2,3.8,20.5,4.38,209.7
2026-08-09 00:00:00.000,12.329999999999998,-12.0,12.088,12.734,127.8,3.6,20.5,5.02,216.8
2026-08-14 00:00:00.000,12.213333333333333,-12.136944444444444,12.029,12.735,132.4,3.4,20.5,5.68,222.3
2026-11-12 00:00:00.000,7.8808333333333325,-13.939722222222223,12.075,12.739,130.4,3.4,20.5,5.43,273.5
2026-11-17 00:00:00.000,7.7075,-13.920277777777777,12.139,12.739,125.5,3.6,20.5,4.76,280.2
2026-11-22 00:00:00.000,7.559999999999999,-13.883888888888889,12.208,12.739,120.6,3.8,20.5,4.12,289.0
2026-11-27 00:00:00.000,7.4399999999999995,-13.831111111111111,12.28,12.74,115.8,4.0,20.5,3.58,300.7
2026-12-02 00:00:00.000,7.349166666666666,-13.762222222222222,12.355,12.74,110.9,4.1,20.6,3.19,316.2
2026-12-07 00:00:00.000,7.288749999999999,-13.6775,12.433,12.74,106.0,4.3,20.6,3.06,334.6
2026-12-12 00:00:00.000,7.259166666666666,-13.577777777777778,12.513,12.74,101.1,4.3,20.6,3.24,352.9
2026-12-17 00:00:00.000,7.261249999999999,-13.46361111111111,12.595,12.741,96.3,4.4,20.6,3.67,8.3
2026-12-22 00:00:00.000,7.295416666666666,-13.336111111111112,12.678,12.741,91.5,4.4,20.6,4.27,19.9
2026-12-27 00:00:00.000,7.360833333333333,-13.196388888888889,12.76,12.741,86.7,4.4,20.6,4.97,28.4
2027-07-05 00:00:00.000,19.51458333333333,-7.893333333333333,12.752,12.749,87.6,4.6,20.7,4.62,103.8
2027-07-10 00:00:00.000,19.651666666666667,-7.9366666666666665,12.672,12.749,92.1,4.6,20.6,3.93,112.3
2027-07-15 00:00:00.000,19.75958333333333,-7.9925,12.593,12.75,96.6,4.5,20.6,3.35,123.9
2027-07-20 00:00:00.000,19.83833333333333,-8.060833333333335,12.515,12.75,101.1,4.5,20.6,2.93,139.5
2027-07-25 00:00:00.000,19.8875,-8.140833333333333,12.437,12.75,105.7,4.4,20.6,2.77,158.4
2027-07-30 00:00:00.000,19.90708333333333,-8.231944444444444,12.362,12.75,110.3,4.3,20.6,2.9,177.5
2027-08-04 00:00:00.000,19.89583333333333,-8.33361111111111,12.289,12.75,114.9,4.1,20.5,3.28,193.6
