Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-28 00:00:00.000,186.71791666666664,-8.849444444444446,4.758,4.791,86.0,11.8,25.5,10.39,113.2,1,276.3
2024-01-02 00:00:00.000,187.00249999999997,-8.97,4.683,4.798,90.7,11.8,25.5,7.93,113.2,1,276.3
2024-01-07 00:00:00.000,187.20874999999998,-9.056666666666667,4.608,4.805,95.6,11.8,25.4,5.34,112.9,1,276.2
2024-01-12 00:00:00.000,187.33333333333331,-9.1075,4.533,4.811,100.5,11.6,25.4,2.63,111.4,1,276.2
2024-01-17 00:00:00.000,187.3733333333333,-9.120000000000001,4.46,4.818,105.6,11.3,25.4,0.22,338.1,1,276.2
2024-01-22 00:00:00.000,187.32749999999996,-9.093055555555557,4.388,4.824,110.7,11.0,25.3,3.01,298.2,1,276.3
2024-01-27 00:00:00.000,187.19416666666666,-9.025,4.319,4.83,115.9,10.6,25.3,5.88,297.0,1,276.3
2024-02-01 00:00:00.000,186.97374999999997,-8.914722222222222,4.252,4.836,121.2,10.0,25.2,8.76,296.8,1,276.4
2024-02-06 00:00:00.000,186.66708333333332,-8.761388888888888,4.19,4.842,126.6,9.4,25.2,11.63,296.9,1,276.5
2024-02-11 00:00:00.000,186.27541666666664,-8.564166666666667,4.131,4.848,132.0,8.7,25.1,14.42,297.1,1,276.6
2024-05-06 00:00:00.000,175.28166666666664,-1.7797222222222222,4.199,4.917,130.7,9.0,25.2,14.02,313.3,1,277.5
2024-05-11 00:00:00.000,174.98208333333332,-1.4775,4.264,4.919,125.4,9.6,25.2,11.53,317.6,1,277.4
2024-05-16 00:00:00.000,174.76416666666665,-1.2125,4.333,4.921,120.3,10.2,25.3,9.09,324.3,1,277.4
2024-05-21 00:00:00.000,174.6283333333333,-0.9855555555555555,4.405,4.923,115.3,10.7,25.4,6.85,335.4,1,277.3
2024-05-26 00:00:00.000,174.5733333333333,-0.7969444444444445,4.48,4.925,110.4,11.1,25.4,5.11,355.0,1,277.3
2024-05-31 00:00:00.000,174.59791666666663,-0.6461111111111111,4.557,4.927,105.6,11.4,25.5,4.39,25.7,1,277.2
2024-06-05 00:00:00.000,174.7,-0.5330555555555556,4.636,4.929,100.8,11.7,25.5,5.07,56.0,1,277.2
2024-06-10 00:00:00.000,174.87708333333333,-0.45694444444444443,4.716,4.93,96.2,11.8,25.6,6.65,74.8,1,277.1
2024-06-15 00:00:00.000,175.12624999999997,-0.4166666666666667,4.797,4.931,91.6,11.9,25.6,8.55,85.4,1,277.1
2024-06-20 00:00:00.000,175.44416666666666,-0.4108333333333334,4.878,4.932,87.1,11.9,25.6,10.52,91.7,1,277.1
2025-01-21 00:00:00.000,210.37499999999997,-10.317222222222222,4.731,4.815,89.0,11.8,25.5,10.79,88.5,1,273.5
2025-01-26 00:00:00.000,210.70291666666665,-10.29138888888889,4.642,4.808,93.8,11.8,25.5,8.64,81.5,1,273.5
2025-01-31 00:00:00.000,210.9525,-10.231666666666667,4.554,4.801,98.6,11.7,25.4,6.58,69.5,1,273.5
2025-02-05 00:00:00.000,211.11958333333328,-10.137222222222222,4.466,4.794,103.6,11.5,25.4,4.99,47.6,1,273.5
2025-02-10 00:00:00.000,211.20124999999996,-10.007222222222222,4.38,4.787,108.6,11.3,25.3,4.58,14.3,1,273.5
2025-02-15 00:00:00.000,211.19541666666663,-9.84138888888889,4.296,4.78,113.7,10.9,25.2,5.72,344.9,1,273.6
2025-02-20 00:00:00.000,211.09999999999997,-9.63888888888889,4.215,4.772,118.9,10.4,25.2,7.82,327.8,1,273.6
2025-02-25 00:00:00.000,210.91333333333333,-9.399722222222222,4.138,4.765,124.2,9.9,25.1,10.34,318.3,1,273.7
2025-03-02 00:00:00.000,210.63541666666663,-9.124722222222223,4.064,4.757,129.5,9.2,25.0,12.99,312.6,1,273.8
2025-05-26 00:00:00.000,199.16666666666666,-2.4066666666666667,3.837,4.595,133.7,9.2,24.8,16.12,297.5,1,275.1
2025-05-31 00:00:00.000,198.7308333333333,-2.1794444444444445,3.884,4.584,128.5,10.0,24.9,13.34,297.6,1,275.0
2025-06-05 00:00:00.000,198.37916666666666,-1.9941666666666666,3.937,4.573,123.3,10.7,25.0,10.48,298.0,1,275.0
2025-06-10 00:00:00.000,198.11374999999995,-1.8511111111111112,3.992,4.561,118.2,11.3,25.0,7.59,298.9,1,275.0
2025-06-15 00:00:00.000,197.9358333333333,-1.7494444444444446,4.051,4.55,113.3,11.8,25.0,4.71,301.2,1,274.9
2025-06-20 00:00:00.000,197.84541666666667,-1.6883333333333332,4.113,4.538,108.4,12.3,25.1,1.88,311.0,1,274.9
2025-06-25 00:00:00.000,197.84124999999997,-1.6669444444444443,4.176,4.526,103.7,12.6,25.1,1.18,87.0,1,274.9
2025-06-30 00:00:00.000,197.9233333333333,-1.683888888888889,4.241,4.513,99.0,12.9,25.2,3.86,105.9,1,274.8
2025-07-05 00:00:00.000,198.08833333333328,-1.7369444444444444,4.307,4.501,94.4,13.0,25.2,6.52,108.9,1,274.8
2025-07-10 00:00:00.000,198.33333333333331,-1.823888888888889,4.372,4.488,89.9,13.1,25.2,9.07,110.0,1,274.8
2025-07-15 00:00:00.000,198.65541666666664,-1.9425000000000001,4.438,4.475,85.5,13.1,25.3,11.5,110.5,1,274.8
2026-02-20 00:00:00.000,245.05124999999995,-10.328333333333333,3.639,3.705,86.1,15.4,24.5,23.96,72.3,0,88.3
2026-02-25 00:00:00.000,245.78499999999994,-10.066944444444443,3.542,3.683,90.3,15.6,24.4,22.13,67.7,0,88.3
2026-03-02 00:00:00.000,246.43583333333333,-9.76888888888889,3.444,3.66,94.7,15.7,24.4,20.31,62.1,1,88.3
2026-03-07 00:00:00.000,246.99791666666664,-9.434166666666666,3.347,3.638,99.1,15.6,24.3,18.56,55.2,1,88.3
2026-03-12 00:00:00.000,247.46375,-9.062777777777779,3.25,3.614,103.5,15.5,24.2,16.97,46.5,1,88.4
2026-03-17 00:00:00.000,247.82583333333326,-8.654722222222222,3.156,3.591,108.1,15.3,24.1,15.71,35.6,1,88.5
2026-03-22 00:00:00.000,248.07791666666668,-8.211388888888887,3.063,3.568,112.7,14.9,24.0,14.99,22.7,1,88.6
2026-03-27 00:00:00.000,248.21416666666667,-7.733611111111111,2.973,3.544,117.3,14.5,23.9,14.99,8.7,1,88.8
2026-04-01 00:00:00.000,248.22958333333335,-7.224166666666667,2.886,3.52,122.1,13.9,23.8,15.8,355.0,1,89.0
2026-04-06 00:00:00.000,248.12041666666664,-6.6850000000000005,2.803,3.496,126.8,13.2,23.7,17.37,342.8,1,89.2
2026-04-11 00:00:00.000,247.88291666666666,-6.119166666666667,2.723,3.471,131.7,12.5,23.6,19.54,332.5,1,89.4
