Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-30 00:00:00.000,62.41916666666667,41.43194444444444,14.455,14.453,87.9,4.0,21.7,5.45,16.9
2023-09-04 00:00:00.000,62.470833333333324,41.60388888888889,14.378,14.455,92.4,4.0,21.7,5.16,8.4
2023-09-09 00:00:00.000,62.48583333333333,41.77166666666667,14.301,14.456,96.9,4.0,21.6,4.96,359.0
2023-09-14 00:00:00.000,62.462916666666665,41.93444444444444,14.226,14.458,101.4,3.9,21.6,4.88,348.9
2023-09-19 00:00:00.000,62.40166666666666,42.090833333333336,14.152,14.46,105.9,3.8,21.6,4.93,338.7
2023-09-24 00:00:00.000,62.302499999999995,42.24027777777778,14.08,14.461,110.5,3.7,21.6,5.09,329.0
2023-09-29 00:00:00.000,62.166250000000005,42.38138888888889,14.011,14.463,115.0,3.6,21.6,5.35,320.2
2023-10-04 00:00:00.000,61.99374999999999,42.513888888888886,13.945,14.465,119.6,3.4,21.6,5.69,312.3
2023-10-09 00:00:00.000,61.785833333333315,42.63611111111111,13.882,14.467,124.1,3.3,21.5,6.08,305.3
2023-10-14 00:00:00.000,61.54458333333333,42.74777777777778,13.824,14.468,128.6,3.1,21.5,6.5,299.2
2023-10-19 00:00:00.000,61.27208333333333,42.84722222222222,13.771,14.47,133.1,2.9,21.5,6.92,293.9
2024-01-07 00:00:00.000,55.675,42.67444444444444,13.809,14.498,133.0,2.8,21.5,5.8,242.7
2024-01-12 00:00:00.000,55.45875,42.58444444444444,13.867,14.5,128.5,3.0,21.5,5.17,238.1
2024-01-17 00:00:00.000,55.27833333333333,42.49277777777778,13.93,14.501,123.8,3.2,21.5,4.52,232.4
2024-01-22 00:00:00.000,55.13541666666666,42.401111111111106,13.998,14.503,119.2,3.4,21.6,3.87,225.0
2024-01-27 00:00:00.000,55.03124999999999,42.31055555555555,14.069,14.505,114.5,3.5,21.6,3.28,215.1
2024-02-01 00:00:00.000,54.96583333333333,42.22277777777778,14.143,14.507,109.8,3.7,21.6,2.78,201.4
2024-02-06 00:00:00.000,54.93999999999999,42.138888888888886,14.22,14.508,105.1,3.8,21.6,2.46,183.1
2024-02-11 00:00:00.000,54.95374999999999,42.05972222222222,14.299,14.51,100.4,3.8,21.6,2.4,161.9
2024-02-16 00:00:00.000,55.00708333333333,41.986666666666665,14.379,14.512,95.8,3.9,21.7,2.64,142.2
2024-02-21 00:00:00.000,55.098749999999995,41.920833333333334,14.46,14.513,91.1,3.9,21.7,3.1,127.1
2024-02-26 00:00:00.000,55.22791666666666,41.862500000000004,14.541,14.515,86.5,3.9,21.7,3.68,116.2
2024-09-03 00:00:00.000,69.42833333333333,45.643055555555556,14.607,14.58,86.5,4.0,21.7,5.91,20.1
2024-09-08 00:00:00.000,69.50583333333331,45.82694444444445,14.532,14.582,90.9,4.0,21.7,5.61,12.4
2024-09-13 00:00:00.000,69.54333333333332,46.00805555555556,14.457,14.584,95.2,3.9,21.7,5.4,3.9
2024-09-18 00:00:00.000,69.54041666666666,46.18555555555555,14.383,14.585,99.7,3.9,21.7,5.28,354.8
2024-09-23 00:00:00.000,69.49708333333334,46.358333333333334,14.31,14.587,104.1,3.8,21.7,5.27,345.5
