Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-30 00:00:00.000,67.565,15.9075,28.661,28.639,87.7,2.0,22.9,1.21,103.8,0,77.8
2023-09-04 00:00:00.000,67.59833333333333,15.896666666666667,28.577,28.639,92.5,2.0,22.9,0.84,115.4,0,77.9
2023-09-09 00:00:00.000,67.61708333333333,15.88361111111111,28.493,28.639,97.3,2.0,22.9,0.53,142.4,0,78.1
2023-09-14 00:00:00.000,67.62124999999999,15.868611111111111,28.41,28.639,102.2,2.0,22.9,0.5,192.2,0,78.2
2023-09-19 00:00:00.000,67.61,15.851388888888888,28.329,28.639,107.0,1.9,22.9,0.76,224.6,0,78.3
2023-09-24 00:00:00.000,67.58416666666666,15.8325,28.25,28.639,111.9,1.9,22.9,1.13,238.1,0,78.4
2023-09-29 00:00:00.000,67.54374999999999,15.811944444444444,28.173,28.639,116.8,1.8,22.9,1.51,244.9,0,78.5
2023-10-04 00:00:00.000,67.48958333333333,15.789722222222222,28.1,28.639,121.7,1.7,22.8,1.89,248.9,0,78.5
2023-10-09 00:00:00.000,67.42208333333333,15.766388888888889,28.031,28.639,126.7,1.6,22.8,2.26,251.5,0,78.6
2023-10-14 00:00:00.000,67.34125,15.741944444444444,27.966,28.639,131.7,1.5,22.8,2.62,253.5,0,78.7
2024-01-12 00:00:00.000,64.99541666666666,15.398888888888889,27.94,28.639,134.6,1.4,22.8,2.83,269.3,0,76.6
2024-01-17 00:00:00.000,64.90374999999999,15.399166666666666,28.004,28.639,129.5,1.5,22.8,2.48,271.3,0,76.3
2024-01-22 00:00:00.000,64.82416666666666,15.402777777777779,28.072,28.639,124.3,1.6,22.8,2.11,274.1,0,76.0
2024-01-27 00:00:00.000,64.75833333333333,15.409166666666668,28.145,28.639,119.2,1.7,22.8,1.73,278.0,0,75.6
2024-02-01 00:00:00.000,64.70624999999998,15.41861111111111,28.222,28.639,114.1,1.8,22.9,1.34,284.2,0,75.3
2024-02-06 00:00:00.000,64.66875,15.431111111111111,28.301,28.639,109.1,1.9,22.9,0.97,295.6,0,75.0
2024-02-11 00:00:00.000,64.64625,15.446666666666667,28.384,28.639,104.0,1.9,22.9,0.66,319.4,0,74.7
2024-02-16 00:00:00.000,64.63916666666667,15.464722222222221,28.468,28.639,99.0,2.0,22.9,0.59,1.2,0,74.4
2024-02-21 00:00:00.000,64.64708333333333,15.485833333333332,28.553,28.639,94.0,2.0,22.9,0.81,34.4,0,74.2
2024-02-26 00:00:00.000,64.67041666666665,15.509166666666667,28.639,28.639,89.0,2.0,22.9,1.16,50.5,0,73.9
2024-08-29 00:00:00.000,70.01458333333332,16.391111111111112,28.707,28.638,85.1,2.0,22.9,1.43,100.4,0,78.5
2024-09-03 00:00:00.000,70.05624999999999,16.38138888888889,28.623,28.638,89.9,2.0,22.9,1.03,108.2,0,78.7
2024-09-08 00:00:00.000,70.0825,16.369722222222222,28.539,28.638,94.7,2.0,22.9,0.67,124.8,0,78.8
2024-09-13 00:00:00.000,70.09416666666667,16.35611111111111,28.455,28.639,99.5,2.0,22.9,0.45,164.8,0,78.9
2024-09-18 00:00:00.000,70.09083333333332,16.340555555555554,28.373,28.639,104.3,1.9,22.9,0.58,212.2,0,79.0
2024-09-23 00:00:00.000,70.07291666666667,16.323333333333334,28.293,28.639,109.2,1.9,22.9,0.91,233.7,0,79.1
2024-09-28 00:00:00.000,70.03999999999999,16.304722222222225,28.214,28.639,114.1,1.8,22.9,1.29,243.2,0,79.1
2024-10-03 00:00:00.000,69.99291666666666,16.284444444444446,28.139,28.639,119.0,1.8,22.8,1.68,248.3,0,79.2
2024-10-08 00:00:00.000,69.93166666666667,16.263333333333332,28.068,28.639,124.0,1.7,22.8,2.07,251.5,0,79.3
2024-10-13 00:00:00.000,69.85708333333334,16.241111111111113,28.0,28.639,129.0,1.6,22.8,2.43,253.8,0,79.3
2024-10-18 00:00:00.000,69.77,16.218055555555555,27.938,28.639,134.0,1.4,22.8,2.77,255.4,0,79.3
2025-01-16 00:00:00.000,67.40958333333333,15.924999999999999,27.969,28.639,132.2,1.5,22.8,2.67,271.0,0,77.3
2025-01-21 00:00:00.000,67.32333333333332,15.927777777777777,28.035,28.639,127.1,1.6,22.8,2.31,273.2,0,77.0
2025-01-26 00:00:00.000,67.25,15.93361111111111,28.106,28.639,121.9,1.7,22.8,1.93,276.4,0,76.8
2025-01-31 00:00:00.000,67.19041666666666,15.942222222222222,28.18,28.639,116.8,1.8,22.9,1.54,281.2,0,76.6
2025-02-05 00:00:00.000,67.145,15.95361111111111,28.259,28.639,111.8,1.8,22.9,1.16,289.3,0,76.3
2025-02-10 00:00:00.000,67.115,15.9675,28.34,28.639,106.7,1.9,22.9,0.8,305.0,0,76.1
2025-02-15 00:00:00.000,67.09958333333333,15.984166666666665,28.423,28.639,101.7,1.9,22.9,0.58,337.8,0,75.9
2025-02-20 00:00:00.000,67.09958333333333,16.003333333333334,28.507,28.639,96.6,2.0,22.9,0.65,20.1,0,75.7
2025-02-25 00:00:00.000,67.11541666666666,16.025,28.593,28.639,91.6,2.0,22.9,0.96,44.5,0,75.5
2025-03-02 00:00:00.000,67.14625,16.04888888888889,28.679,28.639,86.7,2.0,22.9,1.34,56.1,0,75.3
2025-09-03 00:00:00.000,72.52124999999998,16.836388888888887,28.67,28.639,87.2,2.0,22.9,1.24,103.6,1,79.4
2025-09-08 00:00:00.000,72.55583333333333,16.825833333333332,28.586,28.639,92.0,2.0,22.9,0.85,114.0,1,79.5
2025-09-13 00:00:00.000,72.57541666666665,16.813333333333333,28.502,28.639,96.8,2.0,22.9,0.53,138.7,1,79.6
2025-09-18 00:00:00.000,72.58,16.799166666666668,28.419,28.639,101.7,2.0,22.9,0.45,190.7,1,79.7
2025-09-23 00:00:00.000,72.56958333333331,16.783611111111114,28.337,28.639,106.5,1.9,22.9,0.71,226.5,1,79.8
2025-09-28 00:00:00.000,72.54416666666665,16.766666666666666,28.258,28.639,111.4,1.9,22.9,1.08,240.7,1,79.8
2025-10-03 00:00:00.000,72.50416666666665,16.748333333333335,28.181,28.639,116.4,1.8,22.9,1.47,247.5,1,79.9
2025-10-08 00:00:00.000,72.44999999999999,16.729166666666664,28.107,28.639,121.3,1.7,22.8,1.85,251.4,1,79.9
2025-10-13 00:00:00.000,72.38166666666665,16.70888888888889,28.037,28.639,126.3,1.6,22.8,2.23,253.9,1,80.0
2025-10-18 00:00:00.000,72.30083333333332,16.688055555555557,27.972,28.639,131.3,1.5,22.8,2.59,255.8,1,80.0
2026-01-16 00:00:00.000,69.93124999999999,16.421666666666667,27.937,28.64,134.9,1.4,22.8,2.85,270.9,0,78.2
2026-01-21 00:00:00.000,69.83833333333334,16.424444444444447,28.0,28.64,129.8,1.5,22.8,2.5,272.8,0,78.0
2026-01-26 00:00:00.000,69.75791666666667,16.429722222222225,28.068,28.64,124.7,1.6,22.8,2.13,275.3,0,77.8
2026-01-31 00:00:00.000,69.69083333333332,16.4375,28.141,28.64,119.5,1.7,22.8,1.75,279.0,0,77.6
2026-02-05 00:00:00.000,69.63791666666665,16.448055555555555,28.217,28.64,114.5,1.8,22.9,1.36,284.9,0,77.4
2026-02-10 00:00:00.000,69.59958333333333,16.460833333333333,28.297,28.64,109.4,1.9,22.9,0.98,295.5,0,77.2
2026-02-15 00:00:00.000,69.57666666666665,16.47611111111111,28.379,28.64,104.3,1.9,22.9,0.67,317.9,0,77.0
2026-02-20 00:00:00.000,69.56875,16.49388888888889,28.463,28.64,99.3,2.0,22.9,0.56,359.7,0,76.9
2026-02-25 00:00:00.000,69.57624999999999,16.51388888888889,28.548,28.64,94.3,2.0,22.9,0.77,35.3,0,76.7
2026-03-02 00:00:00.000,69.59958333333333,16.535833333333336,28.634,28.64,89.3,2.0,22.9,1.12,52.2,0,76.6
2026-09-08 00:00:00.000,75.035,17.250555555555554,28.634,28.641,89.4,2.0,22.9,1.06,107.5,1,80.3
2026-09-13 00:00:00.000,75.06249999999999,17.239444444444445,28.55,28.641,94.2,2.0,22.9,0.68,122.4,1,80.4
2026-09-18 00:00:00.000,75.07499999999999,17.226388888888888,28.466,28.641,99.0,2.0,22.9,0.43,161.2,1,80.4
2026-09-23 00:00:00.000,75.07208333333332,17.21222222222222,28.384,28.641,103.9,1.9,22.9,0.53,213.5,1,80.5
2026-09-28 00:00:00.000,75.05458333333333,17.196944444444444,28.303,28.641,108.8,1.9,22.9,0.87,236.4,1,80.6
2026-10-03 00:00:00.000,75.02208333333333,17.18027777777778,28.224,28.641,113.7,1.8,22.9,1.25,245.9,1,80.6
2026-10-08 00:00:00.000,74.975,17.162777777777777,28.149,28.641,118.6,1.8,22.9,1.65,251.0,1,80.6
2026-10-13 00:00:00.000,74.91375,17.14472222222222,28.077,28.641,123.6,1.7,22.8,2.03,254.1,1,80.7
2026-10-18 00:00:00.000,74.83874999999999,17.125833333333333,28.009,28.641,128.6,1.6,22.8,2.4,256.2,1,80.7
2026-10-23 00:00:00.000,74.75125,17.10666666666667,27.946,28.641,133.6,1.4,22.8,2.75,257.8,1,80.7
2027-01-21 00:00:00.000,72.36791666666666,16.891111111111112,27.968,28.642,132.5,1.5,22.8,2.69,272.5,0,78.9
2027-01-26 00:00:00.000,72.28041666666667,16.89611111111111,28.033,28.642,127.4,1.6,22.8,2.33,274.6,0,78.7
2027-01-31 00:00:00.000,72.20624999999998,16.903333333333332,28.104,28.642,122.3,1.7,22.8,1.96,277.5,0,78.6
2027-02-05 00:00:00.000,72.14541666666666,16.913055555555555,28.178,28.642,117.2,1.8,22.9,1.57,282.0,0,78.4
2027-02-10 00:00:00.000,72.09958333333333,16.92527777777778,28.256,28.642,112.1,1.8,22.9,1.18,289.6,0,78.2
2027-02-15 00:00:00.000,72.06833333333331,16.939444444444444,28.337,28.642,107.0,1.9,22.9,0.81,304.3,0,78.1
2027-02-20 00:00:00.000,72.05249999999998,16.95583333333333,28.42,28.642,102.0,1.9,22.9,0.57,336.0,0,77.9
2027-02-25 00:00:00.000,72.05208333333333,16.974166666666665,28.505,28.642,97.0,2.0,22.9,0.62,20.0,0,77.8
