Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-24 00:00:00.000,122.80416666666665,21.568055555555556,17.375,17.399,89.7,3.3,23.6,2.02,95.0,2.0,276.8
2023-10-29 00:00:00.000,122.86374999999998,21.564722222222223,17.296,17.404,94.7,3.3,23.6,1.31,90.9,2.0,276.8
2023-11-03 00:00:00.000,122.89749999999998,21.566666666666666,17.216,17.41,99.6,3.2,23.6,0.61,77.0,2.0,276.7
2023-11-08 00:00:00.000,122.90624999999999,21.573888888888888,17.139,17.415,104.6,3.2,23.6,0.32,336.8,2.0,276.7
2023-11-13 00:00:00.000,122.88874999999999,21.586388888888887,17.062,17.421,109.7,3.1,23.6,0.95,298.0,2.0,276.6
2023-11-18 00:00:00.000,122.84583333333332,21.60388888888889,16.989,17.426,114.7,3.0,23.6,1.66,291.1,2.0,276.6
2023-11-23 00:00:00.000,122.77791666666666,21.62611111111111,16.919,17.431,119.9,2.8,23.5,2.35,288.4,2.0,276.5
2023-11-28 00:00:00.000,122.68624999999997,21.653055555555554,16.852,17.437,125.0,2.7,23.5,3.01,286.8,2.0,276.3
2023-12-03 00:00:00.000,122.57166666666663,21.684166666666666,16.79,17.442,130.2,2.5,23.5,3.65,285.8,2.0,276.2
2024-03-02 00:00:00.000,118.87916666666665,22.423055555555557,16.826,17.54,134.9,2.3,23.5,4.15,279.2,,
2024-03-07 00:00:00.000,118.74166666666666,22.443055555555556,16.894,17.545,129.8,2.5,23.5,3.56,278.6,,
2024-03-12 00:00:00.000,118.62624999999998,22.45861111111111,16.966,17.551,124.7,2.7,23.6,2.92,277.8,,
2024-03-17 00:00:00.000,118.53333333333333,22.46972222222222,17.043,17.556,119.6,2.8,23.6,2.26,276.6,,
2024-03-22 00:00:00.000,118.46458333333331,22.47611111111111,17.124,17.562,114.6,3.0,23.6,1.57,274.4,,
2024-03-27 00:00:00.000,118.42041666666665,22.477777777777778,17.207,17.567,109.6,3.1,23.6,0.88,268.9,,
2024-04-01 00:00:00.000,118.40124999999998,22.474999999999998,17.293,17.573,104.7,3.2,23.6,0.24,230.6,,
2024-04-06 00:00:00.000,118.4070833333333,22.467499999999998,17.381,17.578,99.7,3.2,23.6,0.59,119.7,,
2024-04-11 00:00:00.000,118.43791666666664,22.455277777777777,17.471,17.584,94.9,3.3,23.7,1.29,109.4,,
2024-04-16 00:00:00.000,118.49458333333331,22.43888888888889,17.56,17.589,90.0,3.3,23.7,1.99,106.4,,
2024-04-21 00:00:00.000,118.57541666666665,22.418055555555558,17.65,17.595,85.2,3.3,23.7,2.68,105.0,,
2024-10-28 00:00:00.000,128.09999999999997,20.481944444444444,17.787,17.804,89.4,3.2,23.7,1.99,96.7,,
2024-11-02 00:00:00.000,128.15791666666667,20.47722222222222,17.707,17.809,94.3,3.2,23.7,1.28,92.4,,
2024-11-07 00:00:00.000,128.19083333333333,20.47861111111111,17.628,17.815,99.3,3.1,23.7,0.59,78.0,,
2024-11-12 00:00:00.000,128.19916666666666,20.485555555555557,17.55,17.82,104.3,3.1,23.7,0.32,338.7,,
2024-11-17 00:00:00.000,128.18291666666664,20.498333333333335,17.473,17.826,109.4,3.0,23.7,0.93,300.2,,
2024-11-22 00:00:00.000,128.14208333333332,20.516666666666666,17.4,17.832,114.5,2.9,23.7,1.62,293.1,,
2024-11-27 00:00:00.000,128.07708333333332,20.540555555555557,17.329,17.837,119.6,2.8,23.6,2.3,290.3,,
2024-12-02 00:00:00.000,127.98875000000001,20.56972222222222,17.262,17.843,124.7,2.6,23.6,2.96,288.7,,
2024-12-07 00:00:00.000,127.87791666666665,20.603611111111114,17.2,17.848,129.9,2.4,23.6,3.58,287.7,,
2025-03-12 00:00:00.000,124.16208333333331,21.45861111111111,17.297,17.954,130.2,2.4,23.6,3.55,280.3,,
2025-03-17 00:00:00.000,124.0475,21.4775,17.369,17.959,125.1,2.6,23.7,2.94,279.5,,
2025-03-22 00:00:00.000,123.9545833333333,21.491111111111113,17.445,17.965,120.0,2.8,23.7,2.31,278.3,,
2025-03-27 00:00:00.000,123.88458333333332,21.499722222222225,17.526,17.97,115.0,2.9,23.7,1.64,276.2,,
2025-04-01 00:00:00.000,123.83791666666664,21.503055555555555,17.609,17.976,110.0,3.0,23.7,0.97,271.1,,
2025-04-06 00:00:00.000,123.81541666666665,21.50111111111111,17.695,17.982,105.1,3.1,23.7,0.32,244.2,,
2025-04-11 00:00:00.000,123.81708333333333,21.49361111111111,17.783,17.987,100.2,3.1,23.7,0.49,127.3,,
2025-04-16 00:00:00.000,123.84333333333332,21.481388888888887,17.872,17.993,95.3,3.2,23.8,1.15,112.9,,
2025-04-21 00:00:00.000,123.89333333333333,21.46388888888889,17.962,17.998,90.5,3.2,23.8,1.83,109.1,,
2025-04-26 00:00:00.000,123.96708333333332,21.441111111111113,18.052,18.004,85.7,3.2,23.8,2.51,107.4,,
2025-11-02 00:00:00.000,133.0858333333333,19.296666666666667,18.202,18.217,89.3,3.1,23.8,1.91,98.0,,
2025-11-07 00:00:00.000,133.14083333333332,19.290833333333335,18.122,18.222,94.3,3.1,23.8,1.23,93.5,,
2025-11-12 00:00:00.000,133.17249999999999,19.291666666666668,18.043,18.228,99.2,3.1,23.8,0.56,78.1,,
2025-11-17 00:00:00.000,133.17958333333334,19.298611111111114,17.965,18.234,104.3,3.0,23.8,0.33,336.7,,
2025-11-22 00:00:00.000,133.16291666666666,19.311944444444446,17.888,18.239,109.3,2.9,23.8,0.95,301.4,,
2025-11-27 00:00:00.000,133.12291666666667,19.33138888888889,17.815,18.245,114.4,2.8,23.8,1.62,294.6,,
2025-12-02 00:00:00.000,133.05916666666667,19.356944444444444,17.744,18.251,119.6,2.7,23.7,2.28,291.8,,
2025-12-07 00:00:00.000,132.9733333333333,19.387777777777778,17.677,18.256,124.7,2.5,23.7,2.92,290.3,,
2025-12-12 00:00:00.000,132.8658333333333,19.424166666666668,17.615,18.262,129.9,2.4,23.7,3.53,289.2,,
2026-03-17 00:00:00.000,129.26208333333332,20.358611111111113,17.709,18.369,130.3,2.4,23.7,3.54,281.9,,
2026-03-22 00:00:00.000,129.14916666666664,20.380277777777778,17.781,18.374,125.3,2.5,23.7,2.94,281.1,,
2026-03-27 00:00:00.000,129.0570833333333,20.39611111111111,17.857,18.38,120.2,2.7,23.8,2.31,279.8,,
2026-04-01 00:00:00.000,128.98749999999998,20.406388888888888,17.938,18.386,115.2,2.8,23.8,1.67,277.7,,
2026-04-06 00:00:00.000,128.94,20.410833333333333,18.021,18.391,110.3,2.9,23.8,1.02,272.9,,
2026-04-11 00:00:00.000,128.91541666666666,20.40972222222222,18.107,18.397,105.3,3.0,23.8,0.38,251.6,,
2026-04-16 00:00:00.000,128.91416666666666,20.402777777777775,18.195,18.403,100.4,3.1,23.8,0.42,135.0,,
2026-04-21 00:00:00.000,128.93625,20.390277777777776,18.284,18.408,95.6,3.1,23.8,1.06,116.0,,
2026-04-26 00:00:00.000,128.98166666666665,20.371944444444445,18.373,18.414,90.7,3.1,23.9,1.72,111.5,,
2026-05-01 00:00:00.000,129.04999999999998,20.348055555555554,18.463,18.42,85.9,3.1,23.9,2.38,109.5,,
2026-11-07 00:00:00.000,137.78041666666667,18.03888888888889,18.618,18.634,89.4,3.0,23.9,1.82,99.0,,
2026-11-12 00:00:00.000,137.83208333333332,18.032777777777778,18.538,18.64,94.4,3.0,23.9,1.14,94.1,,
2026-11-17 00:00:00.000,137.86041666666665,18.033333333333335,18.458,18.646,99.4,3.0,23.9,0.49,75.7,,
2026-11-22 00:00:00.000,137.86541666666665,18.040833333333335,18.38,18.651,104.4,2.9,23.9,0.37,330.9,,
2026-11-27 00:00:00.000,137.84791666666666,18.055,18.304,18.657,109.5,2.9,23.9,0.98,302.0,,
2026-12-02 00:00:00.000,137.8070833333333,18.075555555555557,18.23,18.663,114.6,2.8,23.8,1.64,295.7,,
2026-12-07 00:00:00.000,137.74416666666662,18.102222222222224,18.16,18.668,119.8,2.6,23.8,2.29,293.1,,
2026-12-12 00:00:00.000,137.65958333333333,18.135277777777777,18.093,18.674,124.9,2.5,23.8,2.92,291.6,,
2026-12-17 00:00:00.000,137.55416666666665,18.17361111111111,18.03,18.68,130.1,2.3,23.8,3.52,290.6,,
2027-03-22 00:00:00.000,134.05791666666667,19.1725,18.127,18.787,130.3,2.3,23.8,3.48,283.2,,
2027-03-27 00:00:00.000,133.94791666666663,19.19611111111111,18.2,18.793,125.2,2.5,23.8,2.91,282.4,,
2027-04-01 00:00:00.000,133.85791666666663,19.21388888888889,18.276,18.798,120.2,2.6,23.9,2.3,281.1,,
2027-04-06 00:00:00.000,133.78875,19.22583333333333,18.356,18.804,115.2,2.8,23.9,1.67,279.0,,
2027-04-11 00:00:00.000,133.74166666666667,19.231388888888887,18.439,18.81,110.3,2.9,23.9,1.03,274.2,,
2027-04-16 00:00:00.000,133.71625,19.230833333333333,18.525,18.815,105.3,2.9,23.9,0.41,254.2,,
2027-04-21 00:00:00.000,133.71375,19.223888888888887,18.613,18.821,100.4,3.0,23.9,0.38,140.9,,
2027-04-26 00:00:00.000,133.73333333333332,19.211111111111112,18.702,18.827,95.6,3.0,23.9,0.99,118.7,,
2027-05-01 00:00:00.000,133.77499999999998,19.192222222222224,18.792,18.832,90.8,3.1,24.0,1.64,113.6,,
2027-05-06 00:00:00.000,133.83916666666664,19.1675,18.881,18.838,86.0,3.1,24.0,2.28,111.4,,
