Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-08 00:00:00.000,171.10791666666665,7.335833333333333,4.365,4.413,86.3,12.9,28.0,4.66,91.0,6690,296.8
2023-12-13 00:00:00.000,171.22,7.353055555555555,4.297,4.43,91.3,12.8,28.0,2.29,60.8,6874,296.9
2023-12-18 00:00:00.000,171.2408333333333,7.411111111111111,4.228,4.446,96.4,12.7,28.0,2.49,341.6,7094,297.0
2023-12-23 00:00:00.000,171.16625,7.511111111111111,4.16,4.463,101.6,12.5,27.9,5.18,314.7,7347,297.0
2023-12-28 00:00:00.000,170.99249999999998,7.653888888888889,4.092,4.478,106.9,12.1,27.9,8.29,306.5,7634,297.1
2024-01-02 00:00:00.000,170.71708333333333,7.839722222222222,4.027,4.493,112.3,11.7,27.8,11.54,302.6,7952,297.1
2024-01-07 00:00:00.000,170.33791666666664,8.068888888888889,3.965,4.508,117.8,11.1,27.8,14.87,300.4,8299,297.0
2024-01-12 00:00:00.000,169.85333333333332,8.340277777777779,3.906,4.523,123.4,10.5,27.7,18.19,298.8,8671,296.9
2024-01-17 00:00:00.000,169.26416666666665,8.6525,3.851,4.537,129.2,9.7,27.7,21.43,297.6,9064,296.8
2024-04-06 00:00:00.000,153.56666666666663,14.849722222222223,3.974,4.721,133.7,8.8,27.8,21.66,286.1,11857,292.2
2024-04-11 00:00:00.000,152.8970833333333,15.029166666666667,4.045,4.73,128.1,9.6,27.9,18.6,284.9,11649,292.0
2024-04-16 00:00:00.000,152.32666666666665,15.16861111111111,4.121,4.738,122.7,10.3,27.9,15.48,283.4,11417,291.8
2024-04-21 00:00:00.000,151.85666666666665,15.269166666666667,4.2,4.746,117.3,10.8,28.0,12.39,281.4,11169,291.7
2024-04-26 00:00:00.000,151.48666666666665,15.332222222222223,4.283,4.754,112.1,11.3,28.1,9.37,278.3,10911,291.6
2024-05-01 00:00:00.000,151.21499999999997,15.36,4.368,4.762,107.0,11.7,28.1,6.47,272.8,10647,291.5
2024-05-06 00:00:00.000,151.03916666666666,15.35388888888889,4.456,4.769,102.0,11.9,28.2,3.79,259.8,10382,291.4
2024-05-11 00:00:00.000,150.95624999999998,15.316111111111113,4.544,4.776,97.1,12.1,28.2,1.93,214.2,10119,291.4
2024-05-16 00:00:00.000,150.9620833333333,15.248055555555554,4.633,4.783,92.4,12.2,28.3,2.84,150.1,9863,291.4
2024-05-21 00:00:00.000,151.05249999999998,15.152222222222223,4.722,4.789,87.7,12.2,28.3,5.0,130.9,9615,291.4
2024-12-17 00:00:00.000,177.90041666666664,4.103333333333333,4.702,4.783,88.8,11.9,28.3,4.58,94.9,11584,64.2
2024-12-22 00:00:00.000,178.01291666666665,4.10861111111111,4.61,4.776,93.7,11.9,28.3,2.26,71.3,11910,64.2
2024-12-27 00:00:00.000,178.04208333333332,4.152222222222223,4.518,4.769,98.8,11.8,28.2,1.94,347.0,12236,64.2
2025-01-01 00:00:00.000,177.9820833333333,4.235555555555556,4.428,4.762,104.0,11.6,28.2,4.43,314.6,12559,64.3
2025-01-06 00:00:00.000,177.8295833333333,4.359722222222222,4.339,4.754,109.3,11.3,28.1,7.4,306.1,12874,64.4
2025-01-11 00:00:00.000,177.58166666666665,4.525833333333333,4.252,4.747,114.6,10.9,28.0,10.5,302.3,13174,64.4
2025-01-16 00:00:00.000,177.23541666666665,4.733888888888889,4.168,4.738,120.1,10.3,28.0,13.68,300.1,13453,64.5
2025-01-21 00:00:00.000,176.7895833333333,4.983611111111111,4.088,4.73,125.7,9.7,27.9,16.89,298.7,13704,64.6
2025-01-26 00:00:00.000,176.24416666666662,5.274166666666667,4.012,4.721,131.4,9.0,27.8,20.08,297.6,13919,295.3
2025-04-16 00:00:00.000,160.80041666666665,11.672777777777776,3.806,4.538,131.9,9.5,27.6,23.1,287.8,9578,293.5
2025-04-21 00:00:00.000,160.09874999999997,11.8875,3.855,4.523,126.3,10.3,27.7,20.06,286.8,9085,293.5
2025-04-26 00:00:00.000,159.49374999999998,12.059722222222224,3.909,4.509,120.8,11.0,27.7,16.9,285.6,8624,293.6
2025-05-01 00:00:00.000,158.98999999999998,12.19,3.967,4.494,115.5,11.7,27.8,13.69,283.8,8201,293.7
2025-05-06 00:00:00.000,158.58749999999998,12.278611111111111,4.028,4.478,110.2,12.2,27.8,10.5,281.3,7820,293.9
2025-05-11 00:00:00.000,158.28625,12.327222222222222,4.092,4.463,105.1,12.6,27.9,7.42,276.8,7484,294.1
2025-05-16 00:00:00.000,158.08416666666665,12.338055555555556,4.156,4.447,100.1,12.9,27.9,4.5,267.0,7193,294.3
2025-05-21 00:00:00.000,157.97833333333332,12.3125,4.222,4.43,95.2,13.1,28.0,2.15,232.9,6949,294.6
2025-05-26 00:00:00.000,157.96625,12.251944444444444,4.288,4.414,90.4,13.3,28.0,2.51,157.2,6752,294.8
2025-05-31 00:00:00.000,158.04374999999996,12.158611111111112,4.354,4.397,85.7,13.3,28.0,4.83,132.7,6599,295.1
2026-01-01 00:00:00.000,193.23125,-3.0052777777777777,3.171,3.268,86.9,17.5,26.8,15.68,107.1,44157,294.6
2026-01-06 00:00:00.000,193.6870833333333,-3.1377777777777776,3.052,3.231,91.5,17.7,26.7,12.71,105.2,47246,294.4
2026-01-11 00:00:00.000,194.04624999999996,-3.225277777777778,2.933,3.193,96.2,17.8,26.6,9.39,101.7,50600,294.3
2026-01-16 00:00:00.000,194.29708333333332,-3.262777777777778,2.814,3.154,101.1,17.8,26.5,5.76,93.2,54248,294.1
2026-01-21 00:00:00.000,194.4258333333333,-3.2447222222222223,2.696,3.114,106.0,17.7,26.4,2.37,53.0,58221,293.9
2026-01-26 00:00:00.000,194.41916666666663,-3.165833333333333,2.579,3.074,111.1,17.4,26.2,4.09,324.6,62558,293.7
2026-01-31 00:00:00.000,194.26291666666665,-3.0208333333333335,2.464,3.033,116.4,16.9,26.1,8.88,307.4,67305,293.4
2026-02-05 00:00:00.000,193.94291666666663,-2.8041666666666667,2.352,2.992,121.9,16.3,25.9,14.4,302.1,72525,293.2
2026-02-10 00:00:00.000,193.4433333333333,-2.5091666666666668,2.243,2.95,127.5,15.4,25.8,20.49,299.5,78297,293.0
2026-02-15 00:00:00.000,192.74791666666667,-2.1294444444444447,2.139,2.906,133.3,14.3,25.6,27.1,298.0,84730,292.7
2026-04-21 00:00:00.000,167.04249999999996,8.949444444444445,1.447,2.263,134.0,18.6,24.4,71.27,289.9,259949,88.5
2026-04-26 00:00:00.000,164.87124999999997,9.7075,1.451,2.206,126.9,21.4,24.4,64.92,289.0,242559,89.7
2026-05-01 00:00:00.000,162.90124999999998,10.359444444444444,1.459,2.148,120.0,24.0,24.4,57.76,288.1,213521,272.4
2026-05-06 00:00:00.000,161.15624999999997,10.901944444444444,1.472,2.088,113.3,26.3,24.5,50.12,287.0,187379,275.1
2026-05-11 00:00:00.000,159.6508333333333,11.336388888888889,1.487,2.027,107.0,28.5,24.5,42.26,285.7,166784,277.5
2026-05-16 00:00:00.000,158.39083333333332,11.666111111111112,1.503,1.964,100.9,30.4,24.5,34.42,284.1,149875,279.5
2026-05-21 00:00:00.000,157.37666666666664,11.895833333333332,1.52,1.899,95.1,32.1,24.5,26.81,281.8,135715,281.2
2026-05-26 00:00:00.000,156.59916666666666,12.033333333333333,1.536,1.833,89.5,33.5,24.5,19.64,278.2,123715,282.6
2026-12-07 00:00:00.000,170.17083333333332,8.499166666666666,1.913,2.103,86.9,27.9,25.1,6.68,336.3,118786,66.2
2026-12-12 00:00:00.000,169.98166666666665,8.746944444444443,1.888,2.163,92.2,27.1,25.1,12.27,315.6,130656,67.0
2026-12-17 00:00:00.000,169.5883333333333,9.084444444444445,1.862,2.221,97.8,26.0,25.1,18.71,307.9,144814,68.0
2026-12-22 00:00:00.000,168.98125,9.513055555555555,1.836,2.278,103.6,24.8,25.1,25.52,303.9,161951,69.3
2026-12-27 00:00:00.000,168.1533333333333,10.032222222222224,1.812,2.333,109.6,23.4,25.1,32.53,301.3,183222,71.1
2027-01-01 00:00:00.000,167.09874999999997,10.639999999999999,1.789,2.388,115.9,21.8,25.0,39.61,299.5,210822,73.7
2027-01-06 00:00:00.000,165.8158333333333,11.331388888888888,1.769,2.441,122.4,19.9,25.0,46.56,298.1,236006,76.2
2027-01-11 00:00:00.000,164.30874999999997,12.097222222222223,1.753,2.493,129.1,17.8,25.0,53.09,296.8,248824,77.7
2027-03-22 00:00:00.000,138.06916666666663,20.900277777777777,2.357,3.125,133.3,13.4,25.9,27.55,278.7,77077,283.5
2027-03-27 00:00:00.000,137.1983333333333,21.008333333333333,2.456,3.164,127.5,14.5,26.1,21.74,276.3,71723,283.6
2027-04-01 00:00:00.000,136.52291666666665,21.060277777777777,2.559,3.203,122.0,15.3,26.2,16.28,272.8,66825,283.6
2027-04-06 00:00:00.000,136.03291666666667,21.06277777777778,2.666,3.241,116.7,16.0,26.4,11.26,266.9,62328,283.7
2027-04-11 00:00:00.000,135.7158333333333,21.02111111111111,2.776,3.278,111.5,16.5,26.5,6.84,254.3,58189,283.8
