Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-06 00:00:00.000,13.068333333333332,5.854722222222222,8.394,8.439,89.1,6.9,23.4,6.02,60.6
2023-07-11 00:00:00.000,13.222916666666665,5.9447222222222225,8.308,8.434,93.7,6.9,23.3,4.68,58.5
2023-07-16 00:00:00.000,13.334999999999999,6.017222222222222,8.222,8.43,98.3,6.9,23.3,3.3,54.6
2023-07-21 00:00:00.000,13.403333333333332,6.071944444444444,8.138,8.425,103.0,6.7,23.3,1.93,45.0
2023-07-26 00:00:00.000,13.426666666666664,6.108333333333333,8.055,8.42,107.7,6.6,23.3,0.82,2.2
2023-07-31 00:00:00.000,13.405416666666666,6.126666666666666,7.974,8.416,112.5,6.4,23.2,1.33,281.9
2023-08-05 00:00:00.000,13.339166666666664,6.126666666666666,7.896,8.411,117.4,6.1,23.2,2.65,264.1
2023-08-10 00:00:00.000,13.228749999999998,6.10861111111111,7.821,8.406,122.3,5.9,23.2,4.03,258.3
2023-08-15 00:00:00.000,13.074583333333333,6.0725,7.75,8.402,127.2,5.5,23.1,5.41,255.6
2023-08-20 00:00:00.000,12.877916666666666,6.018888888888889,7.683,8.397,132.2,5.1,23.1,6.74,253.9
2023-11-18 00:00:00.000,6.501666666666666,3.7605555555555554,7.611,8.31,132.4,5.0,23.0,6.9,250.7
2023-11-23 00:00:00.000,6.305833333333333,3.6933333333333334,7.671,8.305,127.2,5.4,23.1,5.49,251.5
2023-11-28 00:00:00.000,6.154166666666666,3.6444444444444444,7.736,8.3,121.9,5.8,23.1,4.03,252.9
2023-12-03 00:00:00.000,6.048749999999999,3.6144444444444446,7.804,8.295,116.8,6.1,23.1,2.53,256.0
2023-12-08 00:00:00.000,5.990833333333333,3.603888888888889,7.876,8.29,111.6,6.3,23.2,1.03,269.2
2023-12-13 00:00:00.000,5.980833333333333,3.6133333333333333,7.951,8.285,106.6,6.5,23.2,0.73,35.6
2023-12-18 00:00:00.000,6.019166666666666,3.643333333333333,8.027,8.28,101.5,6.7,23.2,2.22,57.3
2023-12-23 00:00:00.000,6.105416666666667,3.6933333333333334,8.105,8.275,96.5,6.8,23.2,3.76,61.3
2023-12-28 00:00:00.000,6.239166666666666,3.763333333333333,8.184,8.27,91.6,6.8,23.3,5.27,63.0
2024-01-02 00:00:00.000,6.418333333333333,3.852777777777778,8.263,8.265,86.7,6.8,23.3,6.74,63.9
2024-07-20 00:00:00.000,26.739999999999995,13.023888888888889,8.025,8.053,88.0,7.2,23.2,6.95,59.1
2024-07-25 00:00:00.000,26.92166666666666,13.134722222222221,7.938,8.048,92.5,7.2,23.2,5.58,56.4
2024-07-30 00:00:00.000,27.057499999999997,13.229722222222222,7.852,8.042,97.2,7.2,23.1,4.19,51.7
2024-08-04 00:00:00.000,27.146249999999995,13.307777777777778,7.767,8.037,101.8,7.1,23.1,2.81,42.1
2024-08-09 00:00:00.000,27.186666666666664,13.368611111111111,7.683,8.031,106.6,7.0,23.1,1.63,16.5
2024-08-14 00:00:00.000,27.177916666666665,13.411666666666667,7.601,8.025,111.3,6.8,23.0,1.41,316.9
2024-08-19 00:00:00.000,27.120416666666664,13.437222222222223,7.522,8.02,116.2,6.5,23.0,2.44,281.8
2024-08-24 00:00:00.000,27.01458333333333,13.444722222222222,7.445,8.014,121.1,6.2,23.0,3.79,269.4
2024-08-29 00:00:00.000,26.86083333333333,13.434444444444445,7.373,8.009,126.1,5.9,22.9,5.21,263.6
2024-09-03 00:00:00.000,26.66041666666666,13.40611111111111,7.304,8.003,131.1,5.5,22.9,6.61,260.3
2024-12-02 00:00:00.000,19.89708333333333,11.277222222222223,7.2,7.901,132.6,5.3,22.8,7.12,248.3
2024-12-07 00:00:00.000,19.695833333333333,11.1975,7.259,7.895,127.3,5.7,22.8,5.62,247.7
2024-12-12 00:00:00.000,19.54375,11.135555555555555,7.322,7.889,122.1,6.1,22.9,4.06,247.0
2024-12-17 00:00:00.000,19.44208333333333,11.091944444444445,7.389,7.883,116.9,6.4,22.9,2.46,245.4
2024-12-22 00:00:00.000,19.392083333333332,11.067222222222222,7.46,7.878,111.8,6.7,22.9,0.84,238.1
2024-12-27 00:00:00.000,19.393749999999994,11.062222222222223,7.533,7.872,106.7,6.9,23.0,0.84,79.5
2025-01-01 00:00:00.000,19.44833333333333,11.0775,7.608,7.866,101.6,7.0,23.0,2.48,72.2
2025-01-06 00:00:00.000,19.554166666666664,11.113055555555555,7.685,7.86,96.7,7.1,23.0,4.12,70.6
2025-01-11 00:00:00.000,19.711666666666666,11.168333333333333,7.763,7.854,91.7,7.2,23.1,5.71,69.9
2025-01-16 00:00:00.000,19.91833333333333,11.243333333333332,7.841,7.848,86.9,7.2,23.1,7.25,69.5
2025-08-04 00:00:00.000,42.85666666666666,20.072222222222223,7.628,7.61,85.2,7.6,23.0,8.64,61.4
