Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-18 00:00:00.000,147.20333333333332,11.85611111111111,9.674,9.718,89.7,5.8,23.1,4.63,133.8,3,306.8
2023-11-23 00:00:00.000,147.29666666666665,11.755833333333333,9.592,9.722,94.6,5.8,23.1,3.52,142.9,3,306.9
2023-11-28 00:00:00.000,147.3475,11.669166666666666,9.512,9.725,99.6,5.7,23.1,2.55,159.9,3,306.9
2023-12-03 00:00:00.000,147.35625,11.596111111111112,9.432,9.728,104.6,5.6,23.0,2.01,190.9,3,307.0
2023-12-08 00:00:00.000,147.32166666666663,11.5375,9.355,9.731,109.7,5.5,23.0,2.26,226.8,3,307.0
2023-12-13 00:00:00.000,147.24416666666664,11.493055555555555,9.28,9.734,114.8,5.3,23.0,3.12,249.0,3,307.1
2023-12-18 00:00:00.000,147.12375,11.462777777777777,9.208,9.737,120.0,5.0,23.0,4.21,260.5,3,307.2
2023-12-23 00:00:00.000,146.9620833333333,11.446666666666667,9.139,9.74,125.2,4.7,22.9,5.35,267.0,3,307.3
2023-12-28 00:00:00.000,146.76083333333332,11.443888888888889,9.076,9.743,130.5,4.4,22.9,6.48,271.0,3,307.4
2024-03-27 00:00:00.000,140.5295833333333,12.450277777777776,9.096,9.797,132.5,4.3,22.9,6.61,278.5,3,309.9
2024-04-01 00:00:00.000,140.325,12.478055555555555,9.162,9.8,127.3,4.7,22.9,5.47,277.1,3,310.0
2024-04-06 00:00:00.000,140.15958333333333,12.495277777777776,9.233,9.803,122.2,5.0,23.0,4.28,274.8,3,310.1
2024-04-11 00:00:00.000,140.03416666666666,12.501666666666667,9.307,9.806,117.2,5.2,23.0,3.06,270.4,3,310.2
2024-04-16 00:00:00.000,139.95041666666665,12.496666666666666,9.385,9.809,112.2,5.4,23.0,1.87,260.0,3,310.2
2024-04-21 00:00:00.000,139.90874999999997,12.48,9.466,9.812,107.3,5.6,23.1,0.91,222.2,3,310.3
2024-04-26 00:00:00.000,139.9083333333333,12.451666666666666,9.548,9.815,102.5,5.7,23.1,1.19,149.8,3,310.3
2024-05-01 00:00:00.000,139.94958333333332,12.411111111111111,9.632,9.818,97.7,5.8,23.1,2.28,127.6,3,310.4
2024-05-06 00:00:00.000,140.03125,12.358888888888888,9.717,9.821,92.9,5.9,23.1,3.46,120.3,3,310.4
2024-05-11 00:00:00.000,140.1533333333333,12.294722222222221,9.803,9.824,88.2,5.9,23.2,4.65,116.9,3,310.4
2024-11-27 00:00:00.000,155.93208333333328,4.595277777777778,9.903,9.933,88.9,5.7,23.2,5.13,143.8,4,308.3
2024-12-02 00:00:00.000,156.01375,4.464166666666667,9.821,9.935,93.8,5.7,23.2,4.15,153.8,4,308.3
2024-12-07 00:00:00.000,156.0545833333333,4.3475,9.74,9.938,98.8,5.6,23.2,3.33,169.4,4,308.4
2024-12-12 00:00:00.000,156.0545833333333,4.245833333333334,9.66,9.94,103.8,5.5,23.1,2.89,192.1,4,308.4
2024-12-17 00:00:00.000,156.01416666666665,4.1594444444444445,9.581,9.943,108.8,5.4,23.1,2.98,217.7,4,308.5
2024-12-22 00:00:00.000,155.93291666666664,4.088888888888889,9.505,9.945,114.0,5.2,23.1,3.57,238.2,4,308.6
2024-12-27 00:00:00.000,155.81166666666664,4.034166666666667,9.432,9.948,119.1,5.0,23.0,4.45,251.7,4,308.7
2025-01-01 00:00:00.000,155.65125,3.9958333333333336,9.363,9.95,124.3,4.7,23.0,5.45,260.4,4,308.8
2025-01-06 00:00:00.000,155.45291666666665,3.9733333333333336,9.298,9.953,129.5,4.4,23.0,6.49,266.2,4,308.9
2025-01-11 00:00:00.000,155.21916666666667,3.966666666666667,9.238,9.955,134.8,4.0,23.0,7.5,270.2,5,309.0
2025-04-06 00:00:00.000,149.4970833333333,5.205555555555556,9.284,9.996,133.3,4.2,23.0,6.68,288.4,4,311.2
2025-04-11 00:00:00.000,149.30291666666665,5.270833333333333,9.347,9.999,128.2,4.5,23.0,5.57,289.1,4,311.3
2025-04-16 00:00:00.000,149.14541666666665,5.326388888888888,9.416,10.001,123.2,4.8,23.1,4.41,290.0,4,311.3
2025-04-21 00:00:00.000,149.0258333333333,5.3711111111111105,9.488,10.003,118.3,5.1,23.1,3.21,291.4,4,311.4
2025-04-26 00:00:00.000,148.94499999999996,5.404444444444445,9.564,10.006,113.3,5.3,23.1,1.99,294.1,4,311.4
2025-05-01 00:00:00.000,148.90416666666664,5.425277777777778,9.643,10.008,108.5,5.5,23.1,0.76,304.7,4,311.4
2025-05-06 00:00:00.000,148.90291666666664,5.433333333333334,9.724,10.01,103.7,5.6,23.2,0.56,85.5,4,311.4
2025-05-11 00:00:00.000,148.94124999999997,5.428055555555556,9.807,10.013,98.9,5.7,23.2,1.75,101.7,4,311.4
2025-05-16 00:00:00.000,149.01791666666665,5.4094444444444445,9.89,10.015,94.2,5.8,23.2,2.96,104.8,4,311.4
2025-05-21 00:00:00.000,149.13208333333333,5.3774999999999995,9.974,10.017,89.5,5.8,23.2,4.14,106.3,4,311.3
2025-12-07 00:00:00.000,164.21416666666664,-2.5016666666666665,10.081,10.101,88.4,5.6,23.3,5.6,150.9,6,308.5
2025-12-12 00:00:00.000,164.2858333333333,-2.6577777777777776,9.999,10.103,93.2,5.6,23.2,4.73,160.7,6,308.5
2025-12-17 00:00:00.000,164.31791666666663,-2.7991666666666664,9.917,10.105,98.2,5.5,23.2,4.03,174.7,6,308.6
2025-12-22 00:00:00.000,164.3108333333333,-2.925,9.837,10.107,103.2,5.4,23.2,3.62,193.1,6,308.6
2025-12-27 00:00:00.000,164.26333333333332,-3.0341666666666667,9.758,10.108,108.2,5.3,23.2,3.63,213.6,6,308.7
2026-01-01 00:00:00.000,164.17666666666668,-3.1266666666666665,9.682,10.11,113.3,5.1,23.2,4.05,231.7,6,308.8
2026-01-06 00:00:00.000,164.05124999999998,-3.2016666666666667,9.608,10.112,118.3,4.9,23.1,4.76,245.3,6,308.9
2026-01-11 00:00:00.000,163.8883333333333,-3.2591666666666668,9.538,10.114,123.5,4.7,23.1,5.62,255.0,6,309.0
2026-01-16 00:00:00.000,163.68916666666667,-3.298611111111111,9.473,10.116,128.6,4.4,23.1,6.55,262.0,6,309.1
2026-01-21 00:00:00.000,163.45541666666665,-3.32,9.412,10.118,133.8,4.0,23.0,7.49,267.1,6,309.3
2026-04-16 00:00:00.000,157.89666666666668,-1.8902777777777777,9.428,10.148,133.7,4.1,23.0,6.79,296.7,6,311.5
2026-04-21 00:00:00.000,157.71166666666664,-1.7925,9.49,10.149,128.8,4.4,23.1,5.74,299.1,6,311.6
2026-04-26 00:00:00.000,157.56249999999997,-1.7044444444444444,9.556,10.151,123.8,4.7,23.1,4.64,302.5,6,311.6
2026-05-01 00:00:00.000,157.4508333333333,-1.6269444444444445,9.626,10.153,119.0,5.0,23.1,3.53,307.7,6,311.7
2026-05-06 00:00:00.000,157.37666666666664,-1.5608333333333333,9.7,10.154,114.1,5.2,23.2,2.45,317.3,6,311.7
2026-05-11 00:00:00.000,157.34041666666664,-1.5072222222222222,9.777,10.156,109.3,5.4,23.2,1.5,340.1,6,311.7
2026-05-16 00:00:00.000,157.34249999999997,-1.4669444444444446,9.856,10.157,104.6,5.5,23.2,1.19,32.5,5,311.6
2026-05-21 00:00:00.000,157.38291666666663,-1.4405555555555556,9.937,10.159,99.9,5.6,23.2,1.87,72.2,5,311.6
2026-05-26 00:00:00.000,157.4608333333333,-1.4288888888888889,10.019,10.161,95.2,5.7,23.3,2.9,87.4,5,311.5
2026-05-31 00:00:00.000,157.57583333333332,-1.4316666666666666,10.101,10.162,90.6,5.7,23.3,3.99,94.5,5,311.5
2026-06-05 00:00:00.000,157.72583333333333,-1.4497222222222221,10.184,10.164,86.0,5.7,23.3,5.08,98.6,5,311.4
2026-12-17 00:00:00.000,172.39624999999998,-9.363888888888889,10.206,10.218,87.9,5.5,23.3,6.05,155.6,7,307.6
2026-12-22 00:00:00.000,172.46124999999998,-9.540277777777778,10.124,10.22,92.8,5.5,23.3,5.25,165.0,7,307.6
2026-12-27 00:00:00.000,172.48749999999995,-9.701944444444443,10.043,10.221,97.7,5.5,23.3,4.61,177.5,7,307.7
2027-01-01 00:00:00.000,172.4745833333333,-9.847222222222223,9.962,10.222,102.6,5.4,23.2,4.23,193.3,7,307.8
2027-01-06 00:00:00.000,172.4220833333333,-9.975833333333334,9.883,10.223,107.6,5.3,23.2,4.18,210.8,7,307.9
2027-01-11 00:00:00.000,172.32999999999996,-10.086666666666668,9.807,10.224,112.6,5.1,23.2,4.48,227.2,7,308.0
2027-01-16 00:00:00.000,172.19958333333332,-10.178888888888888,9.733,10.226,117.6,4.9,23.2,5.06,240.6,7,308.1
2027-01-21 00:00:00.000,172.0320833333333,-10.251944444444444,9.663,10.227,122.6,4.6,23.1,5.8,250.8,7,308.2
2027-01-26 00:00:00.000,171.82916666666662,-10.306111111111111,9.597,10.228,127.7,4.4,23.1,6.62,258.4,8,308.3
2027-01-31 00:00:00.000,171.5933333333333,-10.340277777777779,9.535,10.229,132.7,4.1,23.1,7.48,264.3,8,308.5
2027-04-26 00:00:00.000,166.09874999999997,-8.76,9.523,10.247,133.9,4.1,23.1,6.95,303.7,7,310.9
2027-05-01 00:00:00.000,165.92125,-8.635,9.583,10.248,129.1,4.4,23.1,5.98,307.3,7,311.0
2027-05-06 00:00:00.000,165.77874999999997,-8.51888888888889,9.646,10.249,124.3,4.7,23.1,4.97,312.3,7,311.0
2027-05-11 00:00:00.000,165.67374999999998,-8.412777777777778,9.714,10.25,119.5,4.9,23.2,3.96,319.6,7,311.0
2027-05-16 00:00:00.000,165.6058333333333,-8.318055555555555,9.786,10.251,114.8,5.1,23.2,3.02,331.4,7,311.0
2027-05-21 00:00:00.000,165.57583333333332,-8.23611111111111,9.86,10.252,110.0,5.3,23.2,2.29,351.8,7,311.0
2027-05-26 00:00:00.000,165.58374999999998,-8.167499999999999,9.937,10.252,105.4,5.5,23.3,2.01,23.2,7,310.9
2027-05-31 00:00:00.000,165.62916666666666,-8.113333333333333,10.016,10.253,100.7,5.6,23.3,2.37,53.6,7,310.9
2027-06-05 00:00:00.000,165.7120833333333,-8.074166666666667,10.096,10.254,96.1,5.6,23.3,3.15,72.6,7,310.8
2027-06-10 00:00:00.000,165.83124999999998,-8.050555555555556,10.177,10.255,91.6,5.7,23.3,4.1,83.5,7,310.7
2027-06-15 00:00:00.000,165.98583333333335,-8.043055555555556,10.258,10.256,87.0,5.7,23.3,5.1,90.2,7,310.6
