Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,6.451666666666666,-5.116388888888888,4.772,4.96,94.7,11.8,22.0,11.31,84.4,0.0,65.3
2023-07-06 00:00:00.000,6.7941666666666665,-5.095,4.704,4.967,99.1,11.7,21.9,9.21,89.0,0.0,65.4
2023-07-11 00:00:00.000,7.0666666666666655,-5.105555555555555,4.636,4.974,103.6,11.5,21.9,7.12,96.5,0.0,65.4
2023-07-16 00:00:00.000,7.266666666666666,-5.148333333333333,4.57,4.981,108.1,11.2,21.9,5.17,110.0,0.0,65.5
2023-07-21 00:00:00.000,7.391666666666666,-5.223333333333334,4.506,4.988,112.8,10.8,21.8,3.76,136.3,0.0,65.6
2023-07-26 00:00:00.000,7.440416666666666,-5.329444444444444,4.444,4.995,117.5,10.4,21.8,3.66,175.1,0.0,65.6
2023-07-31 00:00:00.000,7.412499999999999,-5.4655555555555555,4.385,5.001,122.3,9.9,21.7,4.93,203.5,0.0,65.7
2023-08-05 00:00:00.000,7.308333333333333,-5.630277777777779,4.33,5.008,127.1,9.3,21.7,6.82,218.4,0.0,65.7
2023-08-10 00:00:00.000,7.129166666666666,-5.821666666666666,4.279,5.015,132.1,8.6,21.6,8.91,226.6,0.0,65.8
2023-11-03 00:00:00.000,358.7008333333333,-9.314722222222223,4.387,5.132,134.5,7.9,21.7,9.38,268.3,0.0,66.9
2023-11-08 00:00:00.000,358.4191666666666,-9.305555555555557,4.452,5.138,129.4,8.6,21.8,7.33,276.4,0.0,66.8
2023-11-13 00:00:00.000,358.2095833333333,-9.26,4.522,5.145,124.3,9.1,21.8,5.44,290.6,0.0,66.7
2023-11-18 00:00:00.000,358.07583333333326,-9.178055555555554,4.597,5.152,119.2,9.6,21.9,4.12,316.6,0.0,66.7
2023-11-23 00:00:00.000,358.01874999999995,-9.060833333333335,4.674,5.159,114.2,10.1,21.9,4.07,352.1,0.0,66.6
2023-11-28 00:00:00.000,358.03791666666666,-8.910277777777779,4.755,5.166,109.3,10.4,22.0,5.29,18.7,0.0,66.4
2023-12-03 00:00:00.000,358.13249999999994,-8.727500000000001,4.837,5.173,104.5,10.6,22.0,7.12,33.3,0.0,66.3
2023-12-08 00:00:00.000,358.3012499999999,-8.514166666666666,4.922,5.179,99.7,10.8,22.1,9.16,41.7,0.0,66.2
2023-12-13 00:00:00.000,358.54249999999996,-8.272222222222224,5.008,5.186,95.0,10.9,22.1,11.24,46.9,0.0,66.0
2023-12-18 00:00:00.000,358.85374999999993,-8.003333333333334,5.094,5.193,90.3,10.9,22.2,13.3,50.5,0.0,65.9
2023-12-23 00:00:00.000,359.2316666666666,-7.7091666666666665,5.18,5.2,85.7,10.9,22.2,15.27,53.1,0.0,65.7
2024-07-25 00:00:00.000,34.45416666666666,7.445,5.43,5.481,87.5,10.7,22.4,11.76,79.8,,
2024-07-30 00:00:00.000,34.81208333333333,7.5025,5.358,5.487,91.9,10.7,22.4,9.81,82.0,,
2024-08-04 00:00:00.000,35.10625,7.536111111111111,5.287,5.493,96.4,10.6,22.4,7.79,85.2,,
2024-08-09 00:00:00.000,35.33375,7.545555555555556,5.216,5.499,100.9,10.4,22.3,5.74,90.7,,
2024-08-14 00:00:00.000,35.49208333333333,7.5313888888888885,5.146,5.505,105.6,10.2,22.3,3.75,102.0,,
2024-08-19 00:00:00.000,35.57958333333333,7.493888888888889,5.078,5.511,110.3,9.9,22.3,2.14,133.5,,
2024-08-24 00:00:00.000,35.59583333333333,7.433333333333334,5.013,5.517,115.0,9.6,22.2,2.23,195.4,,
2024-08-29 00:00:00.000,35.539583333333326,7.350555555555555,4.95,5.524,119.9,9.1,22.2,3.94,224.5,,
2024-09-03 00:00:00.000,35.41041666666666,7.246111111111111,4.891,5.53,124.9,8.6,22.1,6.01,235.0,,
2024-09-08 00:00:00.000,35.20916666666666,7.121388888888888,4.835,5.536,129.9,8.0,22.1,8.11,240.2,,
2024-12-07 00:00:00.000,26.351666666666663,4.516944444444444,4.947,5.64,130.8,7.6,22.2,8.33,271.7,,
2024-12-12 00:00:00.000,26.107499999999998,4.539722222222222,5.017,5.646,125.5,8.2,22.2,6.36,280.1,,
2024-12-17 00:00:00.000,25.93333333333333,4.591388888888889,5.09,5.652,120.4,8.6,22.3,4.6,295.5,,
2024-12-22 00:00:00.000,25.83,4.671388888888889,5.167,5.657,115.2,9.0,22.3,3.47,324.5,,
2024-12-27 00:00:00.000,25.79875,4.779166666666667,5.247,5.663,110.2,9.4,22.4,3.65,2.2,,
2025-01-01 00:00:00.000,25.839166666666667,4.91388888888889,5.33,5.668,105.2,9.6,22.4,4.99,27.2,,
2025-01-06 00:00:00.000,25.950833333333332,5.0744444444444445,5.415,5.674,100.3,9.8,22.5,6.79,40.2,,
2025-01-11 00:00:00.000,26.13208333333333,5.259166666666666,5.501,5.679,95.5,9.9,22.5,8.71,47.5,,
2025-01-16 00:00:00.000,26.37958333333333,5.466388888888889,5.587,5.685,90.7,10.0,22.5,10.62,52.0,,
2025-01-21 00:00:00.000,26.69208333333333,5.6947222222222225,5.673,5.69,86.0,9.9,22.6,12.5,55.1,,
2025-08-19 00:00:00.000,59.16958333333333,16.697222222222223,5.887,5.893,85.4,9.9,22.7,10.91,80.7,,
2025-08-24 00:00:00.000,59.51291666666666,16.749166666666667,5.812,5.897,89.9,9.9,22.7,9.05,81.4,,
2025-08-29 00:00:00.000,59.79166666666666,16.787222222222223,5.737,5.901,94.4,9.8,22.7,7.11,82.4,,
