Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-26 00:00:00.000,256.97416666666663,-13.25,7.092,7.831,133.9,5.4,25.0,9.23,265.3,51,85.7
2023-07-31 00:00:00.000,256.68249999999995,-13.280555555555557,7.139,7.818,129.0,5.8,25.0,7.9,262.4,50,85.7
2023-08-05 00:00:00.000,256.4387499999999,-13.32,7.191,7.804,124.1,6.2,25.0,6.52,258.3,50,85.8
2023-08-10 00:00:00.000,256.2454166666666,-13.368611111111111,7.246,7.791,119.2,6.5,25.1,5.13,252.0,49,85.9
2023-08-15 00:00:00.000,256.1045833333333,-13.425277777777778,7.305,7.778,114.3,6.8,25.1,3.79,241.2,49,86.0
2023-08-20 00:00:00.000,256.0179166666666,-13.489999999999998,7.367,7.764,109.5,7.1,25.1,2.68,220.2,48,86.0
2023-08-25 00:00:00.000,255.98624999999998,-13.561666666666667,7.432,7.751,104.8,7.2,25.1,2.25,183.2,48,86.1
2023-08-30 00:00:00.000,256.00916666666666,-13.639444444444443,7.497,7.738,100.0,7.4,25.2,2.83,148.7,47,86.2
2023-09-04 00:00:00.000,256.0866666666666,-13.722777777777777,7.564,7.724,95.3,7.5,25.2,3.98,130.1,47,86.2
2023-09-09 00:00:00.000,256.2183333333333,-13.810555555555556,7.632,7.71,90.7,7.5,25.2,5.34,120.3,46,86.3
2023-09-14 00:00:00.000,256.4029166666666,-13.901944444444444,7.7,7.697,86.1,7.5,25.2,6.75,114.4,46,86.3
2024-03-27 00:00:00.000,279.94791666666663,-13.337777777777779,7.112,7.124,86.7,8.0,24.9,9.1,59.9,69,82.0
2024-04-01 00:00:00.000,280.1904166666667,-13.185555555555556,7.015,7.109,91.3,8.1,24.9,7.76,53.9,71,81.9
2024-04-06 00:00:00.000,280.3766666666666,-13.03361111111111,6.918,7.093,96.0,8.1,24.8,6.47,45.3,72,81.8
2024-04-11 00:00:00.000,280.50499999999994,-12.8825,6.822,7.077,100.7,8.0,24.8,5.34,32.7,73,81.7
2024-04-16 00:00:00.000,280.57374999999996,-12.734166666666665,6.727,7.061,105.4,7.9,24.7,4.55,14.5,74,81.6
2024-04-21 00:00:00.000,280.5825,-12.58888888888889,6.635,7.045,110.2,7.7,24.7,4.34,351.7,75,81.5
2024-04-26 00:00:00.000,280.53083333333325,-12.448333333333334,6.544,7.029,115.0,7.5,24.7,4.78,330.0,76,81.5
2024-05-01 00:00:00.000,280.4191666666666,-12.313055555555556,6.457,7.013,119.8,7.2,24.6,5.75,313.6,77,81.4
2024-05-06 00:00:00.000,280.2475,-12.184444444444445,6.373,6.997,124.7,6.8,24.6,7.0,302.4,78,81.4
2024-05-11 00:00:00.000,280.01666666666665,-12.063333333333334,6.293,6.981,129.6,6.4,24.5,8.38,294.7,79,81.3
2024-05-16 00:00:00.000,279.72916666666663,-11.950833333333332,6.218,6.964,134.5,5.9,24.5,9.79,289.3,80,81.3
2024-08-09 00:00:00.000,271.3366666666666,-11.839444444444444,5.94,6.68,133.6,6.3,24.3,10.22,254.7,76,81.9
2024-08-14 00:00:00.000,271.02916666666664,-11.932777777777778,5.982,6.662,128.7,6.8,24.3,8.69,250.5,75,82.0
2024-08-19 00:00:00.000,270.7795833333333,-12.0325,6.028,6.645,123.8,7.3,24.3,7.14,244.4,74,82.1
2024-08-24 00:00:00.000,270.5908333333333,-12.138055555555555,6.079,6.628,119.0,7.7,24.4,5.65,235.1,73,82.2
2024-08-29 00:00:00.000,270.4645833333333,-12.247777777777777,6.133,6.61,114.1,8.0,24.4,4.34,219.5,72,82.3
2024-09-03 00:00:00.000,270.4025,-12.360833333333334,6.189,6.593,109.4,8.3,24.4,3.54,194.0,72,82.4
2024-09-08 00:00:00.000,270.40624999999994,-12.476111111111111,6.248,6.575,104.6,8.5,24.5,3.63,162.9,71,82.5
2024-09-13 00:00:00.000,270.4754166666666,-12.591944444444445,6.309,6.558,99.9,8.7,24.5,4.58,139.5,70,82.6
2024-09-18 00:00:00.000,270.6091666666666,-12.7075,6.371,6.54,95.3,8.8,24.5,5.95,125.4,70,82.7
2024-09-23 00:00:00.000,270.80625,-12.821666666666667,6.433,6.522,90.7,8.8,24.5,7.5,116.9,69,82.8
2024-09-28 00:00:00.000,271.06624999999997,-12.933055555555555,6.496,6.505,86.1,8.8,24.5,9.11,111.2,69,82.9
2025-04-21 00:00:00.000,301.655,-8.716666666666667,5.662,5.731,88.9,10.1,24.0,12.55,53.7,116,77.6
2025-04-26 00:00:00.000,301.965,-8.4725,5.564,5.711,93.3,10.1,24.0,10.96,48.8,119,77.5
2025-05-01 00:00:00.000,302.2104166666666,-8.236666666666666,5.466,5.691,97.8,10.1,23.9,9.37,42.3,121,77.4
