Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-26 00:00:00.000,27.425416666666663,30.66722222222222,22.926,22.879,86.1,2.5,22.1,2.87,11.7
2023-07-31 00:00:00.000,27.437916666666663,30.758055555555554,22.843,22.876,90.6,2.5,22.1,2.64,1.8
2023-08-05 00:00:00.000,27.431666666666665,30.842777777777776,22.76,22.873,95.1,2.5,22.1,2.48,350.4
2023-08-10 00:00:00.000,27.405833333333327,30.920833333333334,22.678,22.87,99.6,2.5,22.0,2.42,337.9
2023-08-15 00:00:00.000,27.36083333333333,30.991944444444446,22.597,22.867,104.2,2.5,22.0,2.46,325.3
2023-08-20 00:00:00.000,27.29708333333333,31.055555555555557,22.518,22.863,108.8,2.4,22.0,2.6,313.5
2023-08-25 00:00:00.000,27.21458333333333,31.11138888888889,22.441,22.86,113.3,2.3,22.0,2.81,303.4
2023-08-30 00:00:00.000,27.114166666666662,31.15888888888889,22.367,22.857,117.9,2.2,22.0,3.08,294.9
2023-09-04 00:00:00.000,26.99708333333333,31.197777777777777,22.297,22.854,122.4,2.1,22.0,3.38,287.9
2023-09-09 00:00:00.000,26.863749999999992,31.227777777777778,22.231,22.851,127.0,2.0,22.0,3.7,282.0
2023-09-14 00:00:00.000,26.715416666666663,31.24888888888889,22.169,22.848,131.5,1.9,22.0,4.02,277.1
2023-12-08 00:00:00.000,23.581666666666663,30.447222222222223,22.091,22.793,134.6,1.8,21.9,3.96,232.2
2023-12-13 00:00:00.000,23.469583333333333,30.366944444444446,22.146,22.79,129.9,1.9,21.9,3.58,228.3
2023-12-18 00:00:00.000,23.37583333333333,30.288611111111113,22.206,22.787,125.2,2.0,22.0,3.18,223.4
2023-12-23 00:00:00.000,23.30083333333333,30.213055555555556,22.27,22.784,120.4,2.1,22.0,2.78,217.3
2023-12-28 00:00:00.000,23.245833333333326,30.141388888888887,22.338,22.78,115.6,2.2,22.0,2.4,209.2
2024-01-02 00:00:00.000,23.210833333333326,30.073888888888888,22.409,22.777,110.8,2.3,22.0,2.05,198.3
2024-01-07 00:00:00.000,23.196249999999996,30.011666666666667,22.483,22.774,106.0,2.4,22.0,1.79,183.5
2024-01-12 00:00:00.000,23.202499999999997,29.955277777777777,22.56,22.771,101.2,2.4,22.0,1.65,164.8
2024-01-17 00:00:00.000,23.229583333333327,29.905555555555555,22.637,22.767,96.4,2.5,22.0,1.69,145.0
2024-01-22 00:00:00.000,23.277083333333334,29.86277777777778,22.716,22.764,91.6,2.5,22.0,1.9,128.0
2024-01-27 00:00:00.000,23.344583333333333,29.82777777777778,22.795,22.761,86.8,2.5,22.0,2.22,115.0
2024-07-30 00:00:00.000,30.152083333333326,32.77722222222222,22.661,22.639,87.5,2.6,22.0,2.92,8.6
2024-08-04 00:00:00.000,30.15916666666666,32.870555555555555,22.578,22.636,92.0,2.6,22.0,2.71,358.5
2024-08-09 00:00:00.000,30.146249999999995,32.95777777777778,22.496,22.632,96.5,2.6,22.0,2.58,347.0
2024-08-14 00:00:00.000,30.113333333333333,33.03805555555555,22.414,22.629,101.0,2.5,22.0,2.55,334.8
2024-08-19 00:00:00.000,30.060416666666665,33.111111111111114,22.334,22.626,105.5,2.5,22.0,2.61,322.9
2024-08-24 00:00:00.000,29.98833333333333,33.17666666666666,22.256,22.622,110.0,2.4,22.0,2.76,312.0
2024-08-29 00:00:00.000,29.89708333333333,33.23416666666667,22.181,22.619,114.5,2.3,22.0,2.99,302.4
2024-09-03 00:00:00.000,29.787499999999998,33.283055555555556,22.108,22.616,119.1,2.2,21.9,3.26,294.2
2024-09-08 00:00:00.000,29.660416666666663,33.32333333333334,22.039,22.612,123.6,2.1,21.9,3.56,287.5
2024-09-13 00:00:00.000,29.517083333333332,33.35444444444445,21.974,22.609,128.1,2.0,21.9,3.87,281.8
2024-09-18 00:00:00.000,29.358749999999997,33.376111111111115,21.914,22.606,132.5,1.9,21.9,4.17,277.1
2024-12-12 00:00:00.000,26.139166666666664,32.546388888888885,21.87,22.548,132.6,1.8,21.9,3.88,229.7
2024-12-17 00:00:00.000,26.03125,32.46333333333334,21.926,22.545,127.9,2.0,21.9,3.51,225.3
2024-12-22 00:00:00.000,25.9425,32.382222222222225,21.987,22.541,123.2,2.1,21.9,3.12,219.8
2024-12-27 00:00:00.000,25.87375,32.303888888888885,22.052,22.538,118.5,2.2,21.9,2.73,212.8
2025-01-01 00:00:00.000,25.825833333333332,32.22944444444445,22.121,22.534,113.7,2.3,21.9,2.37,203.6
2025-01-06 00:00:00.000,25.799166666666665,32.159444444444446,22.192,22.531,109.0,2.4,22.0,2.06,191.3
2025-01-11 00:00:00.000,25.794166666666666,32.095,22.266,22.528,104.2,2.4,22.0,1.85,175.7
2025-01-16 00:00:00.000,25.810416666666665,32.03638888888889,22.343,22.524,99.4,2.5,22.0,1.79,157.7
2025-01-21 00:00:00.000,25.847499999999997,31.984444444444446,22.42,22.521,94.6,2.5,22.0,1.9,140.0
2025-01-26 00:00:00.000,25.90625,31.939722222222223,22.498,22.517,89.9,2.5,22.0,2.14,125.1
2025-01-31 00:00:00.000,25.985416666666666,31.9025,22.576,22.514,85.1,2.5,22.0,2.48,113.6
2025-08-04 00:00:00.000,33.069583333333334,34.8725,22.385,22.386,88.8,2.6,22.0,2.98,5.8
2025-08-09 00:00:00.000,33.07125,34.968333333333334,22.302,22.382,93.2,2.6,22.0,2.79,355.7
2025-08-14 00:00:00.000,33.052499999999995,35.05777777777777,22.221,22.379,97.7,2.6,22.0,2.69,344.4
2025-08-19 00:00:00.000,33.0125,35.14055555555556,22.14,22.375,102.2,2.5,22.0,2.68,332.6
