Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-29 00:00:00.000,99.67458333333332,28.998611111111114,14.882,14.86,86.8,3.9,24.8,2.52,76.4,58,280.7
2023-10-04 00:00:00.000,99.7525,29.019444444444442,14.802,14.864,91.6,3.9,24.8,1.75,68.0,58,280.7
2023-10-09 00:00:00.000,99.79833333333332,29.042222222222225,14.721,14.867,96.5,3.8,24.8,1.06,47.4,58,280.7
2023-10-14 00:00:00.000,99.81166666666667,29.066944444444445,14.642,14.871,101.4,3.8,24.7,0.77,354.1,59,280.7
2023-10-19 00:00:00.000,99.79208333333332,29.093333333333334,14.564,14.875,106.3,3.7,24.7,1.24,310.9,59,280.7
2023-10-24 00:00:00.000,99.73999999999998,29.121111111111112,14.488,14.879,111.3,3.6,24.7,1.98,295.4,60,280.6
2023-10-29 00:00:00.000,99.6558333333333,29.149722222222223,14.415,14.882,116.4,3.4,24.7,2.76,288.4,60,280.6
2023-11-03 00:00:00.000,99.54041666666666,29.179166666666667,14.345,14.886,121.4,3.3,24.7,3.54,284.4,60,280.5
2023-11-08 00:00:00.000,99.39458333333333,29.20861111111111,14.279,14.89,126.5,3.1,24.6,4.31,281.8,60,280.4
2023-11-13 00:00:00.000,99.21874999999999,29.23777777777778,14.217,14.893,131.6,2.8,24.6,5.04,279.9,61,280.4
2024-02-11 00:00:00.000,94.15624999999999,29.290277777777778,14.279,14.957,132.0,2.8,24.6,5.1,259.9,57,278.5
2024-02-16 00:00:00.000,93.97833333333332,29.259166666666665,14.348,14.96,126.8,3.0,24.7,4.38,257.2,57,278.4
2024-02-21 00:00:00.000,93.83,29.225555555555555,14.421,14.964,121.7,3.2,24.7,3.64,253.4,57,278.4
2024-02-26 00:00:00.000,93.71249999999999,29.19,14.498,14.967,116.6,3.4,24.7,2.89,247.7,56,278.4
2024-03-02 00:00:00.000,93.62624999999998,29.152777777777775,14.579,14.97,111.5,3.5,24.7,2.17,238.2,56,278.4
2024-03-07 00:00:00.000,93.57208333333332,29.11388888888889,14.662,14.974,106.5,3.6,24.8,1.54,220.1,56,278.4
2024-03-12 00:00:00.000,93.55083333333333,29.074166666666667,14.748,14.977,101.5,3.7,24.8,1.21,186.2,55,278.4
2024-03-17 00:00:00.000,93.56208333333332,29.033611111111114,14.834,14.98,96.5,3.8,24.8,1.43,149.4,55,278.5
2024-03-22 00:00:00.000,93.60583333333332,28.9925,14.922,14.984,91.6,3.8,24.8,2.0,128.3,55,278.5
2024-03-27 00:00:00.000,93.68166666666666,28.950833333333332,15.01,14.987,86.8,3.8,24.8,2.7,117.5,55,278.6
2024-10-03 00:00:00.000,105.16458333333333,27.97472222222222,15.131,15.104,86.5,3.8,24.8,2.46,81.2,65,283.3
2024-10-08 00:00:00.000,105.24125,27.98888888888889,15.05,15.107,91.4,3.8,24.8,1.68,73.7,66,283.3
