Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-16 00:00:00.000,249.79499999999996,-5.789444444444444,4.747,5.5,133.8,7.7,23.8,12.82,273.4,0,49.7
2023-07-21 00:00:00.000,249.40041666666667,-5.776944444444444,4.808,5.505,129.0,8.2,23.9,10.73,270.0,0,49.5
2023-07-26 00:00:00.000,249.07750000000001,-5.789166666666667,4.874,5.509,124.2,8.8,23.9,8.59,265.3,0,49.3
2023-07-31 00:00:00.000,248.82791666666662,-5.823611111111111,4.943,5.514,119.5,9.2,24.0,6.48,257.9,0,49.1
2023-08-05 00:00:00.000,248.65291666666664,-5.8788888888888895,5.016,5.518,114.8,9.6,24.0,4.54,244.7,0,48.9
2023-08-10 00:00:00.000,248.55291666666662,-5.952777777777778,5.091,5.523,110.1,9.9,24.1,3.1,216.9,0,48.8
2023-08-15 00:00:00.000,248.52791666666664,-6.043333333333333,5.169,5.527,105.5,10.2,24.1,2.97,172.6,0,48.7
2023-08-20 00:00:00.000,248.57791666666665,-6.148611111111111,5.249,5.531,101.0,10.3,24.2,4.24,142.3,0,48.6
2023-08-25 00:00:00.000,248.70166666666665,-6.266111111111111,5.329,5.536,96.5,10.5,24.2,6.02,127.8,0,48.5
2023-08-30 00:00:00.000,248.89624999999995,-6.393611111111111,5.411,5.54,92.1,10.5,24.2,7.9,120.0,0,48.4
2023-09-04 00:00:00.000,249.1595833333333,-6.529166666666667,5.492,5.543,87.7,10.5,24.3,9.78,115.2,0,48.3
2024-03-27 00:00:00.000,280.79083333333324,-2.9630555555555556,5.615,5.622,85.3,10.2,24.3,15.87,37.9,0,45.7
2024-04-01 00:00:00.000,281.0829166666667,-2.5419444444444443,5.539,5.622,89.6,10.2,24.3,14.89,31.3,0,45.6
2024-04-06 00:00:00.000,281.30541666666664,-2.115277777777778,5.463,5.622,94.0,10.2,24.3,14.04,23.6,0,45.6
2024-04-11 00:00:00.000,281.45666666666665,-1.6847222222222222,5.388,5.621,98.3,10.2,24.2,13.39,14.9,0,45.5
2024-04-16 00:00:00.000,281.53416666666664,-1.2533333333333334,5.313,5.621,102.8,10.0,24.2,12.98,5.4,0,45.4
2024-04-21 00:00:00.000,281.5370833333333,-0.8238888888888889,5.241,5.62,107.2,9.8,24.2,12.88,355.4,0,45.3
2024-04-26 00:00:00.000,281.4654166666666,-0.39861111111111114,5.171,5.62,111.6,9.6,24.1,13.08,345.5,0,45.3
2024-05-01 00:00:00.000,281.31874999999997,0.019444444444444445,5.103,5.619,116.0,9.3,24.1,13.58,336.0,0,45.2
2024-05-06 00:00:00.000,281.09708333333333,0.4272222222222222,5.039,5.618,120.5,8.9,24.1,14.33,327.2,0,45.1
2024-05-11 00:00:00.000,280.80208333333326,0.8211111111111111,4.979,5.618,124.8,8.5,24.0,15.25,319.4,0,45.0
2024-05-16 00:00:00.000,280.43625,1.1975,4.923,5.617,129.2,8.0,24.0,16.28,312.5,0,44.9
2024-05-21 00:00:00.000,280.00333333333333,1.553611111111111,4.872,5.616,133.4,7.5,23.9,17.35,306.6,0,44.9
2024-08-04 00:00:00.000,270.5733333333333,2.9141666666666666,4.853,5.588,132.4,7.7,23.9,14.32,249.6,0,42.5
2024-08-09 00:00:00.000,270.1583333333333,2.7355555555555555,4.901,5.586,128.2,8.2,23.9,12.77,243.5,0,42.3
2024-08-14 00:00:00.000,269.8120833333333,2.5352777777777775,4.953,5.583,124.0,8.7,24.0,11.23,235.9,0,42.2
2024-08-19 00:00:00.000,269.5379166666666,2.3169444444444443,5.01,5.58,119.6,9.1,24.0,9.83,226.4,0,42.1
2024-08-24 00:00:00.000,269.3379166666667,2.084166666666667,5.07,5.577,115.3,9.4,24.1,8.67,214.3,0,42.0
2024-08-29 00:00:00.000,269.2125,1.840277777777778,5.133,5.574,111.0,9.7,24.1,7.9,199.3,0,41.9
2024-09-03 00:00:00.000,269.16375,1.5880555555555558,5.198,5.571,106.6,10.0,24.1,7.66,182.5,0,41.9
2024-09-08 00:00:00.000,269.19041666666664,1.331388888888889,5.265,5.568,102.3,10.2,24.2,7.98,165.9,0,41.8
2024-09-13 00:00:00.000,269.29249999999996,1.0730555555555557,5.334,5.565,98.1,10.3,24.2,8.79,151.7,0,41.8
