Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-25 00:00:00.000,288.83374999999995,2.4316666666666666,16.945,17.66,133.8,2.4,24.6,5.56,238.7
2023-08-30 00:00:00.000,288.6845833333333,2.3333333333333335,17.015,17.676,129.7,2.5,24.6,5.16,234.2
2023-09-04 00:00:00.000,288.5545833333333,2.2311111111111113,17.089,17.693,125.4,2.7,24.6,4.75,229.1
2023-09-09 00:00:00.000,288.44541666666663,2.1258333333333335,17.167,17.709,121.1,2.8,24.6,4.35,222.9
2023-09-14 00:00:00.000,288.35749999999996,2.0188888888888887,17.249,17.725,116.8,2.9,24.7,3.96,215.5
2023-09-19 00:00:00.000,288.29208333333327,1.911111111111111,17.335,17.741,112.3,3.0,24.7,3.62,206.5
2023-09-24 00:00:00.000,288.2495833333333,1.8030555555555556,17.423,17.757,107.9,3.1,24.7,3.35,195.9
2023-09-29 00:00:00.000,288.2308333333333,1.696388888888889,17.514,17.774,103.4,3.1,24.7,3.19,184.0
2023-10-04 00:00:00.000,288.23499999999996,1.5911111111111114,17.607,17.79,99.0,3.2,24.7,3.15,171.2
2023-10-09 00:00:00.000,288.26291666666657,1.488888888888889,17.7,17.806,94.5,3.2,24.7,3.25,158.6
2023-10-14 00:00:00.000,288.3137499999999,1.3897222222222223,17.794,17.822,90.0,3.2,24.8,3.46,147.1
2023-10-19 00:00:00.000,288.38833333333326,1.2952777777777778,17.889,17.838,85.5,3.2,24.8,3.78,137.1
2024-04-16 00:00:00.000,296.01041666666663,2.7977777777777777,18.421,18.409,87.8,3.1,24.9,3.66,14.1
2024-04-21 00:00:00.000,296.02916666666664,2.9144444444444444,18.359,18.425,92.2,3.1,24.9,3.45,3.7
2024-04-26 00:00:00.000,296.0254166666667,3.027222222222222,18.297,18.441,96.7,3.1,24.9,3.34,352.5
2024-05-01 00:00:00.000,296.0,3.1352777777777776,18.236,18.456,101.1,3.1,24.9,3.35,340.9
2024-05-06 00:00:00.000,295.95249999999993,3.2377777777777776,18.177,18.472,105.5,3.0,24.9,3.46,329.7
2024-05-11 00:00:00.000,295.88333333333327,3.334166666666667,18.119,18.487,109.9,2.9,24.9,3.67,319.5
2024-05-16 00:00:00.000,295.79374999999993,3.423611111111111,18.064,18.503,114.3,2.9,24.8,3.94,310.7
2024-05-21 00:00:00.000,295.68375,3.5055555555555555,18.013,18.518,118.6,2.8,24.8,4.27,303.2
2024-05-26 00:00:00.000,295.55541666666664,3.5791666666666666,17.964,18.534,122.9,2.6,24.8,4.62,296.8
2024-05-31 00:00:00.000,295.40916666666664,3.6438888888888887,17.92,18.55,127.1,2.5,24.8,4.98,291.4
2024-06-05 00:00:00.000,295.24625000000003,3.6997222222222224,17.88,18.565,131.3,2.4,24.8,5.33,286.7
2024-08-29 00:00:00.000,291.74791666666664,3.1630555555555553,18.128,18.827,132.6,2.3,24.9,5.22,236.1
2024-09-03 00:00:00.000,291.61249999999995,3.0641666666666665,18.198,18.842,128.5,2.4,24.9,4.84,231.5
2024-09-08 00:00:00.000,291.49541666666664,2.9625000000000004,18.272,18.857,124.2,2.5,24.9,4.46,226.1
2024-09-13 00:00:00.000,291.3979166666666,2.858611111111111,18.35,18.872,119.9,2.6,24.9,4.08,219.8
2024-09-18 00:00:00.000,291.32125,2.7536111111111112,18.433,18.888,115.5,2.8,24.9,3.73,212.2
2024-09-23 00:00:00.000,291.2654166666667,2.6483333333333334,18.518,18.903,111.1,2.8,24.9,3.43,203.2
