Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-24 00:00:00.000,126.29499999999997,21.505555555555556,4.608,4.656,86.6,12.3,22.2,16.15,111.1,1,294.4
2023-10-29 00:00:00.000,126.7945833333333,21.31888888888889,4.534,4.659,91.0,12.3,22.2,13.9,112.7,1,294.6
2023-11-03 00:00:00.000,127.21083333333333,21.1475,4.46,4.663,95.6,12.2,22.1,11.54,115.2,1,294.7
2023-11-08 00:00:00.000,127.53958333333331,20.9925,4.386,4.666,100.3,12.1,22.1,9.09,119.0,1,294.8
2023-11-13 00:00:00.000,127.7775,20.854722222222225,4.314,4.67,105.1,11.8,22.0,6.61,125.8,1,294.9
2023-11-18 00:00:00.000,127.92125,20.735,4.243,4.673,109.9,11.5,22.0,4.27,140.9,1,295.0
2023-11-23 00:00:00.000,127.96874999999999,20.633888888888887,4.174,4.677,114.9,11.0,22.0,2.75,180.3,1,295.0
2023-11-28 00:00:00.000,127.91999999999999,20.55138888888889,4.109,4.681,120.0,10.5,21.9,3.51,231.2,1,295.0
2023-12-03 00:00:00.000,127.77416666666667,20.486944444444447,4.047,4.684,125.2,9.9,21.8,5.71,253.1,1,295.0
2023-12-08 00:00:00.000,127.53166666666665,20.440555555555555,3.988,4.688,130.4,9.2,21.8,8.23,262.1,1,295.0
2024-03-02 00:00:00.000,117.09541666666665,20.43166666666667,4.016,4.755,133.7,8.7,21.8,9.47,259.6,1,293.8
2024-03-07 00:00:00.000,116.80999999999997,20.36861111111111,4.079,4.759,128.4,9.4,21.9,7.03,252.9,1,293.8
2024-03-12 00:00:00.000,116.61833333333333,20.29388888888889,4.145,4.764,123.3,10.0,21.9,4.72,239.1,1,293.9
2024-03-17 00:00:00.000,116.52208333333333,20.206944444444442,4.216,4.768,118.2,10.6,22.0,3.1,206.1,1,293.9
2024-03-22 00:00:00.000,116.52083333333333,20.108333333333334,4.29,4.772,113.3,11.1,22.1,3.39,157.6,1,294.0
2024-03-27 00:00:00.000,116.61291666666665,19.998055555555556,4.367,4.776,108.4,11.4,22.1,5.22,131.9,1,294.1
2024-04-01 00:00:00.000,116.79541666666665,19.87611111111111,4.445,4.781,103.7,11.7,22.2,7.46,120.9,1,294.2
2024-04-06 00:00:00.000,117.06541666666665,19.7425,4.525,4.785,99.0,11.9,22.2,9.77,115.4,1,294.4
2024-04-11 00:00:00.000,117.41958333333332,19.596944444444443,4.606,4.789,94.5,12.0,22.3,12.06,112.1,1,294.5
2024-04-16 00:00:00.000,117.85416666666666,19.439444444444444,4.688,4.794,90.0,12.1,22.3,14.25,110.1,1,294.7
2024-04-21 00:00:00.000,118.36374999999998,19.26972222222222,4.769,4.798,85.6,12.1,22.3,16.33,108.8,1,294.8
2024-12-02 00:00:00.000,159.91791666666663,2.2172222222222224,4.926,5.013,89.3,11.3,22.5,13.88,134.5,1,301.2
2024-12-07 00:00:00.000,160.21166666666664,1.9047222222222222,4.852,5.018,94.0,11.3,22.4,11.85,139.5,1,301.2
2024-12-12 00:00:00.000,160.4308333333333,1.6172222222222223,4.778,5.023,98.7,11.2,22.4,9.86,146.6,1,301.2
2024-12-17 00:00:00.000,160.5733333333333,1.356388888888889,4.705,5.028,103.6,11.0,22.4,8.03,157.3,2,301.2
2024-12-22 00:00:00.000,160.63708333333332,1.123888888888889,4.634,5.033,108.5,10.7,22.3,6.57,173.8,2,301.2
2024-12-27 00:00:00.000,160.62041666666664,0.9213888888888888,4.565,5.038,113.4,10.3,22.3,5.86,197.0,2,301.3
2025-01-01 00:00:00.000,160.52249999999998,0.7508333333333334,4.499,5.043,118.5,9.9,22.2,6.22,221.8,2,301.3
2025-01-06 00:00:00.000,160.34416666666664,0.6130555555555556,4.436,5.048,123.6,9.3,22.2,7.48,241.0,2,301.3
2025-01-11 00:00:00.000,160.08749999999998,0.5088888888888888,4.378,5.053,128.9,8.7,22.1,9.23,253.5,2,301.3
2025-01-16 00:00:00.000,159.75541666666666,0.4386111111111111,4.324,5.058,134.1,8.0,22.1,11.17,261.8,2,301.4
2025-04-11 00:00:00.000,150.65291666666664,2.535833333333333,4.44,5.144,130.2,8.6,22.2,7.67,299.2,2,302.1
2025-04-16 00:00:00.000,150.46791666666667,2.6502777777777777,4.505,5.149,125.2,9.2,22.3,5.39,305.5,2,302.1
