Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-14 00:00:00.000,308.93749999999994,-25.33138888888889,9.761,10.484,133.9,4.0,25.8,7.2,258.6,176,274.2
2023-09-19 00:00:00.000,308.695,-25.372777777777777,9.819,10.478,128.9,4.3,25.8,6.17,260.0,174,274.4
2023-09-24 00:00:00.000,308.48999999999995,-25.4025,9.881,10.473,123.8,4.6,25.9,5.08,262.0,173,274.5
2023-09-29 00:00:00.000,308.3245833333333,-25.42,9.947,10.467,118.8,4.8,25.9,3.95,264.9,172,274.6
2023-10-04 00:00:00.000,308.2,-25.426111111111112,10.017,10.461,113.8,5.0,25.9,2.81,269.9,170,274.7
2023-10-09 00:00:00.000,308.1170833333333,-25.420555555555556,10.089,10.456,108.9,5.2,25.9,1.69,281.4,169,274.8
2023-10-14 00:00:00.000,308.0779166666667,-25.403888888888886,10.164,10.45,103.9,5.3,26.0,0.82,324.2,168,274.8
2023-10-19 00:00:00.000,308.08208333333334,-25.37638888888889,10.241,10.444,99.0,5.4,26.0,1.21,35.8,167,274.8
2023-10-24 00:00:00.000,308.13,-25.33861111111111,10.319,10.438,94.1,5.5,26.0,2.28,55.7,165,274.7
2023-10-29 00:00:00.000,308.2208333333333,-25.290833333333335,10.397,10.432,89.3,5.5,26.0,3.43,62.6,164,274.6
2024-05-06 00:00:00.000,324.27874999999995,-21.830277777777777,10.2,10.184,86.2,5.7,25.9,5.13,100.5,203,86.0
2024-05-11 00:00:00.000,324.44041666666664,-21.86861111111111,10.111,10.177,90.9,5.7,25.9,4.18,108.9,206,86.0
2024-05-16 00:00:00.000,324.56291666666664,-21.920833333333334,10.021,10.169,95.6,5.7,25.9,3.36,122.0,208,86.0
2024-05-21 00:00:00.000,324.645,-21.986944444444447,9.932,10.162,100.3,5.6,25.9,2.79,141.8,210,86.0
2024-05-26 00:00:00.000,324.6866666666666,-22.066666666666666,9.844,10.155,105.1,5.5,25.8,2.66,167.3,212,86.0
2024-05-31 00:00:00.000,324.6866666666666,-22.15972222222222,9.759,10.148,109.8,5.4,25.8,3.04,190.8,214,86.1
2024-06-05 00:00:00.000,324.6454166666666,-22.265833333333333,9.675,10.14,114.6,5.2,25.8,3.79,207.1,216,86.1
2024-06-10 00:00:00.000,324.56249999999994,-22.384166666666665,9.595,10.133,119.5,5.0,25.8,4.7,217.6,218,86.2
2024-06-15 00:00:00.000,324.43874999999997,-22.514166666666668,9.518,10.125,124.3,4.8,25.7,5.69,224.5,220,86.3
2024-06-20 00:00:00.000,324.2749999999999,-22.654166666666665,9.445,10.118,129.2,4.5,25.7,6.68,229.4,221,86.5
2024-06-25 00:00:00.000,324.07291666666663,-22.803333333333335,9.376,10.11,134.1,4.1,25.7,7.65,233.0,223,86.6
2024-09-23 00:00:00.000,317.59499999999997,-25.244722222222222,9.273,9.969,131.8,4.3,25.6,7.11,259.8,212,270.8
2024-09-28 00:00:00.000,317.3558333333333,-25.279166666666665,9.329,9.961,126.8,4.6,25.6,6.02,262.4,211,271.0
2024-10-03 00:00:00.000,317.1558333333333,-25.298055555555557,9.39,9.953,121.8,4.9,25.7,4.88,265.9,209,271.1
2024-10-08 00:00:00.000,316.9975,-25.302222222222223,9.455,9.945,116.8,5.1,25.7,3.71,271.6,207,271.2
2024-10-13 00:00:00.000,316.88249999999994,-25.29138888888889,9.523,9.936,111.8,5.3,25.7,2.58,282.0,205,271.2
2024-10-18 00:00:00.000,316.8120833333333,-25.266666666666666,9.594,9.928,106.8,5.5,25.7,1.62,306.1,204,271.2
2024-10-23 00:00:00.000,316.78624999999994,-25.227777777777778,9.666,9.92,101.9,5.6,25.8,1.36,356.3,202,271.2
2024-10-28 00:00:00.000,316.80541666666664,-25.176111111111112,9.741,9.911,97.0,5.7,25.8,2.09,33.1,201,271.2
2024-11-02 00:00:00.000,316.86999999999995,-25.11138888888889,9.816,9.903,92.2,5.7,25.8,3.18,48.1,199,271.1
2024-11-07 00:00:00.000,316.9795833333333,-25.034722222222225,9.892,9.895,87.3,5.7,25.8,4.35,55.3,198,271.0
2025-05-16 00:00:00.000,334.0004166666666,-20.591944444444444,9.554,9.548,86.6,6.1,25.7,5.86,101.4,251,82.2
2025-05-21 00:00:00.000,334.18499999999995,-20.63888888888889,9.462,9.538,91.2,6.1,25.7,4.92,109.7,254,82.1
2025-05-26 00:00:00.000,334.33,-20.702777777777776,9.371,9.528,95.9,6.1,25.6,4.1,121.8,257,82.1
2025-05-31 00:00:00.000,334.43291666666664,-20.783055555555556,9.28,9.518,100.5,6.0,25.6,3.51,139.1,260,82.1
2025-06-05 00:00:00.000,334.49375,-20.879722222222224,9.191,9.508,105.2,5.9,25.6,3.33,160.6,263,82.2
2025-06-10 00:00:00.000,334.51166666666666,-20.991944444444446,9.104,9.498,110.0,5.8,25.5,3.6,181.6,266,82.2
2025-06-15 00:00:00.000,334.4866666666667,-21.119444444444444,9.018,9.488,114.7,5.6,25.5,4.25,197.9,268,82.3
2025-06-20 00:00:00.000,334.41833333333335,-21.261388888888888,8.936,9.478,119.5,5.4,25.5,5.13,209.4,271,82.4
2025-06-25 00:00:00.000,334.3066666666667,-21.416666666666668,8.858,9.468,124.3,5.1,25.4,6.11,217.4,273,82.5
2025-06-30 00:00:00.000,334.1524999999999,-21.584444444444443,8.783,9.458,129.2,4.8,25.4,7.13,223.2,275,82.6
2025-07-05 00:00:00.000,333.9570833333333,-21.762777777777778,8.713,9.448,134.0,4.4,25.4,8.14,227.5,277,82.8
2025-10-03 00:00:00.000,327.3029166666666,-24.573888888888888,8.577,9.259,130.6,4.7,25.3,7.34,261.7,264,87.0
2025-10-08 00:00:00.000,327.0566666666666,-24.599722222222223,8.631,9.248,125.6,5.0,25.3,6.18,265.5,261,87.1
2025-10-13 00:00:00.000,326.8520833333333,-24.60666666666667,8.689,9.237,120.6,5.3,25.4,4.99,270.9,259,87.2
2025-10-18 00:00:00.000,326.69124999999997,-24.59472222222222,8.751,9.226,115.6,5.6,25.4,3.82,279.5,256,87.2
2025-10-23 00:00:00.000,326.57624999999996,-24.564444444444444,8.817,9.215,110.7,5.8,25.4,2.76,295.3,254,87.2
2025-10-28 00:00:00.000,326.50874999999996,-24.516666666666666,8.885,9.204,105.7,6.0,25.4,2.08,325.0,252,87.2
2025-11-02 00:00:00.000,326.4891666666666,-24.45138888888889,8.955,9.193,100.8,6.1,25.5,2.2,3.1,250,87.2
2025-11-07 00:00:00.000,326.5174999999999,-24.37027777777778,9.026,9.182,96.0,6.2,25.5,3.03,28.0,248,87.1
2025-11-12 00:00:00.000,326.5933333333333,-24.27361111111111,9.098,9.171,91.1,6.2,25.5,4.14,41.1,247,87.0
2025-11-17 00:00:00.000,326.71624999999995,-24.162499999999998,9.17,9.16,86.3,6.2,25.5,5.35,48.5,245,86.9
2026-05-26 00:00:00.000,345.2370833333333,-18.41777777777778,8.734,8.709,85.3,6.7,25.3,7.39,99.1,319,78.0
2026-05-31 00:00:00.000,345.4733333333333,-18.46638888888889,8.641,8.697,89.8,6.7,25.3,6.39,105.9,324,77.9
2026-06-05 00:00:00.000,345.66833333333335,-18.534444444444446,8.548,8.684,94.3,6.7,25.3,5.47,115.3,328,77.9
2026-06-10 00:00:00.000,345.8208333333333,-18.6225,8.456,8.671,98.9,6.6,25.2,4.73,128.3,332,77.9
2026-06-15 00:00:00.000,345.92875,-18.729999999999997,8.364,8.659,103.5,6.5,25.2,4.27,145.4,336,77.9
2026-06-20 00:00:00.000,345.9916666666667,-18.85666666666667,8.275,8.646,108.2,6.4,25.2,4.23,164.6,340,78.0
2026-06-25 00:00:00.000,346.0079166666666,-19.001944444444444,8.187,8.633,112.9,6.2,25.1,4.62,182.3,344,78.0
2026-06-30 00:00:00.000,345.9783333333333,-19.16444444444444,8.102,8.62,117.6,6.0,25.1,5.34,196.3,348,78.1
2026-07-05 00:00:00.000,345.9020833333333,-19.343055555555555,8.021,8.607,122.3,5.7,25.1,6.26,206.7,351,78.2
2026-07-10 00:00:00.000,345.7795833333333,-19.537222222222223,7.943,8.594,127.1,5.4,25.0,7.3,214.3,354,78.4
2026-07-15 00:00:00.000,345.6116666666667,-19.744722222222222,7.87,8.581,131.9,5.1,25.0,8.37,220.0,357,78.5
2026-10-13 00:00:00.000,338.715,-23.025277777777777,7.653,8.342,131.0,5.2,24.9,8.17,263.5,341,82.5
2026-10-18 00:00:00.000,338.4420833333333,-23.04388888888889,7.703,8.328,126.1,5.5,24.9,6.93,268.4,338,82.6
2026-10-23 00:00:00.000,338.21416666666664,-23.038611111111113,7.757,8.315,121.1,5.9,24.9,5.68,275.3,335,82.6
2026-10-28 00:00:00.000,338.0333333333333,-23.009444444444444,7.815,8.301,116.2,6.2,24.9,4.49,285.7,331,82.7
2026-11-02 00:00:00.000,337.90166666666664,-22.9575,7.876,8.287,111.2,6.4,25.0,3.51,302.8,328,82.7
2026-11-07 00:00:00.000,337.8204166666666,-22.883333333333333,7.94,8.273,106.3,6.6,25.0,2.98,329.2,325,82.7
2026-11-12 00:00:00.000,337.79124999999993,-22.787222222222223,8.006,8.259,101.4,6.7,25.0,3.19,358.5,323,82.6
2026-11-17 00:00:00.000,337.81458333333325,-22.671111111111113,8.073,8.245,96.6,6.8,25.0,4.02,19.8,320,82.5
2026-11-22 00:00:00.000,337.8895833333333,-22.535555555555558,8.141,8.231,91.8,6.9,25.0,5.16,32.8,318,82.4
2026-11-27 00:00:00.000,338.0158333333333,-22.38222222222222,8.21,8.218,87.0,6.9,25.1,6.42,40.9,315,82.2
2027-06-10 00:00:00.000,359.2358333333333,-14.770000000000001,7.657,7.642,85.4,7.6,24.8,9.31,97.8,431,73.4
2027-06-15 00:00:00.000,359.53249999999997,-14.823888888888888,7.563,7.626,89.8,7.7,24.8,8.22,103.9,438,73.4
2027-06-20 00:00:00.000,359.7854166666666,-14.901111111111112,7.468,7.611,94.2,7.7,24.7,7.19,111.8,444,73.4
2027-06-25 00:00:00.000,359.9920833333333,-15.001666666666667,7.375,7.595,98.7,7.6,24.7,6.29,122.4,451,73.4
2027-06-30 00:00:00.000,0.15166666666666664,-15.125833333333334,7.282,7.58,103.2,7.5,24.7,5.63,136.2,457,73.4
2027-07-05 00:00:00.000,0.26125,-15.2725,7.191,7.564,107.8,7.4,24.6,5.34,152.8,463,73.4
2027-07-10 00:00:00.000,0.31999999999999995,-15.441666666666666,7.102,7.548,112.4,7.2,24.6,5.48,169.9,470,73.5
2027-07-15 00:00:00.000,0.32708333333333334,-15.631666666666668,7.016,7.532,117.0,6.9,24.5,6.02,185.1,475,73.6
2027-07-20 00:00:00.000,0.2825,-15.841111111111111,6.933,7.517,121.7,6.6,24.5,6.87,197.3,481,73.7
2027-07-25 00:00:00.000,0.1858333333333333,-16.06888888888889,6.853,7.501,126.4,6.3,24.4,7.92,206.5,486,73.8
2027-07-30 00:00:00.000,0.0375,-16.3125,6.778,7.485,131.1,5.9,24.4,9.05,213.7,491,73.9
