Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-15 00:00:00.000,46.91416666666667,28.43277777777778,11.169,11.202,89.3,5.2,24.2,3.15,43.9,42,89.5
2023-08-20 00:00:00.000,46.97708333333333,28.503888888888888,11.087,11.202,93.9,5.2,24.2,2.29,29.8,42,89.5
2023-08-25 00:00:00.000,47.000416666666666,28.565,11.005,11.201,98.6,5.1,24.2,1.68,2.7,42,89.5
2023-08-30 00:00:00.000,46.983333333333334,28.615833333333335,10.924,11.2,103.4,5.0,24.2,1.68,324.2,43,89.4
2023-09-04 00:00:00.000,46.92583333333333,28.655555555555555,10.844,11.2,108.1,4.9,24.1,2.28,296.5,43,89.4
2023-09-09 00:00:00.000,46.828333333333326,28.683611111111112,10.767,11.199,113.0,4.8,24.1,3.16,282.0,44,89.3
2023-09-14 00:00:00.000,46.69083333333333,28.699166666666667,10.693,11.198,117.8,4.6,24.1,4.14,273.8,44,89.2
2023-09-19 00:00:00.000,46.514583333333334,28.701666666666664,10.622,11.197,122.7,4.3,24.1,5.14,268.6,44,89.1
2023-09-24 00:00:00.000,46.30083333333333,28.690833333333334,10.555,11.196,127.7,4.1,24.0,6.12,265.0,44,89.0
2023-09-29 00:00:00.000,46.052083333333336,28.66611111111111,10.493,11.195,132.6,3.8,24.0,7.06,262.3,44,88.9
2023-12-23 00:00:00.000,40.03916666666666,26.543333333333337,10.466,11.176,134.4,3.6,24.0,7.74,232.2,42,87.6
2023-12-28 00:00:00.000,39.82999999999999,26.388055555555557,10.527,11.174,129.2,3.9,24.0,6.86,228.3,42,87.7
2024-01-02 00:00:00.000,39.65875,26.239722222222223,10.592,11.173,124.1,4.2,24.0,5.95,223.3,41,87.7
2024-01-07 00:00:00.000,39.52708333333332,26.099444444444444,10.662,11.171,118.9,4.4,24.1,5.06,216.4,41,87.8
2024-01-12 00:00:00.000,39.436249999999994,25.968888888888888,10.736,11.17,113.8,4.6,24.1,4.21,206.6,41,87.9
2024-01-17 00:00:00.000,39.38708333333333,25.848888888888887,10.813,11.168,108.8,4.8,24.1,3.52,192.5,41,88.0
2024-01-22 00:00:00.000,39.37958333333333,25.740277777777777,10.892,11.167,103.7,4.9,24.1,3.1,173.3,40,88.1
2024-01-27 00:00:00.000,39.41374999999999,25.64361111111111,10.973,11.165,98.7,5.0,24.2,3.08,151.5,40,88.2
2024-02-01 00:00:00.000,39.48833333333333,25.559722222222224,11.056,11.163,93.7,5.1,24.2,3.46,132.2,40,88.3
2024-02-06 00:00:00.000,39.602916666666665,25.488611111111112,11.138,11.162,88.8,5.1,24.2,4.12,118.0,40,88.4
2024-08-19 00:00:00.000,54.883333333333326,28.250555555555554,11.08,11.074,87.0,5.2,24.2,3.48,58.4,50,273.0
2024-08-24 00:00:00.000,54.97583333333333,28.30777777777778,10.995,11.071,91.7,5.2,24.2,2.49,50.2,50,273.0
2024-08-29 00:00:00.000,55.02791666666666,28.35666666666667,10.91,11.068,96.4,5.2,24.1,1.58,31.9,51,273.0
2024-09-03 00:00:00.000,55.03874999999999,28.397222222222222,10.825,11.065,101.2,5.1,24.1,1.11,346.4,51,273.0
