Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-10 00:00:00.000,273.9008333333333,-4.585555555555556,18.262,18.981,134.1,2.2,24.9,4.67,244.3,5,274.8
2023-08-15 00:00:00.000,273.76874999999995,-4.655277777777778,18.33,18.992,129.6,2.4,24.9,4.27,239.8,5,275.0
2023-08-20 00:00:00.000,273.65416666666664,-4.728888888888889,18.402,19.003,125.1,2.5,24.9,3.87,234.3,5,275.3
2023-08-25 00:00:00.000,273.55875,-4.805833333333333,18.479,19.014,120.6,2.6,24.9,3.47,227.5,5,275.6
2023-08-30 00:00:00.000,273.48333333333323,-4.885277777777778,18.559,19.024,116.1,2.7,24.9,3.11,219.0,5,275.8
2023-09-04 00:00:00.000,273.42791666666665,-4.966666666666667,18.643,19.035,111.5,2.8,24.9,2.81,208.4,5,276.1
2023-09-09 00:00:00.000,273.3937499999999,-5.049722222222222,18.729,19.046,106.9,2.9,25.0,2.6,195.6,5,276.4
2023-09-14 00:00:00.000,273.3812499999999,-5.133611111111112,18.817,19.057,102.3,3.0,25.0,2.52,181.1,5,276.7
2023-09-19 00:00:00.000,273.39083333333326,-5.217777777777778,18.907,19.067,97.7,3.0,25.0,2.59,166.5,5,276.9
2023-09-24 00:00:00.000,273.42208333333326,-5.301388888888889,18.998,19.078,93.0,3.0,25.0,2.8,153.2,5,277.2
2023-09-29 00:00:00.000,273.47499999999997,-5.384166666666667,19.09,19.089,88.4,3.0,25.0,3.11,142.2,5,277.4
2024-03-27 00:00:00.000,281.1408333333333,-5.215277777777778,19.531,19.47,85.1,2.9,25.1,3.02,40.6,7,274.2
2024-04-01 00:00:00.000,281.1958333333333,-5.139444444444445,19.46,19.481,89.7,2.9,25.1,2.62,30.3,7,274.0
2024-04-06 00:00:00.000,281.2291666666667,-5.064444444444444,19.389,19.491,94.4,2.9,25.1,2.32,17.0,7,273.8
2024-04-11 00:00:00.000,281.24125,-4.991388888888889,19.319,19.502,99.0,2.9,25.1,2.16,0.8,7,273.7
2024-04-16 00:00:00.000,281.23125,-4.920833333333333,19.251,19.512,103.7,2.9,25.1,2.17,343.7,7,273.5
2024-04-21 00:00:00.000,281.2008333333333,-4.853055555555555,19.184,19.522,108.3,2.8,25.1,2.34,328.2,7,273.4
2024-04-26 00:00:00.000,281.14916666666664,-4.788611111111111,19.119,19.533,112.9,2.7,25.0,2.63,315.5,7,273.2
2024-05-01 00:00:00.000,281.0775,-4.7283333333333335,19.057,19.543,117.6,2.6,25.0,2.99,305.7,7,273.1
2024-05-06 00:00:00.000,280.9866666666666,-4.6722222222222225,18.998,19.554,122.1,2.5,25.0,3.4,298.1,7,273.0
2024-05-11 00:00:00.000,280.87749999999994,-4.621388888888889,18.944,19.564,126.7,2.4,25.0,3.82,292.3,7,272.9
2024-05-16 00:00:00.000,280.7504166666666,-4.575833333333333,18.894,19.575,131.2,2.2,25.0,4.24,287.6,7,272.8
2024-08-14 00:00:00.000,277.42375,-4.872222222222223,19.051,19.761,133.4,2.1,25.0,4.46,242.5,6,274.3
2024-08-19 00:00:00.000,277.2995833333333,-4.9425,19.119,19.771,129.0,2.3,25.0,4.08,238.0,6,274.5
2024-08-24 00:00:00.000,277.19249999999994,-5.015833333333333,19.192,19.782,124.5,2.4,25.1,3.69,232.5,6,274.7
2024-08-29 00:00:00.000,277.10374999999993,-5.091944444444444,19.269,19.792,119.9,2.5,25.1,3.31,225.7,6,275.0
