Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-15 00:00:00.000,50.59583333333333,15.774722222222223,19.345,19.359,89.3,3.0,24.4,1.59,95.1,12,79.9
2023-08-20 00:00:00.000,50.63999999999999,15.767222222222223,19.271,19.369,94.1,3.0,24.4,1.01,107.6,12,79.9
2023-08-25 00:00:00.000,50.662499999999994,15.754166666666666,19.198,19.38,98.9,3.0,24.4,0.58,143.2,12,80.0
2023-08-30 00:00:00.000,50.66416666666667,15.73611111111111,19.126,19.39,103.7,2.9,24.3,0.68,202.9,12,80.1
2023-09-04 00:00:00.000,50.644166666666656,15.712499999999999,19.055,19.4,108.6,2.8,24.3,1.17,228.3,12,80.2
2023-09-09 00:00:00.000,50.603333333333325,15.68388888888889,18.987,19.41,113.4,2.7,24.3,1.75,237.8,12,80.2
2023-09-14 00:00:00.000,50.54208333333333,15.650555555555556,18.922,19.42,118.4,2.6,24.3,2.34,242.6,12,80.3
2023-09-19 00:00:00.000,50.459999999999994,15.612222222222222,18.86,19.43,123.3,2.5,24.3,2.91,245.4,12,80.4
2023-09-24 00:00:00.000,50.35874999999999,15.569722222222222,18.802,19.44,128.3,2.3,24.3,3.47,247.2,12,80.5
2023-09-29 00:00:00.000,50.23916666666666,15.523055555555556,18.749,19.45,133.3,2.1,24.3,3.99,248.5,12,80.5
2023-12-28 00:00:00.000,46.927499999999995,14.53361111111111,18.949,19.631,132.8,2.1,24.3,3.81,255.8,9,82.0
2024-01-02 00:00:00.000,46.80916666666666,14.505277777777778,19.025,19.641,127.6,2.3,24.3,3.26,256.4,9,82.1
2024-01-07 00:00:00.000,46.70958333333333,14.482777777777779,19.106,19.651,122.5,2.4,24.3,2.68,257.3,9,82.1
2024-01-12 00:00:00.000,46.629999999999995,14.466111111111111,19.191,19.661,117.3,2.5,24.4,2.06,258.7,9,82.2
2024-01-17 00:00:00.000,46.570833333333326,14.455833333333333,19.279,19.671,112.2,2.7,24.4,1.42,261.2,9,82.2
2024-01-22 00:00:00.000,46.532916666666665,14.451666666666666,19.371,19.681,107.0,2.7,24.4,0.79,267.8,9,82.2
2024-01-27 00:00:00.000,46.517083333333325,14.453888888888889,19.464,19.691,101.9,2.8,24.4,0.22,314.9,9,82.1
2024-02-01 00:00:00.000,46.522499999999994,14.461944444444443,19.559,19.701,96.9,2.8,24.4,0.58,54.4,9,82.1
2024-02-06 00:00:00.000,46.54958333333333,14.47638888888889,19.655,19.711,91.8,2.9,24.4,1.22,64.8,9,82.1
2024-02-11 00:00:00.000,46.59833333333333,14.496666666666666,19.751,19.721,86.8,2.9,24.4,1.87,68.1,9,82.0
2024-08-14 00:00:00.000,54.21249999999999,16.201944444444443,20.139,20.087,85.6,2.9,24.5,1.94,93.2,15,81.6
2024-08-19 00:00:00.000,54.26958333333333,16.195833333333333,20.065,20.097,90.3,2.9,24.5,1.37,100.7,15,81.7
2024-08-24 00:00:00.000,54.30625,16.185,19.991,20.107,95.1,2.9,24.5,0.86,117.8,15,81.8
2024-08-29 00:00:00.000,54.322083333333325,16.16916666666667,19.918,20.116,99.9,2.8,24.5,0.56,163.8,15,81.8
2024-09-03 00:00:00.000,54.31708333333333,16.148888888888887,19.845,20.126,104.8,2.8,24.5,0.81,213.1,15,81.9
2024-09-08 00:00:00.000,54.29124999999999,16.12388888888889,19.775,20.136,109.6,2.7,24.5,1.32,231.8,15,81.9
2024-09-13 00:00:00.000,54.245,16.094444444444445,19.707,20.146,114.5,2.6,24.5,1.88,239.7,15,82.0
