Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,203.8658333333333,-11.085277777777778,14.949,15.286,107.5,3.6,27.6,1.43,281.1,1242,310.0
2023-07-06 00:00:00.000,203.83083333333332,-11.080555555555556,15.037,15.293,102.7,3.7,27.7,0.66,269.4,1234,310.0
2023-07-11 00:00:00.000,203.82083333333333,-11.085833333333333,15.126,15.3,98.0,3.8,27.7,0.31,163.0,1227,310.0
2023-07-16 00:00:00.000,203.83666666666667,-11.100277777777777,15.217,15.307,93.2,3.8,27.7,1.02,124.8,1220,310.0
2023-07-21 00:00:00.000,203.87791666666664,-11.124444444444444,15.308,15.314,88.5,3.8,27.7,1.8,118.8,1213,310.0
2024-01-22 00:00:00.000,212.51541666666662,-14.801666666666668,15.603,15.561,85.8,3.6,27.8,2.21,127.0,1232,306.8
2024-01-27 00:00:00.000,212.56291666666664,-14.84138888888889,15.523,15.568,90.8,3.6,27.8,1.45,137.1,1239,306.8
2024-02-01 00:00:00.000,212.58333333333331,-14.872222222222224,15.443,15.574,95.8,3.6,27.7,0.81,165.7,1246,306.8
2024-02-06 00:00:00.000,212.57666666666663,-14.893888888888888,15.364,15.58,100.9,3.6,27.7,0.78,229.3,1253,306.8
2024-02-11 00:00:00.000,212.54249999999996,-14.90611111111111,15.286,15.587,106.0,3.5,27.7,1.4,260.7,1260,306.7
2024-02-16 00:00:00.000,212.48125,-14.909166666666668,15.21,15.593,111.1,3.4,27.7,2.17,271.4,1266,306.7
2024-02-21 00:00:00.000,212.39333333333332,-14.902777777777779,15.137,15.599,116.2,3.3,27.7,2.94,276.4,1272,306.7
2024-02-26 00:00:00.000,212.28,-14.887222222222222,15.067,15.605,121.4,3.1,27.7,3.7,279.3,1278,306.8
2024-03-02 00:00:00.000,212.14166666666662,-14.863055555555555,15.001,15.611,126.5,2.9,27.6,4.44,281.2,1284,306.8
2024-03-07 00:00:00.000,211.9795833333333,-14.83,14.94,15.618,131.7,2.7,27.6,5.15,282.5,1289,306.8
2024-06-10 00:00:00.000,207.39624999999998,-13.47,15.047,15.731,130.9,2.8,27.7,4.93,289.0,1266,307.9
2024-06-15 00:00:00.000,207.2475,-13.420277777777777,15.118,15.737,126.0,3.0,27.7,4.25,289.0,1259,307.9
2024-06-20 00:00:00.000,207.12124999999997,-13.378055555555555,15.194,15.742,121.1,3.2,27.7,3.53,288.9,1253,307.9
2024-06-25 00:00:00.000,207.01874999999998,-13.344166666666668,15.273,15.748,116.2,3.3,27.7,2.79,288.8,1246,307.9
2024-06-30 00:00:00.000,206.94041666666664,-13.318333333333333,15.355,15.754,111.4,3.4,27.8,2.04,288.5,1239,307.9
2024-07-05 00:00:00.000,206.88666666666663,-13.301111111111112,15.44,15.76,106.6,3.5,27.8,1.26,287.5,1232,307.9
2024-07-10 00:00:00.000,206.85791666666663,-13.293055555555556,15.527,15.765,101.8,3.6,27.8,0.48,283.0,1225,307.9
2024-07-15 00:00:00.000,206.8545833333333,-13.293888888888889,15.615,15.771,97.0,3.7,27.8,0.31,121.9,1218,307.9
2024-07-20 00:00:00.000,206.87583333333333,-13.30388888888889,15.704,15.777,92.3,3.7,27.8,1.08,113.8,1211,307.9
2024-07-25 00:00:00.000,206.92208333333332,-13.323055555555555,15.793,15.782,87.5,3.7,27.8,1.84,112.5,1205,307.9
2025-01-26 00:00:00.000,215.3983333333333,-16.78388888888889,15.993,15.977,87.3,3.5,27.9,1.96,132.6,1237,304.4
2025-01-31 00:00:00.000,215.43541666666664,-16.823888888888888,15.912,15.982,92.3,3.5,27.9,1.27,147.8,1244,304.4
2025-02-05 00:00:00.000,215.44541666666663,-16.85527777777778,15.831,15.987,97.4,3.5,27.9,0.82,187.0,1250,304.4
2025-02-10 00:00:00.000,215.42833333333328,-16.878055555555555,15.75,15.992,102.4,3.5,27.8,1.03,237.8,1257,304.4
2025-02-15 00:00:00.000,215.38458333333332,-16.891944444444444,15.672,15.997,107.5,3.4,27.8,1.66,260.1,1264,304.4
2025-02-20 00:00:00.000,215.3145833333333,-16.896944444444443,15.595,16.002,112.6,3.3,27.8,2.39,269.5,1270,304.4
2025-02-25 00:00:00.000,215.2183333333333,-16.893055555555556,15.522,16.007,117.7,3.1,27.8,3.14,274.5,1276,304.4
2025-03-02 00:00:00.000,215.0970833333333,-16.880555555555556,15.452,16.011,122.9,3.0,27.8,3.87,277.5,1282,304.4
2025-03-07 00:00:00.000,214.95124999999996,-16.859444444444446,15.386,16.016,128.0,2.8,27.8,4.57,279.6,1287,304.5
2025-03-12 00:00:00.000,214.7833333333333,-16.830277777777777,15.325,16.021,133.2,2.6,27.7,5.23,281.0,1292,304.5
2025-06-10 00:00:00.000,210.4125,-15.588611111111112,15.375,16.104,134.6,2.6,27.7,5.31,289.7,1269,305.7
2025-06-15 00:00:00.000,210.25,-15.531944444444445,15.441,16.108,129.7,2.8,27.8,4.68,290.0,1263,305.8
2025-06-20 00:00:00.000,210.10875,-15.481944444444444,15.512,16.113,124.8,3.0,27.8,4.01,290.4,1256,305.8
2025-06-25 00:00:00.000,209.99041666666662,-15.43888888888889,15.587,16.117,119.9,3.1,27.8,3.31,290.9,1250,305.8
2025-06-30 00:00:00.000,209.89541666666662,-15.403333333333334,15.665,16.121,115.0,3.3,27.8,2.57,291.5,1243,305.8
2025-07-05 00:00:00.000,209.825,-15.376111111111111,15.747,16.126,110.2,3.4,27.9,1.83,292.6,1236,305.8
2025-07-10 00:00:00.000,209.77874999999995,-15.356666666666666,15.831,16.13,105.4,3.5,27.9,1.07,294.9,1229,305.8
2025-07-15 00:00:00.000,209.75749999999996,-15.345833333333333,15.917,16.134,100.6,3.6,27.9,0.33,307.3,1222,305.8
2025-07-20 00:00:00.000,209.7608333333333,-15.343611111111112,16.004,16.139,95.8,3.6,27.9,0.46,97.6,1216,305.8
2025-07-25 00:00:00.000,209.78916666666663,-15.35,16.092,16.143,91.1,3.6,27.9,1.21,105.4,1209,305.8
2025-07-30 00:00:00.000,209.8416666666666,-15.365,16.18,16.147,86.4,3.6,27.9,1.96,107.3,1203,305.7
2026-01-31 00:00:00.000,218.23125,-18.649166666666666,16.28,16.292,89.0,3.5,28.0,1.75,139.5,1249,302.1
2026-02-05 00:00:00.000,218.25791666666666,-18.689444444444444,16.197,16.295,94.0,3.5,27.9,1.15,160.7,1256,302.1
2026-02-10 00:00:00.000,218.25791666666666,-18.721666666666664,16.115,16.299,99.0,3.4,27.9,0.92,204.2,1262,302.0
2026-02-15 00:00:00.000,218.23083333333332,-18.745555555555555,16.034,16.303,104.1,3.4,27.9,1.29,242.6,1269,302.0
2026-02-20 00:00:00.000,218.17749999999998,-18.761111111111113,15.954,16.306,109.2,3.3,27.9,1.93,260.0,1275,302.0
2026-02-25 00:00:00.000,218.09791666666663,-18.768055555555556,15.878,16.31,114.3,3.2,27.9,2.63,268.2,1282,302.1
2026-03-02 00:00:00.000,217.99249999999998,-18.766666666666666,15.804,16.313,119.4,3.0,27.9,3.35,272.9,1287,302.1
2026-03-07 00:00:00.000,217.86291666666665,-18.756666666666668,15.734,16.316,124.5,2.9,27.8,4.04,276.0,1293,302.1
2026-03-12 00:00:00.000,217.7095833333333,-18.738611111111112,15.668,16.32,129.6,2.7,27.8,4.72,278.1,1298,302.2
2026-03-17 00:00:00.000,217.5345833333333,-18.7125,15.608,16.323,134.7,2.5,27.8,5.35,279.7,1302,302.2
2026-06-15 00:00:00.000,213.18166666666662,-17.52361111111111,15.67,16.382,133.2,2.6,27.8,5.07,290.5,1274,303.6
2026-06-20 00:00:00.000,213.02583333333328,-17.46722222222222,15.736,16.385,128.3,2.8,27.8,4.44,291.2,1267,303.6
2026-06-25 00:00:00.000,212.89249999999996,-17.416944444444447,15.807,16.388,123.4,3.0,27.9,3.77,291.9,1261,303.7
2026-06-30 00:00:00.000,212.7820833333333,-17.373333333333335,15.882,16.391,118.5,3.1,27.9,3.07,293.0,1254,303.7
2026-07-05 00:00:00.000,212.69499999999996,-17.336944444444445,15.96,16.394,113.7,3.3,27.9,2.36,294.6,1247,303.7
2026-07-10 00:00:00.000,212.6320833333333,-17.308055555555555,16.041,16.397,108.8,3.4,27.9,1.63,297.4,1240,303.7
2026-07-15 00:00:00.000,212.5941666666666,-17.286944444444448,16.124,16.4,104.0,3.4,27.9,0.9,304.7,1234,303.7
2026-07-20 00:00:00.000,212.58083333333332,-17.273888888888887,16.209,16.403,99.3,3.5,28.0,0.27,354.3,1227,303.7
2026-07-25 00:00:00.000,212.5920833333333,-17.269166666666667,16.295,16.406,94.5,3.5,28.0,0.68,88.4,1220,303.7
2026-07-30 00:00:00.000,212.62791666666664,-17.272499999999997,16.381,16.409,89.8,3.5,28.0,1.4,99.5,1214,303.6
