Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-09 00:00:00.000,77.58666666666666,32.98555555555556,3.166,3.261,86.4,18.0,24.3,17.72,49.5,1,277.1
2023-09-14 00:00:00.000,78.06541666666665,33.3775,3.049,3.223,90.7,18.2,24.2,15.97,41.2,2,276.3
2023-09-19 00:00:00.000,78.42083333333332,33.786944444444444,2.932,3.184,95.2,18.3,24.1,14.48,29.8,2,275.4
2023-09-24 00:00:00.000,78.63625,34.215833333333336,2.815,3.144,99.7,18.3,24.0,13.6,14.7,2,274.4
2023-09-29 00:00:00.000,78.69333333333333,34.66444444444444,2.699,3.104,104.4,18.2,23.9,13.78,357.1,2,273.4
2023-10-04 00:00:00.000,78.57208333333332,35.13305555555556,2.584,3.063,109.3,18.0,23.7,15.32,339.6,2,272.2
2023-10-09 00:00:00.000,78.24874999999999,35.620555555555555,2.47,3.021,114.2,17.5,23.6,18.25,324.6,2,270.8
2023-10-14 00:00:00.000,77.69708333333334,36.12361111111111,2.36,2.979,119.4,17.0,23.4,22.38,313.1,2,89.2
2023-10-19 00:00:00.000,76.89041666666664,36.63666666666666,2.252,2.936,124.7,16.2,23.3,27.47,304.3,2,87.4
2023-10-24 00:00:00.000,75.80208333333333,37.151111111111106,2.149,2.892,130.1,15.3,23.1,33.33,297.4,2,85.3
2023-12-28 00:00:00.000,39.04708333333333,35.14222222222222,1.474,2.232,129.5,19.9,21.9,73.76,244.6,2,300.5
2024-01-02 00:00:00.000,36.50208333333333,34.07166666666667,1.48,2.174,122.6,22.4,21.9,67.2,241.2,2,288.0
2024-01-07 00:00:00.000,34.3125,32.99527777777778,1.49,2.114,115.9,24.7,21.9,59.83,237.7,2,279.3
2024-01-12 00:00:00.000,32.48291666666666,31.949166666666667,1.504,2.052,109.4,26.9,22.0,52.01,233.9,3,273.0
2024-01-17 00:00:00.000,31.004166666666666,30.962777777777777,1.521,1.989,103.0,28.8,22.0,44.11,229.8,3,88.3
2024-01-22 00:00:00.000,29.856666666666662,30.055555555555557,1.538,1.924,97.0,30.5,22.0,36.48,224.8,3,84.6
2024-01-27 00:00:00.000,29.015416666666663,29.240000000000002,1.556,1.857,91.1,32.0,22.0,29.38,218.4,3,81.8
2024-02-01 00:00:00.000,28.454583333333332,28.521944444444443,1.572,1.789,85.5,33.3,21.9,23.02,209.4,4,79.5
2024-08-19 00:00:00.000,58.88624999999999,16.717777777777776,2.091,2.258,85.9,26.6,22.9,6.03,278.0,2,284.3
2024-08-24 00:00:00.000,58.582916666666655,16.72694444444444,2.064,2.314,91.0,25.9,22.9,11.51,268.5,2,285.1
2024-08-29 00:00:00.000,58.08166666666666,16.697222222222223,2.036,2.37,96.3,25.1,22.9,17.42,265.0,2,286.3
2024-09-03 00:00:00.000,57.37208333333332,16.625833333333333,2.008,2.424,101.8,24.0,22.9,23.63,263.2,1,288.0
2024-09-08 00:00:00.000,56.447083333333325,16.51,1.98,2.477,107.5,22.8,22.8,30.03,262.0,1,290.4
2024-09-13 00:00:00.000,55.303749999999994,16.3475,1.954,2.529,113.5,21.4,22.8,36.47,261.2,1,293.9
2024-09-18 00:00:00.000,53.94499999999999,16.135833333333334,1.931,2.58,119.7,19.8,22.8,42.81,260.4,1,299.1
2024-09-23 00:00:00.000,52.37708333333333,15.872777777777777,1.911,2.63,126.1,18.0,22.7,48.92,259.8,1,306.9
2024-09-28 00:00:00.000,50.613749999999996,15.557222222222222,1.897,2.679,132.7,16.0,22.7,54.59,259.2,1,319.0
2024-12-07 00:00:00.000,24.785416666666663,9.61111111111111,2.541,3.278,131.4,13.0,23.7,26.24,257.7,2,61.6
2024-12-12 00:00:00.000,24.010833333333334,9.453888888888889,2.644,3.315,125.6,14.0,23.8,20.59,259.2,2,62.2
2024-12-17 00:00:00.000,23.41458333333333,9.35361111111111,2.75,3.352,119.9,14.7,23.9,15.29,261.8,2,62.6
2024-12-22 00:00:00.000,22.984166666666663,9.307500000000001,2.86,3.388,114.4,15.3,24.1,10.4,266.7,1,63.0
2024-12-27 00:00:00.000,22.709166666666665,9.3125,2.973,3.423,109.1,15.8,24.2,6.02,278.4,1,63.4
2025-01-01 00:00:00.000,22.577916666666663,9.365277777777777,3.088,3.458,103.9,16.0,24.3,2.94,320.5,1,63.8
2025-01-06 00:00:00.000,22.579166666666662,9.462222222222222,3.204,3.492,98.8,16.2,24.4,4.0,27.9,1,64.2
2025-01-11 00:00:00.000,22.700833333333332,9.599166666666667,3.32,3.526,93.9,16.2,24.5,7.03,48.4,1,64.5
2025-01-16 00:00:00.000,22.931249999999995,9.772222222222224,3.436,3.559,89.1,16.0,24.6,10.08,55.6,1,64.9
2025-08-19 00:00:00.000,56.01791666666666,22.53638888888889,4.492,4.553,87.1,12.8,25.6,4.15,32.5,0,318.0
2025-08-24 00:00:00.000,56.050416666666656,22.64472222222222,4.423,4.568,91.8,12.8,25.6,3.02,351.5,0,317.8
2025-08-29 00:00:00.000,55.98416666666667,22.735277777777778,4.354,4.582,96.7,12.6,25.5,4.05,306.9,0,317.2
2025-09-03 00:00:00.000,55.815,22.80666666666667,4.285,4.596,101.6,12.4,25.5,6.41,286.8,0,316.2
2025-09-08 00:00:00.000,55.539583333333326,22.85777777777778,4.218,4.61,106.7,12.1,25.5,9.19,277.6,0,315.0
2025-09-13 00:00:00.000,55.15541666666666,22.886944444444445,4.152,4.623,111.9,11.7,25.4,12.15,272.5,0,313.6
2025-09-18 00:00:00.000,54.660416666666656,22.8925,4.09,4.636,117.2,11.1,25.4,15.23,269.2,0,312.1
2025-09-23 00:00:00.000,54.053749999999994,22.872222222222224,4.03,4.649,122.6,10.5,25.3,18.33,266.8,0,310.4
2025-09-28 00:00:00.000,53.33749999999999,22.82472222222222,3.975,4.661,128.2,9.7,25.3,21.37,265.0,0,308.6
2025-10-03 00:00:00.000,52.51541666666666,22.748055555555556,3.924,4.673,133.8,8.9,25.2,24.3,263.5,0,306.5
2025-12-17 00:00:00.000,36.03583333333333,18.941388888888888,4.07,4.814,134.8,8.3,25.3,22.5,249.8,0,290.1
2025-12-22 00:00:00.000,35.34458333333333,18.695555555555554,4.141,4.821,129.0,9.1,25.4,19.42,249.0,0,290.2
2025-12-27 00:00:00.000,34.76083333333332,18.477777777777778,4.216,4.828,123.4,9.8,25.5,16.25,248.0,0,290.3
2026-01-01 00:00:00.000,34.28541666666666,18.290000000000003,4.296,4.834,117.8,10.4,25.5,13.08,246.7,0,290.6
2026-01-06 00:00:00.000,33.916666666666664,18.133888888888887,4.38,4.84,112.4,10.8,25.6,9.95,245.0,0,290.9
2026-01-11 00:00:00.000,33.65208333333333,18.01,4.466,4.846,107.0,11.2,25.7,6.89,242.1,0,291.3
2026-01-16 00:00:00.000,33.48916666666667,17.91888888888889,4.554,4.851,101.8,11.5,25.7,3.94,235.4,0,291.9
2026-01-21 00:00:00.000,33.42375,17.860555555555557,4.644,4.857,96.6,11.6,25.8,1.37,201.8,0,292.5
2026-01-26 00:00:00.000,33.45208333333333,17.834166666666665,4.734,4.861,91.5,11.7,25.8,2.11,98.9,0,293.1
