Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-20 00:00:00.000,54.442499999999995,29.993333333333336,28.698,28.668,87.3,2.0,24.1,1.27,48.5,4,84.6
2023-08-25 00:00:00.000,54.47124999999999,30.02,28.614,28.667,92.0,2.0,24.1,0.92,35.7,4,84.3
2023-08-30 00:00:00.000,54.48374999999999,30.043055555555558,28.531,28.666,96.7,2.0,24.1,0.65,10.3,4,84.1
2023-09-04 00:00:00.000,54.480416666666656,30.0625,28.448,28.665,101.5,2.0,24.1,0.61,330.6,4,83.9
2023-09-09 00:00:00.000,54.460833333333326,30.078333333333333,28.366,28.664,106.2,1.9,24.1,0.83,300.2,4,83.7
2023-09-14 00:00:00.000,54.425416666666656,30.09,28.287,28.663,111.0,1.9,24.1,1.16,284.6,4,83.5
2023-09-19 00:00:00.000,54.37458333333333,30.097777777777775,28.21,28.662,115.8,1.8,24.0,1.53,276.2,4,83.3
2023-09-24 00:00:00.000,54.30874999999999,30.101111111111113,28.136,28.661,120.7,1.7,24.0,1.9,271.0,4,83.1
2023-09-29 00:00:00.000,54.228333333333325,30.1,28.067,28.661,125.5,1.6,24.0,2.26,267.5,4,83.0
2023-10-04 00:00:00.000,54.13458333333333,30.094444444444445,28.001,28.66,130.4,1.5,24.0,2.61,264.8,4,82.9
2024-01-07 00:00:00.000,51.51291666666666,29.306944444444444,28.001,28.642,129.9,1.5,24.0,2.75,233.3,2,88.5
2024-01-12 00:00:00.000,51.43583333333332,29.253055555555555,28.068,28.642,124.9,1.6,24.0,2.42,228.8,2,89.4
2024-01-17 00:00:00.000,51.37374999999999,29.200833333333332,28.138,28.641,119.8,1.7,24.0,2.09,222.9,2,270.3
2024-01-22 00:00:00.000,51.32749999999999,29.15111111111111,28.213,28.64,114.8,1.8,24.0,1.77,214.6,2,271.1
2024-01-27 00:00:00.000,51.29749999999999,29.10388888888889,28.291,28.639,109.8,1.9,24.0,1.49,202.9,2,272.0
2024-02-01 00:00:00.000,51.283333333333324,29.059722222222224,28.371,28.638,104.8,1.9,24.1,1.28,186.5,2,272.9
2024-02-06 00:00:00.000,51.28624999999999,29.01888888888889,28.453,28.637,99.8,1.9,24.1,1.21,166.0,2,273.6
2024-02-11 00:00:00.000,51.305833333333325,28.981666666666666,28.537,28.636,94.8,2.0,24.1,1.29,145.3,2,274.4
2024-02-16 00:00:00.000,51.34208333333332,28.948333333333334,28.621,28.635,89.8,2.0,24.1,1.5,128.8,2,275.0
2024-08-24 00:00:00.000,57.23999999999999,29.7825,28.593,28.601,89.4,2.0,24.1,1.07,47.9,5,87.0
2024-08-29 00:00:00.000,57.26249999999999,29.804722222222225,28.509,28.6,94.2,2.0,24.1,0.72,30.7,5,86.9
2024-09-03 00:00:00.000,57.268333333333324,29.823888888888888,28.425,28.599,98.9,2.0,24.1,0.52,354.0,5,86.7
2024-09-08 00:00:00.000,57.258333333333326,29.839444444444442,28.343,28.598,103.7,2.0,24.1,0.63,311.1,5,86.5
2024-09-13 00:00:00.000,57.23208333333333,29.85138888888889,28.262,28.598,108.5,1.9,24.0,0.94,288.8,5,86.4
2024-09-18 00:00:00.000,57.18999999999999,29.859722222222224,28.184,28.597,113.3,1.8,24.0,1.31,278.3,5,86.3
2024-09-23 00:00:00.000,57.13249999999999,29.86388888888889,28.108,28.596,118.2,1.8,24.0,1.69,272.3,5,86.2
2024-09-28 00:00:00.000,57.06041666666666,29.86416666666667,28.036,28.595,123.1,1.7,24.0,2.06,268.5,5,86.1
2024-10-03 00:00:00.000,56.97416666666666,29.860277777777778,27.968,28.594,127.9,1.6,24.0,2.43,265.7,5,86.0
