Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-30 00:00:00.000,55.079583333333325,66.2786111111111,22.841,22.803,86.6,2.5,25.2,5.58,359.4,744,40.4
2023-09-04 00:00:00.000,55.05333333333333,66.4625,22.784,22.805,89.9,2.5,25.2,5.47,353.9,749,40.2
2023-09-09 00:00:00.000,54.98249999999999,66.64111111111112,22.727,22.807,93.3,2.5,25.1,5.39,348.2,754,40.0
2023-09-14 00:00:00.000,54.86749999999999,66.81388888888888,22.671,22.809,96.6,2.5,25.1,5.33,342.3,759,39.7
2023-09-19 00:00:00.000,54.707499999999996,66.97916666666667,22.615,22.811,100.0,2.5,25.1,5.29,336.2,763,39.3
2023-09-24 00:00:00.000,54.50374999999999,67.13611111111112,22.561,22.813,103.3,2.5,25.1,5.27,330.1,767,38.9
2023-09-29 00:00:00.000,54.25749999999999,67.28305555555555,22.509,22.815,106.5,2.4,25.1,5.26,324.0,771,38.5
2023-10-04 00:00:00.000,53.97041666666666,67.41944444444445,22.46,22.817,109.7,2.4,25.1,5.28,317.9,774,38.0
2023-10-09 00:00:00.000,53.64374999999999,67.54416666666667,22.412,22.819,112.8,2.3,25.1,5.31,311.9,777,37.5
2023-10-14 00:00:00.000,53.28083333333333,67.65583333333333,22.368,22.821,115.8,2.3,25.1,5.36,306.0,780,36.9
2023-10-19 00:00:00.000,52.88499999999999,67.75361111111111,22.328,22.823,118.7,2.2,25.1,5.41,300.2,782,36.3
2023-10-24 00:00:00.000,52.45958333333333,67.83666666666666,22.291,22.825,121.4,2.1,25.1,5.45,294.6,784,35.7
2023-10-29 00:00:00.000,52.00958333333333,67.90444444444445,22.259,22.827,123.8,2.1,25.1,5.5,289.1,785,35.0
2023-11-03 00:00:00.000,51.53958333333333,67.9563888888889,22.23,22.829,126.1,2.0,25.1,5.55,283.8,786,34.4
2023-11-08 00:00:00.000,51.054583333333326,67.99222222222222,22.207,22.831,128.0,2.0,25.1,5.58,278.5,786,33.7
2023-11-13 00:00:00.000,50.559999999999995,68.01166666666667,22.188,22.833,129.7,1.9,25.1,5.6,273.4,787,33.0
2023-11-18 00:00:00.000,50.06125,68.01416666666667,22.174,22.835,131.0,1.9,25.1,5.6,268.3,786,32.4
