Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-20 00:00:00.000,278.9816666666666,-10.355,6.958,7.664,131.3,5.7,25.7,8.32,246.3,,
2023-08-25 00:00:00.000,278.7483333333333,-10.46861111111111,7.01,7.654,126.5,6.1,25.7,7.05,240.7,,
2023-08-30 00:00:00.000,278.56583333333333,-10.585,7.066,7.645,121.7,6.5,25.8,5.8,232.6,,
2023-09-04 00:00:00.000,278.43666666666667,-10.703333333333333,7.126,7.635,116.9,6.8,25.8,4.67,220.3,,
2023-09-09 00:00:00.000,278.36125,-10.822222222222223,7.189,7.626,112.1,7.0,25.8,3.83,201.5,,
2023-09-14 00:00:00.000,278.34124999999995,-10.940555555555555,7.256,7.616,107.3,7.2,25.8,3.54,176.1,,
2023-09-19 00:00:00.000,278.3775,-11.057500000000001,7.324,7.607,102.6,7.4,25.9,3.95,151.4,,
2023-09-24 00:00:00.000,278.46958333333333,-11.171388888888888,7.393,7.597,97.9,7.5,25.9,4.87,133.7,,
2023-09-29 00:00:00.000,278.6166666666667,-11.28138888888889,7.464,7.587,93.3,7.6,25.9,6.06,122.2,,
2023-10-04 00:00:00.000,278.81749999999994,-11.386388888888888,7.535,7.578,88.7,7.6,25.9,7.36,114.6,,
2024-04-21 00:00:00.000,302.9841666666666,-7.560833333333333,7.132,7.161,87.6,8.1,25.7,9.35,49.8,,
2024-04-26 00:00:00.000,303.19833333333327,-7.363611111111111,7.041,7.15,92.1,8.1,25.7,8.05,44.0,,
2024-05-01 00:00:00.000,303.35916666666657,-7.175000000000001,6.951,7.138,96.7,8.1,25.6,6.8,35.8,,
2024-05-06 00:00:00.000,303.4654166666666,-6.996388888888889,6.862,7.127,101.2,8.0,25.6,5.69,24.2,,
2024-05-11 00:00:00.000,303.5154166666667,-6.829166666666667,6.773,7.116,105.9,7.8,25.6,4.87,7.7,,
2024-05-16 00:00:00.000,303.50916666666666,-6.674722222222223,6.687,7.105,110.5,7.7,25.5,4.54,347.0,,
2024-05-21 00:00:00.000,303.4470833333333,-6.534722222222222,6.603,7.094,115.2,7.4,25.5,4.81,326.0,,
2024-05-26 00:00:00.000,303.3291666666666,-6.4094444444444445,6.522,7.082,119.9,7.1,25.4,5.58,309.0,,
2024-05-31 00:00:00.000,303.15666666666664,-6.300833333333333,6.445,7.071,124.6,6.8,25.4,6.67,296.8,,
2024-06-05 00:00:00.000,302.92999999999995,-6.209722222222222,6.372,7.059,129.4,6.4,25.4,7.92,288.1,,
2024-06-10 00:00:00.000,302.6525,-6.1369444444444445,6.303,7.048,134.2,5.9,25.3,9.22,281.8,,
2024-09-03 00:00:00.000,295.10041666666666,-7.579444444444444,6.116,6.849,133.4,6.1,25.2,9.59,237.0,,
2024-09-08 00:00:00.000,294.85708333333326,-7.753055555555555,6.163,6.837,128.5,6.6,25.2,8.24,230.9,,
2024-09-13 00:00:00.000,294.6708333333333,-7.925000000000001,6.215,6.825,123.7,7.0,25.3,6.92,222.5,,
2024-09-18 00:00:00.000,294.5433333333333,-8.093055555555557,6.27,6.813,118.9,7.4,25.3,5.75,210.2,,
2024-09-23 00:00:00.000,294.47625,-8.255833333333333,6.329,6.801,114.1,7.7,25.3,4.91,192.8,,
2024-09-28 00:00:00.000,294.47041666666667,-8.411388888888888,6.391,6.788,109.3,8.0,25.4,4.62,170.7,,
2024-10-03 00:00:00.000,294.52666666666664,-8.55888888888889,6.455,6.776,104.6,8.2,25.4,5.0,148.8,,
2024-10-08 00:00:00.000,294.645,-8.696111111111112,6.521,6.764,99.9,8.4,25.4,5.94,131.8,,
2024-10-13 00:00:00.000,294.82499999999993,-8.8225,6.588,6.752,95.2,8.5,25.4,7.19,120.1,,
2024-10-18 00:00:00.000,295.0645833333333,-8.936111111111112,6.655,6.74,90.6,8.5,25.4,8.6,112.0,,
2024-10-23 00:00:00.000,295.3620833333333,-9.036944444444444,6.723,6.727,86.0,8.5,25.5,10.07,106.2,,
2025-05-11 00:00:00.000,323.4520833333333,-1.9508333333333332,6.216,6.213,85.2,9.3,25.2,12.43,51.8,,
2025-05-16 00:00:00.000,323.7508333333333,-1.7016666666666667,6.125,6.2,89.6,9.4,25.1,10.91,48.2,,
2025-05-21 00:00:00.000,323.9941666666666,-1.4669444444444446,6.034,6.187,94.0,9.4,25.1,9.37,43.4,,
2025-05-26 00:00:00.000,324.18,-1.2486111111111111,5.943,6.173,98.4,9.3,25.0,7.83,36.7,,
2025-05-31 00:00:00.000,324.30625,-1.048888888888889,5.854,6.16,102.9,9.2,25.0,6.39,26.8,,
2025-06-05 00:00:00.000,324.37166666666667,-0.8691666666666666,5.766,6.146,107.4,9.1,25.0,5.18,11.8,,
2025-06-10 00:00:00.000,324.3766666666666,-0.7113888888888888,5.68,6.133,112.0,8.8,24.9,4.46,350.0,,
2025-06-15 00:00:00.000,324.31999999999994,-0.5769444444444445,5.596,6.119,116.6,8.5,24.9,4.51,324.6,,
2025-06-20 00:00:00.000,324.2025,-0.4672222222222222,5.516,6.106,121.3,8.2,24.8,5.31,303.1,,
2025-06-25 00:00:00.000,324.02416666666664,-0.3838888888888889,5.439,6.092,126.0,7.8,24.8,6.59,288.5,,
2025-06-30 00:00:00.000,323.7866666666666,-0.3283333333333333,5.366,6.079,130.8,7.3,24.7,8.08,278.8,,
2025-09-28 00:00:00.000,315.82125,-3.3597222222222225,5.123,5.832,131.2,7.4,24.5,9.75,220.2,,
2025-10-03 00:00:00.000,315.6441666666667,-3.602222222222222,5.17,5.818,126.3,8.0,24.6,8.29,211.2,,
2025-10-08 00:00:00.000,315.53499999999997,-3.8316666666666666,5.221,5.804,121.4,8.5,24.6,7.03,198.6,,
